"Step","2CornerORIp2 - Metrics/targetPosition/error_pos_2d","2CornerORIp2 - Metrics/targetPosition/error_pos_2d__MIN","2CornerORIp2 - Metrics/targetPosition/error_pos_2d__MAX"
"8151","4.448546409606934","4.448546409606934","4.448546409606934"
"8152","4.439891338348389","4.439891338348389","4.439891338348389"
"8153","4.04813289642334","4.04813289642334","4.04813289642334"
"8154","3.1855180263519287","3.1855180263519287","3.1855180263519287"
"8155","2.3801894187927246","2.3801894187927246","2.3801894187927246"
"8156","1.7196534872055054","1.7196534872055054","1.7196534872055054"
"8157","1.206058382987976","1.206058382987976","1.206058382987976"
"8158","1.0314559936523438","1.0314559936523438","1.0314559936523438"
"8159","0.8402669429779053","0.8402669429779053","0.8402669429779053"
"8160","0.6702753305435181","0.6702753305435181","0.6702753305435181"
"8161","0.4200802743434906","0.4200802743434906","0.4200802743434906"
"8162","0.32542967796325684","0.32542967796325684","0.32542967796325684"
"8163","0.36207637190818787","0.36207637190818787","0.36207637190818787"
"8164","0.32183727622032166","0.32183727622032166","0.32183727622032166"
"8165","0.2065565288066864","0.2065565288066864","0.2065565288066864"
"8166","0.2414221465587616","0.2414221465587616","0.2414221465587616"
"8167","0.20030079782009125","0.20030079782009125","0.20030079782009125"
"8168","0.19217488169670105","0.19217488169670105","0.19217488169670105"
"8169","0.19757339358329773","0.19757339358329773","0.19757339358329773"
"8170","0.2004605531692505","0.2004605531692505","0.2004605531692505"
"8171","0.18167254328727722","0.18167254328727722","0.18167254328727722"
"8172","0.1697106808423996","0.1697106808423996","0.1697106808423996"
"8173","0.17085318267345428","0.17085318267345428","0.17085318267345428"
"8174","0.1462021768093109","0.1462021768093109","0.1462021768093109"
"8175","0.1629808247089386","0.1629808247089386","0.1629808247089386"
"8176","0.22758960723876953","0.22758960723876953","0.22758960723876953"
"8177","0.13015902042388916","0.13015902042388916","0.13015902042388916"
"8178","0.12601079046726227","0.12601079046726227","0.12601079046726227"
"8179","0.1264750063419342","0.1264750063419342","0.1264750063419342"
"8180","0.11307724565267563","0.11307724565267563","0.11307724565267563"
"8181","0.12731091678142548","0.12731091678142548","0.12731091678142548"
"8182","0.12924015522003174","0.12924015522003174","0.12924015522003174"
"8183","0.9325313568115234","0.9325313568115234","0.9325313568115234"
"8184","0.951225996017456","0.951225996017456","0.951225996017456"
"8185","0.7603160738945007","0.7603160738945007","0.7603160738945007"
"8186","0.944975733757019","0.944975733757019","0.944975733757019"
"8187","0.7126301527023315","0.7126301527023315","0.7126301527023315"
