"Step","HistoryLen4-5,10 - Episode_Reward/payload_2_target","HistoryLen4-5,10 - Episode_Reward/payload_2_target__MIN","HistoryLen4-5,10 - Episode_Reward/payload_2_target__MAX"
"57","-0.07009496539831161","-0.07009496539831161","-0.07009496539831161"
"58","-0.0519358329474926","-0.0519358329474926","-0.0519358329474926"
"59","-0.07308119535446167","-0.07308119535446167","-0.07308119535446167"
"60","-0.06994828581809998","-0.06994828581809998","-0.06994828581809998"
"61","-0.09327052533626556","-0.09327052533626556","-0.09327052533626556"
"62","-0.11021167039871216","-0.11021167039871216","-0.11021167039871216"
"63","-0.08841817826032639","-0.08841817826032639","-0.08841817826032639"
"64","-0.11015385389328003","-0.11015385389328003","-0.11015385389328003"
"65","-0.09621017426252365","-0.09621017426252365","-0.09621017426252365"
"66","-0.09787555038928986","-0.09787555038928986","-0.09787555038928986"
"67","-0.13237547874450684","-0.13237547874450684","-0.13237547874450684"
"68","-0.15163379907608032","-0.15163379907608032","-0.15163379907608032"
"69","-0.1515013575553894","-0.1515013575553894","-0.1515013575553894"
"70","-0.16791477799415588","-0.16791477799415588","-0.16791477799415588"
"71","-0.17223696410655975","-0.17223696410655975","-0.17223696410655975"
"72","-0.1363789141178131","-0.1363789141178131","-0.1363789141178131"
"73","-0.21851879358291626","-0.21851879358291626","-0.21851879358291626"
"74","-0.18663039803504944","-0.18663039803504944","-0.18663039803504944"
"75","-0.14922471344470978","-0.14922471344470978","-0.14922471344470978"
"76","-0.2022210657596588","-0.2022210657596588","-0.2022210657596588"
"77","-0.16718082129955292","-0.16718082129955292","-0.16718082129955292"
"78","-0.28007030487060547","-0.28007030487060547","-0.28007030487060547"
"79","-0.24379190802574158","-0.24379190802574158","-0.24379190802574158"
"80","-0.2346600741147995","-0.2346600741147995","-0.2346600741147995"
"81","-0.21310210227966309","-0.21310210227966309","-0.21310210227966309"
"82","-0.22324632108211517","-0.22324632108211517","-0.22324632108211517"
"83","-0.2466043084859848","-0.2466043084859848","-0.2466043084859848"
"84","-0.3083266019821167","-0.3083266019821167","-0.3083266019821167"
"85","-0.31222400069236755","-0.31222400069236755","-0.31222400069236755"
"86","-0.338458776473999","-0.338458776473999","-0.338458776473999"
"87","-0.30167752504348755","-0.30167752504348755","-0.30167752504348755"
"88","-0.36885982751846313","-0.36885982751846313","-0.36885982751846313"
"89","-0.3556501865386963","-0.3556501865386963","-0.3556501865386963"
"90","-0.4211392402648926","-0.4211392402648926","-0.4211392402648926"
"91","-0.3348096013069153","-0.3348096013069153","-0.3348096013069153"
"92","-0.36220595240592957","-0.36220595240592957","-0.36220595240592957"
"93","-0.5136902332305908","-0.5136902332305908","-0.5136902332305908"
"94","-0.40010255575180054","-0.40010255575180054","-0.40010255575180054"
"95","-0.5275057554244995","-0.5275057554244995","-0.5275057554244995"
"96","-0.5906916260719299","-0.5906916260719299","-0.5906916260719299"
"97","-0.3089740574359894","-0.3089740574359894","-0.3089740574359894"
"98","-0.4229108691215515","-0.4229108691215515","-0.4229108691215515"
"99","-0.37681302428245544","-0.37681302428245544","-0.37681302428245544"
"100","-0.5074188709259033","-0.5074188709259033","-0.5074188709259033"
"101","-0.491153359413147","-0.491153359413147","-0.491153359413147"
"102","-0.39059942960739136","-0.39059942960739136","-0.39059942960739136"
"103","-0.4015572667121887","-0.4015572667121887","-0.4015572667121887"
"104","-0.3862076997756958","-0.3862076997756958","-0.3862076997756958"
"105","-0.37616586685180664","-0.37616586685180664","-0.37616586685180664"
"106","-0.46604177355766296","-0.46604177355766296","-0.46604177355766296"
"107","-0.32577162981033325","-0.32577162981033325","-0.32577162981033325"
"108","-0.3426262140274048","-0.3426262140274048","-0.3426262140274048"
"109","-0.33345556259155273","-0.33345556259155273","-0.33345556259155273"
"110","-0.2895892262458801","-0.2895892262458801","-0.2895892262458801"
"111","-0.2799898087978363","-0.2799898087978363","-0.2799898087978363"
"112","-0.2959095239639282","-0.2959095239639282","-0.2959095239639282"
"113","-0.3046683371067047","-0.3046683371067047","-0.3046683371067047"
"114","-0.30007147789001465","-0.30007147789001465","-0.30007147789001465"
"115","-0.25976887345314026","-0.25976887345314026","-0.25976887345314026"
"116","-0.26744112372398376","-0.26744112372398376","-0.26744112372398376"
"117","-0.25331366062164307","-0.25331366062164307","-0.25331366062164307"
"118","-0.222212553024292","-0.222212553024292","-0.222212553024292"
"119","-0.2502457797527313","-0.2502457797527313","-0.2502457797527313"
"120","-0.22056178748607635","-0.22056178748607635","-0.22056178748607635"
"121","-0.2102596014738083","-0.2102596014738083","-0.2102596014738083"
"122","-0.17889802157878876","-0.17889802157878876","-0.17889802157878876"
"123","-0.23628799617290497","-0.23628799617290497","-0.23628799617290497"
"124","-0.19711783528327942","-0.19711783528327942","-0.19711783528327942"
"125","-0.2181052416563034","-0.2181052416563034","-0.2181052416563034"
"126","-0.21929332613945007","-0.21929332613945007","-0.21929332613945007"
"127","-0.14047613739967346","-0.14047613739967346","-0.14047613739967346"
"128","-0.1803278774023056","-0.1803278774023056","-0.1803278774023056"
"129","-0.20322474837303162","-0.20322474837303162","-0.20322474837303162"
"130","-0.15758077800273895","-0.15758077800273895","-0.15758077800273895"
"131","-0.12631946802139282","-0.12631946802139282","-0.12631946802139282"
"132","-0.14169618487358093","-0.14169618487358093","-0.14169618487358093"
"133","-0.1821022927761078","-0.1821022927761078","-0.1821022927761078"
"134","-0.10658532381057739","-0.10658532381057739","-0.10658532381057739"
"135","-0.18317362666130066","-0.18317362666130066","-0.18317362666130066"
"136","-0.09148713201284409","-0.09148713201284409","-0.09148713201284409"
"137","-0.12680819630622864","-0.12680819630622864","-0.12680819630622864"
"138","-0.08409932255744934","-0.08409932255744934","-0.08409932255744934"
"139","-0.11701323091983795","-0.11701323091983795","-0.11701323091983795"
"140","-0.16702955961227417","-0.16702955961227417","-0.16702955961227417"
"141","-0.16661393642425537","-0.16661393642425537","-0.16661393642425537"
"142","-0.09547173976898193","-0.09547173976898193","-0.09547173976898193"
"143","-0.08173642307519913","-0.08173642307519913","-0.08173642307519913"
"144","-0.2631409764289856","-0.2631409764289856","-0.2631409764289856"
"145","-0.09214514493942261","-0.09214514493942261","-0.09214514493942261"
"146","-0.08972102403640747","-0.08972102403640747","-0.08972102403640747"
"147","-0.0668233335018158","-0.0668233335018158","-0.0668233335018158"
"148","-0.03854438662528992","-0.03854438662528992","-0.03854438662528992"
"149","-0.07390227168798447","-0.07390227168798447","-0.07390227168798447"
"150","-0.02342209964990616","-0.02342209964990616","-0.02342209964990616"
"151","-0.09219543635845184","-0.09219543635845184","-0.09219543635845184"
"152","-0.13340811431407928","-0.13340811431407928","-0.13340811431407928"
"153","-0.10479223728179932","-0.10479223728179932","-0.10479223728179932"
"154","-0.09382712841033936","-0.09382712841033936","-0.09382712841033936"
"155","-0.08119668066501617","-0.08119668066501617","-0.08119668066501617"
"156","-0.17157787084579468","-0.17157787084579468","-0.17157787084579468"
"157","-0.10184566676616669","-0.10184566676616669","-0.10184566676616669"
"158","-0.07230249047279358","-0.07230249047279358","-0.07230249047279358"
"159","-0.15634652972221375","-0.15634652972221375","-0.15634652972221375"
"160","-0.10906364768743515","-0.10906364768743515","-0.10906364768743515"
"161","-0.12173794209957123","-0.12173794209957123","-0.12173794209957123"
"162","-0.12403564155101776","-0.12403564155101776","-0.12403564155101776"
"163","-0.09710828959941864","-0.09710828959941864","-0.09710828959941864"
"164","-0.12559227645397186","-0.12559227645397186","-0.12559227645397186"
"165","-0.13328033685684204","-0.13328033685684204","-0.13328033685684204"
"166","-0.14805886149406433","-0.14805886149406433","-0.14805886149406433"
"167","-0.12239819765090942","-0.12239819765090942","-0.12239819765090942"
"168","-0.16811060905456543","-0.16811060905456543","-0.16811060905456543"
"169","-0.13880476355552673","-0.13880476355552673","-0.13880476355552673"
"170","-0.17047324776649475","-0.17047324776649475","-0.17047324776649475"
"171","-0.12395273149013519","-0.12395273149013519","-0.12395273149013519"
"172","-0.153072327375412","-0.153072327375412","-0.153072327375412"
"173","-0.20356635749340057","-0.20356635749340057","-0.20356635749340057"
"174","-0.15578922629356384","-0.15578922629356384","-0.15578922629356384"
"175","-0.20727460086345673","-0.20727460086345673","-0.20727460086345673"
"176","-0.22402267158031464","-0.22402267158031464","-0.22402267158031464"
"177","-0.20828787982463837","-0.20828787982463837","-0.20828787982463837"
"178","-0.16916440427303314","-0.16916440427303314","-0.16916440427303314"
"179","-0.12145300954580307","-0.12145300954580307","-0.12145300954580307"
"180","-0.13471607863903046","-0.13471607863903046","-0.13471607863903046"
"181","-0.09023495763540268","-0.09023495763540268","-0.09023495763540268"
"182","-0.12698179483413696","-0.12698179483413696","-0.12698179483413696"
"183","-0.17971138656139374","-0.17971138656139374","-0.17971138656139374"
"184","-0.12033351510763168","-0.12033351510763168","-0.12033351510763168"
"185","-0.1429291069507599","-0.1429291069507599","-0.1429291069507599"
"186","-0.127517431974411","-0.127517431974411","-0.127517431974411"
"187","-0.15124934911727905","-0.15124934911727905","-0.15124934911727905"
"188","-0.16279664635658264","-0.16279664635658264","-0.16279664635658264"
"189","-0.1631951928138733","-0.1631951928138733","-0.1631951928138733"
"190","-0.11156141012907028","-0.11156141012907028","-0.11156141012907028"
"191","-0.160498708486557","-0.160498708486557","-0.160498708486557"
"192","-0.15201425552368164","-0.15201425552368164","-0.15201425552368164"
"193","-0.19479475915431976","-0.19479475915431976","-0.19479475915431976"
"194","-0.1543746143579483","-0.1543746143579483","-0.1543746143579483"
"195","-0.21731345355510712","-0.21731345355510712","-0.21731345355510712"
"196","-0.16745063662528992","-0.16745063662528992","-0.16745063662528992"
"197","-0.19322627782821655","-0.19322627782821655","-0.19322627782821655"
"198","-0.19328486919403076","-0.19328486919403076","-0.19328486919403076"
"199","-0.1893349289894104","-0.1893349289894104","-0.1893349289894104"
"200","-0.171578511595726","-0.171578511595726","-0.171578511595726"
"201","-0.14554385840892792","-0.14554385840892792","-0.14554385840892792"
"202","-0.13351067900657654","-0.13351067900657654","-0.13351067900657654"
"203","-0.22869369387626648","-0.22869369387626648","-0.22869369387626648"
"204","-0.19327110052108765","-0.19327110052108765","-0.19327110052108765"
"205","-0.11494767665863037","-0.11494767665863037","-0.11494767665863037"
"206","-0.1563740223646164","-0.1563740223646164","-0.1563740223646164"
"207","-0.16308514773845673","-0.16308514773845673","-0.16308514773845673"
"208","-0.18133525550365448","-0.18133525550365448","-0.18133525550365448"
"209","-0.1753339022397995","-0.1753339022397995","-0.1753339022397995"
"210","-0.18186210095882416","-0.18186210095882416","-0.18186210095882416"
"211","-0.20970480144023895","-0.20970480144023895","-0.20970480144023895"
"212","-0.1934300661087036","-0.1934300661087036","-0.1934300661087036"
"213","-0.22249087691307068","-0.22249087691307068","-0.22249087691307068"
"214","-0.26310715079307556","-0.26310715079307556","-0.26310715079307556"
"215","-0.19567517936229706","-0.19567517936229706","-0.19567517936229706"
"216","-0.15858863294124603","-0.15858863294124603","-0.15858863294124603"
"217","-0.12326550483703613","-0.12326550483703613","-0.12326550483703613"
"218","-0.18271946907043457","-0.18271946907043457","-0.18271946907043457"
"219","-0.26285403966903687","-0.26285403966903687","-0.26285403966903687"
"220","-0.24900297820568085","-0.24900297820568085","-0.24900297820568085"
"221","-0.16998407244682312","-0.16998407244682312","-0.16998407244682312"
"222","-0.12885257601737976","-0.12885257601737976","-0.12885257601737976"
"223","-0.23575352132320404","-0.23575352132320404","-0.23575352132320404"
"224","-0.14231625199317932","-0.14231625199317932","-0.14231625199317932"
"225","-0.16376803815364838","-0.16376803815364838","-0.16376803815364838"
"226","-0.37902817130088806","-0.37902817130088806","-0.37902817130088806"
"227","-0.18222090601921082","-0.18222090601921082","-0.18222090601921082"
"228","-0.21906326711177826","-0.21906326711177826","-0.21906326711177826"
"229","-0.2520419955253601","-0.2520419955253601","-0.2520419955253601"
"230","-0.20559565722942352","-0.20559565722942352","-0.20559565722942352"
"231","-0.24312733113765717","-0.24312733113765717","-0.24312733113765717"
"232","-0.22249798476696014","-0.22249798476696014","-0.22249798476696014"
"233","-0.2033233344554901","-0.2033233344554901","-0.2033233344554901"
"234","-0.22886906564235687","-0.22886906564235687","-0.22886906564235687"
"235","-0.22331100702285767","-0.22331100702285767","-0.22331100702285767"
"236","-0.2307572066783905","-0.2307572066783905","-0.2307572066783905"
"237","-0.28116199374198914","-0.28116199374198914","-0.28116199374198914"
"238","-0.24089013040065765","-0.24089013040065765","-0.24089013040065765"
"239","-0.21743027865886688","-0.21743027865886688","-0.21743027865886688"
"240","-0.2650239169597626","-0.2650239169597626","-0.2650239169597626"
"241","-0.2051883041858673","-0.2051883041858673","-0.2051883041858673"
"242","-0.283793181180954","-0.283793181180954","-0.283793181180954"
"243","-0.19897863268852234","-0.19897863268852234","-0.19897863268852234"
"244","-0.17008695006370544","-0.17008695006370544","-0.17008695006370544"
"245","-0.2971543073654175","-0.2971543073654175","-0.2971543073654175"
"246","-0.29067593812942505","-0.29067593812942505","-0.29067593812942505"
"247","-0.17323492467403412","-0.17323492467403412","-0.17323492467403412"
"248","-0.20409709215164185","-0.20409709215164185","-0.20409709215164185"
"249","-0.2577779293060303","-0.2577779293060303","-0.2577779293060303"
"250","-0.27955326437950134","-0.27955326437950134","-0.27955326437950134"
"251","-0.23459988832473755","-0.23459988832473755","-0.23459988832473755"
"252","-0.2655905485153198","-0.2655905485153198","-0.2655905485153198"
"253","-0.21400372684001923","-0.21400372684001923","-0.21400372684001923"
"254","-0.24385730922222137","-0.24385730922222137","-0.24385730922222137"
"255","-0.24703097343444824","-0.24703097343444824","-0.24703097343444824"
"256","-0.21144261956214905","-0.21144261956214905","-0.21144261956214905"
"257","-0.21675245463848114","-0.21675245463848114","-0.21675245463848114"
"258","-0.2695155143737793","-0.2695155143737793","-0.2695155143737793"
"259","-0.19171671569347382","-0.19171671569347382","-0.19171671569347382"
"260","-0.2945214509963989","-0.2945214509963989","-0.2945214509963989"
"261","-0.22531168162822723","-0.22531168162822723","-0.22531168162822723"
"262","-0.21808195114135742","-0.21808195114135742","-0.21808195114135742"
"263","-0.1870075911283493","-0.1870075911283493","-0.1870075911283493"
"264","-0.2495959997177124","-0.2495959997177124","-0.2495959997177124"
"265","-0.11345165967941284","-0.11345165967941284","-0.11345165967941284"
"266","-0.16214248538017273","-0.16214248538017273","-0.16214248538017273"
"267","-0.28352856636047363","-0.28352856636047363","-0.28352856636047363"
"268","-0.15534405410289764","-0.15534405410289764","-0.15534405410289764"
"269","-0.22928717732429504","-0.22928717732429504","-0.22928717732429504"
"270","-0.19353267550468445","-0.19353267550468445","-0.19353267550468445"
"271","-0.2397434413433075","-0.2397434413433075","-0.2397434413433075"
"272","-0.17744645476341248","-0.17744645476341248","-0.17744645476341248"
"273","-0.181557759642601","-0.181557759642601","-0.181557759642601"
"274","-0.17224781215190887","-0.17224781215190887","-0.17224781215190887"
"275","-0.20472536981105804","-0.20472536981105804","-0.20472536981105804"
"276","-0.20301684737205505","-0.20301684737205505","-0.20301684737205505"
"277","-0.15485623478889465","-0.15485623478889465","-0.15485623478889465"
"278","-0.13486523926258087","-0.13486523926258087","-0.13486523926258087"
"279","-0.18772505223751068","-0.18772505223751068","-0.18772505223751068"
"280","-0.23582231998443604","-0.23582231998443604","-0.23582231998443604"
"281","-0.1852412074804306","-0.1852412074804306","-0.1852412074804306"
"282","-0.1558127999305725","-0.1558127999305725","-0.1558127999305725"
"283","-0.11689890921115875","-0.11689890921115875","-0.11689890921115875"
"284","-0.21113447844982147","-0.21113447844982147","-0.21113447844982147"
"285","-0.15774588286876678","-0.15774588286876678","-0.15774588286876678"
"286","-0.2407165765762329","-0.2407165765762329","-0.2407165765762329"
"287","-0.18922190368175507","-0.18922190368175507","-0.18922190368175507"
"288","-0.1448938399553299","-0.1448938399553299","-0.1448938399553299"
"289","-0.1184830293059349","-0.1184830293059349","-0.1184830293059349"
"290","-0.17653381824493408","-0.17653381824493408","-0.17653381824493408"
"291","-0.19638606905937195","-0.19638606905937195","-0.19638606905937195"
"292","-0.12394994497299194","-0.12394994497299194","-0.12394994497299194"
"293","-0.18480364978313446","-0.18480364978313446","-0.18480364978313446"
"294","-0.15444867312908173","-0.15444867312908173","-0.15444867312908173"
"295","-0.16215698421001434","-0.16215698421001434","-0.16215698421001434"
"296","-0.16812996566295624","-0.16812996566295624","-0.16812996566295624"
"297","-0.10610194504261017","-0.10610194504261017","-0.10610194504261017"
"298","-0.1264195293188095","-0.1264195293188095","-0.1264195293188095"
"299","-0.13688138127326965","-0.13688138127326965","-0.13688138127326965"
"300","-0.09915371984243393","-0.09915371984243393","-0.09915371984243393"
"301","-0.14166520535945892","-0.14166520535945892","-0.14166520535945892"
"302","-0.17634552717208862","-0.17634552717208862","-0.17634552717208862"
"303","-0.22565828263759613","-0.22565828263759613","-0.22565828263759613"
"304","-0.1273440271615982","-0.1273440271615982","-0.1273440271615982"
"305","-0.1356273591518402","-0.1356273591518402","-0.1356273591518402"
"306","-0.12413059175014496","-0.12413059175014496","-0.12413059175014496"
"307","-0.2293911576271057","-0.2293911576271057","-0.2293911576271057"
"308","-0.17698439955711365","-0.17698439955711365","-0.17698439955711365"
"309","-0.12005253881216049","-0.12005253881216049","-0.12005253881216049"
"310","-0.18396031856536865","-0.18396031856536865","-0.18396031856536865"
"311","-0.13049308955669403","-0.13049308955669403","-0.13049308955669403"
"312","-0.1715361326932907","-0.1715361326932907","-0.1715361326932907"
"313","-0.14332376420497894","-0.14332376420497894","-0.14332376420497894"
"314","-0.2110537737607956","-0.2110537737607956","-0.2110537737607956"
"315","-0.18005260825157166","-0.18005260825157166","-0.18005260825157166"
"316","-0.15588830411434174","-0.15588830411434174","-0.15588830411434174"
"317","-0.13060583174228668","-0.13060583174228668","-0.13060583174228668"
"318","-0.1734512746334076","-0.1734512746334076","-0.1734512746334076"
"319","-0.12582117319107056","-0.12582117319107056","-0.12582117319107056"
"320","-0.18985113501548767","-0.18985113501548767","-0.18985113501548767"
"321","-0.17365102469921112","-0.17365102469921112","-0.17365102469921112"
"322","-0.1332298219203949","-0.1332298219203949","-0.1332298219203949"
"323","-0.1581742763519287","-0.1581742763519287","-0.1581742763519287"
"324","-0.11712988466024399","-0.11712988466024399","-0.11712988466024399"
"325","-0.1402977705001831","-0.1402977705001831","-0.1402977705001831"
"326","-0.19977891445159912","-0.19977891445159912","-0.19977891445159912"
"327","-0.1585620641708374","-0.1585620641708374","-0.1585620641708374"
"328","-0.12158282846212387","-0.12158282846212387","-0.12158282846212387"
"329","-0.13745591044425964","-0.13745591044425964","-0.13745591044425964"
"330","-0.1698738932609558","-0.1698738932609558","-0.1698738932609558"
"331","-0.1426083892583847","-0.1426083892583847","-0.1426083892583847"
"332","-0.20082144439220428","-0.20082144439220428","-0.20082144439220428"
"333","-0.1928301304578781","-0.1928301304578781","-0.1928301304578781"
"334","-0.19790241122245789","-0.19790241122245789","-0.19790241122245789"
"335","-0.18090558052062988","-0.18090558052062988","-0.18090558052062988"
"336","-0.18937955796718597","-0.18937955796718597","-0.18937955796718597"
"337","-0.18328812718391418","-0.18328812718391418","-0.18328812718391418"
"338","-0.19801251590251923","-0.19801251590251923","-0.19801251590251923"
"339","-0.1996748447418213","-0.1996748447418213","-0.1996748447418213"
"340","-0.11751704663038254","-0.11751704663038254","-0.11751704663038254"
"341","-0.20013467967510223","-0.20013467967510223","-0.20013467967510223"
"342","-0.2614606022834778","-0.2614606022834778","-0.2614606022834778"
"343","-0.17038512229919434","-0.17038512229919434","-0.17038512229919434"
"344","-0.2064865082502365","-0.2064865082502365","-0.2064865082502365"
"345","-0.19951574504375458","-0.19951574504375458","-0.19951574504375458"
"346","-0.1194944977760315","-0.1194944977760315","-0.1194944977760315"
"347","-0.1521189659833908","-0.1521189659833908","-0.1521189659833908"
"348","-0.20729303359985352","-0.20729303359985352","-0.20729303359985352"
"349","-0.1267443150281906","-0.1267443150281906","-0.1267443150281906"
"350","-0.22766606509685516","-0.22766606509685516","-0.22766606509685516"
"351","-0.17141088843345642","-0.17141088843345642","-0.17141088843345642"
"352","-0.16784343123435974","-0.16784343123435974","-0.16784343123435974"
"353","-0.25913819670677185","-0.25913819670677185","-0.25913819670677185"
"354","-0.20085184276103973","-0.20085184276103973","-0.20085184276103973"
"355","-0.23517689108848572","-0.23517689108848572","-0.23517689108848572"
"356","-0.24793945252895355","-0.24793945252895355","-0.24793945252895355"
"357","-0.15907925367355347","-0.15907925367355347","-0.15907925367355347"
"358","-0.10359019041061401","-0.10359019041061401","-0.10359019041061401"
"359","-0.1823439598083496","-0.1823439598083496","-0.1823439598083496"
"360","-0.1640143096446991","-0.1640143096446991","-0.1640143096446991"
"361","-0.1534326672554016","-0.1534326672554016","-0.1534326672554016"
"362","-0.16953670978546143","-0.16953670978546143","-0.16953670978546143"
"363","-0.17271511256694794","-0.17271511256694794","-0.17271511256694794"
"364","-0.13170167803764343","-0.13170167803764343","-0.13170167803764343"
"365","-0.1483902931213379","-0.1483902931213379","-0.1483902931213379"
"366","-0.19138430058956146","-0.19138430058956146","-0.19138430058956146"
"367","-0.1872740238904953","-0.1872740238904953","-0.1872740238904953"
"368","-0.18205098807811737","-0.18205098807811737","-0.18205098807811737"
"369","-0.13256552815437317","-0.13256552815437317","-0.13256552815437317"
"370","-0.11696678400039673","-0.11696678400039673","-0.11696678400039673"
"371","-0.07346642017364502","-0.07346642017364502","-0.07346642017364502"
"372","-0.17672424018383026","-0.17672424018383026","-0.17672424018383026"
"373","-0.10978777706623077","-0.10978777706623077","-0.10978777706623077"
