"Step","HistoryLen4-5,10 - Episode_Termination/base_contact","HistoryLen4-5,10 - Episode_Termination/base_contact__MIN","HistoryLen4-5,10 - Episode_Termination/base_contact__MAX"
"1","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"2","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"3","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"4","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"5","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"6","0","0","0"
"7","0","0","0"
"8","0","0","0"
"9","0","0","0"
"10","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"11","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"12","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"13","0","0","0"
"14","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"15","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"16","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"17","0.625","0.625","0.625"
"18","1.875","1.875","1.875"
"19","3.2916667461395264","3.2916667461395264","3.2916667461395264"
"20","4.5","4.5","4.5"
"21","4.7916669845581055","4.7916669845581055","4.7916669845581055"
"22","6.125","6.125","6.125"
"23","5.6666669845581055","5.6666669845581055","5.6666669845581055"
"24","4.625","4.625","4.625"
"25","4.708333492279053","4.708333492279053","4.708333492279053"
"26","5.1666669845581055","5.1666669845581055","5.1666669845581055"
"27","5.2916669845581055","5.2916669845581055","5.2916669845581055"
"28","5.875","5.875","5.875"
"29","5.6666669845581055","5.6666669845581055","5.6666669845581055"
"30","6.125","6.125","6.125"
"31","6.75","6.75","6.75"
"32","7.0416669845581055","7.0416669845581055","7.0416669845581055"
"33","5.25","5.25","5.25"
"34","5.75","5.75","5.75"
"35","5.583333492279053","5.583333492279053","5.583333492279053"
"36","4.9166669845581055","4.9166669845581055","4.9166669845581055"
"37","4.25","4.25","4.25"
"38","3","3","3"
"39","3.0833334922790527","3.0833334922790527","3.0833334922790527"
"40","2.875","2.875","2.875"
"41","2.4166667461395264","2.4166667461395264","2.4166667461395264"
"42","4.0416669845581055","4.0416669845581055","4.0416669845581055"
"43","5.7916669845581055","5.7916669845581055","5.7916669845581055"
"44","6.5416669845581055","6.5416669845581055","6.5416669845581055"
"45","5.4166669845581055","5.4166669845581055","5.4166669845581055"
"46","4.5","4.5","4.5"
"47","2.6666667461395264","2.6666667461395264","2.6666667461395264"
"48","2.0416667461395264","2.0416667461395264","2.0416667461395264"
"49","1.7083333730697632","1.7083333730697632","1.7083333730697632"
"50","1.25","1.25","1.25"
"51","0.75","0.75","0.75"
"52","0.9166666865348816","0.9166666865348816","0.9166666865348816"
"53","0.5","0.5","0.5"
"54","0.5416666865348816","0.5416666865348816","0.5416666865348816"
"55","0.9583333730697632","0.9583333730697632","0.9583333730697632"
"56","0.9166666865348816","0.9166666865348816","0.9166666865348816"
"57","1.0833333730697632","1.0833333730697632","1.0833333730697632"
"58","1.2916667461395264","1.2916667461395264","1.2916667461395264"
"59","1.5","1.5","1.5"
"60","1.1666667461395264","1.1666667461395264","1.1666667461395264"
"61","0.5833333730697632","0.5833333730697632","0.5833333730697632"
"62","0.5833333730697632","0.5833333730697632","0.5833333730697632"
"63","0.6666666865348816","0.6666666865348816","0.6666666865348816"
"64","0.5833333730697632","0.5833333730697632","0.5833333730697632"
"65","0.6666666865348816","0.6666666865348816","0.6666666865348816"
"66","0.7083333730697632","0.7083333730697632","0.7083333730697632"
"67","0.5","0.5","0.5"
"68","0.5833333730697632","0.5833333730697632","0.5833333730697632"
"69","0.75","0.75","0.75"
"70","0.5","0.5","0.5"
