"Step","HistoryLen4-5,10 - Metrics/targetPosition/error_pos_2d","HistoryLen4-5,10 - Metrics/targetPosition/error_pos_2d__MIN","HistoryLen4-5,10 - Metrics/targetPosition/error_pos_2d__MAX"
"1","4.322336196899414","4.322336196899414","4.322336196899414"
"2","4.27945613861084","4.27945613861084","4.27945613861084"
"3","4.215569972991943","4.215569972991943","4.215569972991943"
"4","4.505971908569336","4.505971908569336","4.505971908569336"
"5","4.426457405090332","4.426457405090332","4.426457405090332"
"6","4.29569149017334","4.29569149017334","4.29569149017334"
"7","4.491056442260742","4.491056442260742","4.491056442260742"
"8","4.325799942016602","4.325799942016602","4.325799942016602"
"9","4.420412063598633","4.420412063598633","4.420412063598633"
"10","4.522226333618164","4.522226333618164","4.522226333618164"
"11","4.439689636230469","4.439689636230469","4.439689636230469"
"12","4.349636554718018","4.349636554718018","4.349636554718018"
"13","4.464081764221191","4.464081764221191","4.464081764221191"
"14","4.384904861450195","4.384904861450195","4.384904861450195"
"15","4.381258964538574","4.381258964538574","4.381258964538574"
"16","4.397832870483398","4.397832870483398","4.397832870483398"
"17","4.523924827575684","4.523924827575684","4.523924827575684"
"18","4.459066390991211","4.459066390991211","4.459066390991211"
"19","4.668689727783203","4.668689727783203","4.668689727783203"
"20","4.615371227264404","4.615371227264404","4.615371227264404"
"21","4.562568664550781","4.562568664550781","4.562568664550781"
"22","4.609592437744141","4.609592437744141","4.609592437744141"
"23","4.621210098266602","4.621210098266602","4.621210098266602"
"24","4.563982009887695","4.563982009887695","4.563982009887695"
"25","4.469202041625977","4.469202041625977","4.469202041625977"
"26","4.54649019241333","4.54649019241333","4.54649019241333"
"27","4.597368240356445","4.597368240356445","4.597368240356445"
"28","4.522237777709961","4.522237777709961","4.522237777709961"
"29","4.493720054626465","4.493720054626465","4.493720054626465"
"30","4.530983924865723","4.530983924865723","4.530983924865723"
"31","4.653605937957764","4.653605937957764","4.653605937957764"
"32","4.517879486083984","4.517879486083984","4.517879486083984"
"33","4.642412185668945","4.642412185668945","4.642412185668945"
"34","4.4339728355407715","4.4339728355407715","4.4339728355407715"
"35","4.479342460632324","4.479342460632324","4.479342460632324"
"36","4.493303298950195","4.493303298950195","4.493303298950195"
"37","4.434186935424805","4.434186935424805","4.434186935424805"
"38","4.532781600952148","4.532781600952148","4.532781600952148"
"39","4.483145236968994","4.483145236968994","4.483145236968994"
"40","4.588809967041016","4.588809967041016","4.588809967041016"
"41","4.431919097900391","4.431919097900391","4.431919097900391"
"42","4.448238372802734","4.448238372802734","4.448238372802734"
"43","4.525472640991211","4.525472640991211","4.525472640991211"
"44","4.4145660400390625","4.4145660400390625","4.4145660400390625"
"45","4.330989837646484","4.330989837646484","4.330989837646484"
"46","4.561337471008301","4.561337471008301","4.561337471008301"
"47","4.424493789672852","4.424493789672852","4.424493789672852"
"48","4.430840969085693","4.430840969085693","4.430840969085693"
"49","4.3620219230651855","4.3620219230651855","4.3620219230651855"
"50","4.292261123657227","4.292261123657227","4.292261123657227"
"51","4.360933303833008","4.360933303833008","4.360933303833008"
"52","4.366193771362305","4.366193771362305","4.366193771362305"
"53","4.549424171447754","4.549424171447754","4.549424171447754"
"54","4.432417869567871","4.432417869567871","4.432417869567871"
"55","4.668254852294922","4.668254852294922","4.668254852294922"
"56","4.579649448394775","4.579649448394775","4.579649448394775"
"57","4.574315547943115","4.574315547943115","4.574315547943115"
"58","4.546608924865723","4.546608924865723","4.546608924865723"
"59","4.451279640197754","4.451279640197754","4.451279640197754"
"60","4.396712779998779","4.396712779998779","4.396712779998779"
"61","4.407543182373047","4.407543182373047","4.407543182373047"
