"Step","4BlockID - Metrics/targetPosition/error_pos_2d","4BlockID - Metrics/targetPosition/error_pos_2d__MIN","4BlockID - Metrics/targetPosition/error_pos_2d__MAX"
"1","4.322521209716797","4.322521209716797","4.322521209716797"
"2","4.292265892028809","4.292265892028809","4.292265892028809"
"3","4.2450103759765625","4.2450103759765625","4.2450103759765625"
"4","4.474365234375","4.474365234375","4.474365234375"
"5","4.424159526824951","4.424159526824951","4.424159526824951"
"6","4.292695045471191","4.292695045471191","4.292695045471191"
"7","4.506289005279541","4.506289005279541","4.506289005279541"
"8","4.336519718170166","4.336519718170166","4.336519718170166"
"9","4.444849491119385","4.444849491119385","4.444849491119385"
"10","4.546116352081299","4.546116352081299","4.546116352081299"
"11","4.456826686859131","4.456826686859131","4.456826686859131"
"12","4.35349702835083","4.35349702835083","4.35349702835083"
"13","4.530109882354736","4.530109882354736","4.530109882354736"
"14","4.4934515953063965","4.4934515953063965","4.4934515953063965"
"15","4.416762351989746","4.416762351989746","4.416762351989746"
"16","4.397592544555664","4.397592544555664","4.397592544555664"
"17","4.627346038818359","4.627346038818359","4.627346038818359"
"18","4.591798305511475","4.591798305511475","4.591798305511475"
"19","4.613988876342773","4.613988876342773","4.613988876342773"
"20","4.601515769958496","4.601515769958496","4.601515769958496"
"21","4.614519119262695","4.614519119262695","4.614519119262695"
"22","4.675240516662598","4.675240516662598","4.675240516662598"
"23","4.649152755737305","4.649152755737305","4.649152755737305"
"24","4.580951690673828","4.580951690673828","4.580951690673828"
"25","4.534210205078125","4.534210205078125","4.534210205078125"
"26","4.541424751281738","4.541424751281738","4.541424751281738"
"27","4.582625865936279","4.582625865936279","4.582625865936279"
"28","4.505062580108643","4.505062580108643","4.505062580108643"
"29","4.536581039428711","4.536581039428711","4.536581039428711"
"30","4.573144912719727","4.573144912719727","4.573144912719727"
"31","4.534236907958984","4.534236907958984","4.534236907958984"
"32","4.559142112731934","4.559142112731934","4.559142112731934"
"33","4.650873184204102","4.650873184204102","4.650873184204102"
"34","4.504622936248779","4.504622936248779","4.504622936248779"
"35","4.623386859893799","4.623386859893799","4.623386859893799"
"36","4.479325294494629","4.479325294494629","4.479325294494629"
"37","4.423816204071045","4.423816204071045","4.423816204071045"
"38","4.483221530914307","4.483221530914307","4.483221530914307"
"39","4.554955959320068","4.554955959320068","4.554955959320068"
"40","4.551668167114258","4.551668167114258","4.551668167114258"
"41","4.540611267089844","4.540611267089844","4.540611267089844"
