"Step","4BlockID - Episode_Reward/payload_2_target","4BlockID - Episode_Reward/payload_2_target__MIN","4BlockID - Episode_Reward/payload_2_target__MAX"
"1","-0.0002087603643303737","-0.0002087603643303737","-0.0002087603643303737"
"2","0.0000019009057723451406","0.0000019009057723451406","0.0000019009057723451406"
"3","-0.001670534024015069","-0.001670534024015069","-0.001670534024015069"
"4","-0.0003246897831559181","-0.0003246897831559181","-0.0003246897831559181"
"5","-0.0011639709118753672","-0.0011639709118753672","-0.0011639709118753672"
"6","-0.002272543963044882","-0.002272543963044882","-0.002272543963044882"
"7","-0.00033821118995547295","-0.00033821118995547295","-0.00033821118995547295"
"8","-0.0014228238724172115","-0.0014228238724172115","-0.0014228238724172115"
"9","0.0000040051122596196365","0.0000040051122596196365","0.0000040051122596196365"
"10","-0.0004066594410687685","-0.0004066594410687685","-0.0004066594410687685"
"11","-0.009914489462971687","-0.009914489462971687","-0.009914489462971687"
"12","-0.0035898233763873577","-0.0035898233763873577","-0.0035898233763873577"
"13","-0.004816175438463688","-0.004816175438463688","-0.004816175438463688"
"14","-0.011148856952786446","-0.011148856952786446","-0.011148856952786446"
"15","-0.005052060820162296","-0.005052060820162296","-0.005052060820162296"
"16","-0.003870846703648567","-0.003870846703648567","-0.003870846703648567"
"17","-0.014394066296517849","-0.014394066296517849","-0.014394066296517849"
"18","-0.0017177318222820759","-0.0017177318222820759","-0.0017177318222820759"
"19","0.0003199893981218338","0.0003199893981218338","0.0003199893981218338"
"20","-0.000510303070768714","-0.000510303070768714","-0.000510303070768714"
"21","-0.009363225661218166","-0.009363225661218166","-0.009363225661218166"
"22","-0.003588126739487052","-0.003588126739487052","-0.003588126739487052"
"23","-0.00039857494994066656","-0.00039857494994066656","-0.00039857494994066656"
"24","-0.007389572914689779","-0.007389572914689779","-0.007389572914689779"
"25","-0.003927599638700485","-0.003927599638700485","-0.003927599638700485"
"26","-0.002190223429352045","-0.002190223429352045","-0.002190223429352045"
"27","-0.003356772940605879","-0.003356772940605879","-0.003356772940605879"
"28","-0.007337377406656742","-0.007337377406656742","-0.007337377406656742"
"29","-0.006396024487912655","-0.006396024487912655","-0.006396024487912655"
"30","-0.00796682108193636","-0.00796682108193636","-0.00796682108193636"
"31","-0.004735402297228575","-0.004735402297228575","-0.004735402297228575"
"32","-0.015472541563212872","-0.015472541563212872","-0.015472541563212872"
"33","-0.004708271473646164","-0.004708271473646164","-0.004708271473646164"
"34","-0.011788342148065567","-0.011788342148065567","-0.011788342148065567"
"35","-0.005463154520839453","-0.005463154520839453","-0.005463154520839453"
"36","-0.01737719029188156","-0.01737719029188156","-0.01737719029188156"
"37","-0.008115813136100769","-0.008115813136100769","-0.008115813136100769"
"38","-0.039982870221138","-0.039982870221138","-0.039982870221138"
"39","-0.02730352059006691","-0.02730352059006691","-0.02730352059006691"
"40","-0.044830553233623505","-0.044830553233623505","-0.044830553233623505"
"41","-0.043844278901815414","-0.043844278901815414","-0.043844278901815414"
