"Step","4BlockID - Loss/value_function","4BlockID - Loss/value_function__MIN","4BlockID - Loss/value_function__MAX"
"1","0.08106385208666325","0.08106385208666325","0.08106385208666325"
"2","0.030780460592359303","0.030780460592359303","0.030780460592359303"
"3","0.020978739066049457","0.020978739066049457","0.020978739066049457"
"4","0.0156534175388515","0.0156534175388515","0.0156534175388515"
"5","0.025847155880182982","0.025847155880182982","0.025847155880182982"
"6","0.011360165057703852","0.011360165057703852","0.011360165057703852"
"7","0.008778073266148568","0.008778073266148568","0.008778073266148568"
"8","0.008347550709731876","0.008347550709731876","0.008347550709731876"
"9","0.007615636708214879","0.007615636708214879","0.007615636708214879"
"10","0.007491358951665461","0.007491358951665461","0.007491358951665461"
"11","0.0081719376379624","0.0081719376379624","0.0081719376379624"
"12","0.008262638212181627","0.008262638212181627","0.008262638212181627"
"13","0.009696847200393677","0.009696847200393677","0.009696847200393677"
"14","0.009807853819802403","0.009807853819802403","0.009807853819802403"
"15","0.012871074862778187","0.012871074862778187","0.012871074862778187"
"16","0.011462058406323195","0.011462058406323195","0.011462058406323195"
"17","0.021434626076370478","0.021434626076370478","0.021434626076370478"
"18","0.01894954014569521","0.01894954014569521","0.01894954014569521"
"19","0.01982996268197894","0.01982996268197894","0.01982996268197894"
"20","0.026313364133238794","0.026313364133238794","0.026313364133238794"
"21","0.03236147817224264","0.03236147817224264","0.03236147817224264"
"22","0.0360197089612484","0.0360197089612484","0.0360197089612484"
"23","0.03832632284611463","0.03832632284611463","0.03832632284611463"
"24","0.035856987815350294","0.035856987815350294","0.035856987815350294"
"25","0.038205184042453766","0.038205184042453766","0.038205184042453766"
"26","0.039123544469475746","0.039123544469475746","0.039123544469475746"
"27","0.04864367730915546","0.04864367730915546","0.04864367730915546"
"28","0.031816834956407546","0.031816834956407546","0.031816834956407546"
"29","0.03086048047989607","0.03086048047989607","0.03086048047989607"
"30","0.03557493146508932","0.03557493146508932","0.03557493146508932"
"31","0.030781671404838562","0.030781671404838562","0.030781671404838562"
"32","0.028239675611257554","0.028239675611257554","0.028239675611257554"
"33","0.03886289559304714","0.03886289559304714","0.03886289559304714"
"34","0.031067584361881017","0.031067584361881017","0.031067584361881017"
"35","0.02771993912756443","0.02771993912756443","0.02771993912756443"
"36","0.02970664370805025","0.02970664370805025","0.02970664370805025"
"37","0.034061317704617976","0.034061317704617976","0.034061317704617976"
"38","0.04106367416679859","0.04106367416679859","0.04106367416679859"
"39","0.03801892753690481","0.03801892753690481","0.03801892753690481"
"40","0.034030981827527285","0.034030981827527285","0.034030981827527285"
"41","0.03405639361590147","0.03405639361590147","0.03405639361590147"
"42","0.028067011199891568","0.028067011199891568","0.028067011199891568"
"43","0.032417121529579165","0.032417121529579165","0.032417121529579165"
"44","0.028615539893507957","0.028615539893507957","0.028615539893507957"
"45","0.029293483775109052","0.029293483775109052","0.029293483775109052"
"46","0.02587106516584754","0.02587106516584754","0.02587106516584754"
"47","0.03275437047705054","0.03275437047705054","0.03275437047705054"
"48","0.02900023739784956","0.02900023739784956","0.02900023739784956"
"49","0.027445986960083248","0.027445986960083248","0.027445986960083248"
"50","0.030477303732186555","0.030477303732186555","0.030477303732186555"
"51","0.02641155906021595","0.02641155906021595","0.02641155906021595"
"52","0.028736595436930655","0.028736595436930655","0.028736595436930655"
"53","0.038235858734697106","0.038235858734697106","0.038235858734697106"
"54","0.03435380971059203","0.03435380971059203","0.03435380971059203"
"55","0.03717770185321569","0.03717770185321569","0.03717770185321569"
"56","0.044866416975855826","0.044866416975855826","0.044866416975855826"
"57","0.032500830851495265","0.032500830851495265","0.032500830851495265"
"58","0.041896802932024","0.041896802932024","0.041896802932024"
"59","0.034730358980596066","0.034730358980596066","0.034730358980596066"
