"Step","4BlockID2 - Episode_Reward/bot_2_payload","4BlockID2 - Episode_Reward/bot_2_payload__MIN","4BlockID2 - Episode_Reward/bot_2_payload__MAX"
"9999","0.0037518106400966644","0.0037518106400966644","0.0037518106400966644"
"10000","0.032631706446409225","0.032631706446409225","0.032631706446409225"
"10001","0.08733291923999786","0.08733291923999786","0.08733291923999786"
"10002","0.16410380601882935","0.16410380601882935","0.16410380601882935"
"10003","0.25359612703323364","0.25359612703323364","0.25359612703323364"
"10004","0.3419954776763916","0.3419954776763916","0.3419954776763916"
"10005","0.4170781970024109","0.4170781970024109","0.4170781970024109"
"10006","0.520321249961853","0.520321249961853","0.520321249961853"
"10007","0.605313777923584","0.605313777923584","0.605313777923584"
"10008","0.6182491779327393","0.6182491779327393","0.6182491779327393"
"10009","0.7234545946121216","0.7234545946121216","0.7234545946121216"
"10010","0.8643044233322144","0.8643044233322144","0.8643044233322144"
"10011","0.995405375957489","0.995405375957489","0.995405375957489"
"10012","1.1312406063079834","1.1312406063079834","1.1312406063079834"
"10013","1.1936973333358765","1.1936973333358765","1.1936973333358765"
"10014","1.322422981262207","1.322422981262207","1.322422981262207"
"10015","1.3451999425888062","1.3451999425888062","1.3451999425888062"
"10016","1.457418441772461","1.457418441772461","1.457418441772461"
"10017","1.5628598928451538","1.5628598928451538","1.5628598928451538"
"10018","1.6875529289245605","1.6875529289245605","1.6875529289245605"
"10019","1.7514805793762207","1.7514805793762207","1.7514805793762207"
"10020","1.868004560470581","1.868004560470581","1.868004560470581"
"10021","1.9246714115142822","1.9246714115142822","1.9246714115142822"
"10022","2.0823097229003906","2.0823097229003906","2.0823097229003906"
"10023","2.0976366996765137","2.0976366996765137","2.0976366996765137"
"10024","2.2175028324127197","2.2175028324127197","2.2175028324127197"
"10025","2.32908034324646","2.32908034324646","2.32908034324646"
"10026","2.459239959716797","2.459239959716797","2.459239959716797"
"10027","2.4259910583496094","2.4259910583496094","2.4259910583496094"
"10028","2.7056045532226562","2.7056045532226562","2.7056045532226562"
