"Step","4BlockID2 - Loss/value_function","4BlockID2 - Loss/value_function__MIN","4BlockID2 - Loss/value_function__MAX"
"9999","0.6465236321091652","0.6465236321091652","0.6465236321091652"
"10000","0.20724391117691993","0.20724391117691993","0.20724391117691993"
"10001","0.15152503326535224","0.15152503326535224","0.15152503326535224"
"10002","0.3015922889113426","0.3015922889113426","0.3015922889113426"
"10003","0.2670708760619164","0.2670708760619164","0.2670708760619164"
"10004","0.4252006232738495","0.4252006232738495","0.4252006232738495"
"10005","0.5113702058792114","0.5113702058792114","0.5113702058792114"
"10006","0.46312196403741834","0.46312196403741834","0.46312196403741834"
"10007","0.24290769100189208","0.24290769100189208","0.24290769100189208"
"10008","0.28669930547475814","0.28669930547475814","0.28669930547475814"
"10009","0.24949390441179276","0.24949390441179276","0.24949390441179276"
"10010","0.1196182131767273","0.1196182131767273","0.1196182131767273"
"10011","0.1268079996109009","0.1268079996109009","0.1268079996109009"
"10012","0.03738792100921273","0.03738792100921273","0.03738792100921273"
"10013","0.1211910517886281","0.1211910517886281","0.1211910517886281"
"10014","0.10528399236500263","0.10528399236500263","0.10528399236500263"
"10015","0.12748605012893677","0.12748605012893677","0.12748605012893677"
"10016","0.029417043458670376","0.029417043458670376","0.029417043458670376"
"10017","0.020916538964956998","0.020916538964956998","0.020916538964956998"
"10018","0.030487757828086614","0.030487757828086614","0.030487757828086614"
"10019","0.043675601668655875","0.043675601668655875","0.043675601668655875"
"10020","0.04314605463296175","0.04314605463296175","0.04314605463296175"
"10021","0.029874137975275515","0.029874137975275515","0.029874137975275515"
"10022","0.045182206109166144","0.045182206109166144","0.045182206109166144"
"10023","0.06760129388421773","0.06760129388421773","0.06760129388421773"
"10024","0.03799389973282814","0.03799389973282814","0.03799389973282814"
"10025","0.07016379833221435","0.07016379833221435","0.07016379833221435"
"10026","0.037128219939768316","0.037128219939768316","0.037128219939768316"
"10027","0.09073935635387897","0.09073935635387897","0.09073935635387897"
"10028","0.03887173198163509","0.03887173198163509","0.03887173198163509"
"10029","0.029293911531567574","0.029293911531567574","0.029293911531567574"
"10030","0.034195903595536946","0.034195903595536946","0.034195903595536946"
"10031","0.02975447177886963","0.02975447177886963","0.02975447177886963"
"10032","0.8961415469646454","0.8961415469646454","0.8961415469646454"
"10033","0.2237721011042595","0.2237721011042595","0.2237721011042595"
"10034","0.2370533250272274","0.2370533250272274","0.2370533250272274"
"10035","0.1898541681468487","0.1898541681468487","0.1898541681468487"
"10036","0.20905478969216346","0.20905478969216346","0.20905478969216346"
"10037","0.20741437673568724","0.20741437673568724","0.20741437673568724"
"10038","0.17418429255485535","0.17418429255485535","0.17418429255485535"
"10039","0.16205570846796036","0.16205570846796036","0.16205570846796036"
"10040","0.1357789821922779","0.1357789821922779","0.1357789821922779"
"10041","0.12021768651902676","0.12021768651902676","0.12021768651902676"
