"Step","2CornerORIp1 - Metrics/targetPosition/error_pos_2d","2CornerORIp1 - Metrics/targetPosition/error_pos_2d__MIN","2CornerORIp1 - Metrics/targetPosition/error_pos_2d__MAX"
"1","4.363365650177002","4.363365650177002","4.363365650177002"
"2","4.416025161743164","4.416025161743164","4.416025161743164"
"3","4.465188026428223","4.465188026428223","4.465188026428223"
"4","4.284948348999023","4.284948348999023","4.284948348999023"
"5","4.473645210266113","4.473645210266113","4.473645210266113"
"6","4.372600078582764","4.372600078582764","4.372600078582764"
"7","4.368989944458008","4.368989944458008","4.368989944458008"
"8","4.39824104309082","4.39824104309082","4.39824104309082"
"9","4.272080421447754","4.272080421447754","4.272080421447754"
"10","4.3728837966918945","4.3728837966918945","4.3728837966918945"
"11","4.256331443786621","4.256331443786621","4.256331443786621"
"12","4.38015079498291","4.38015079498291","4.38015079498291"
"13","4.461192607879639","4.461192607879639","4.461192607879639"
"14","4.650677680969238","4.650677680969238","4.650677680969238"
"15","4.500240325927734","4.500240325927734","4.500240325927734"
"16","4.477497100830078","4.477497100830078","4.477497100830078"
"17","4.490683555603027","4.490683555603027","4.490683555603027"
"18","4.680794715881348","4.680794715881348","4.680794715881348"
"19","4.5230793952941895","4.5230793952941895","4.5230793952941895"
"20","4.611552715301514","4.611552715301514","4.611552715301514"
"21","4.708133220672607","4.708133220672607","4.708133220672607"
"22","4.613097190856934","4.613097190856934","4.613097190856934"
"23","4.662205696105957","4.662205696105957","4.662205696105957"
"24","4.590370178222656","4.590370178222656","4.590370178222656"
"25","4.510500431060791","4.510500431060791","4.510500431060791"
"26","4.601414680480957","4.601414680480957","4.601414680480957"
"27","4.6093525886535645","4.6093525886535645","4.6093525886535645"
"28","4.527976036071777","4.527976036071777","4.527976036071777"
"29","4.6124420166015625","4.6124420166015625","4.6124420166015625"
"30","4.620418071746826","4.620418071746826","4.620418071746826"
"31","4.495172023773193","4.495172023773193","4.495172023773193"
"32","4.587742805480957","4.587742805480957","4.587742805480957"
"33","4.647305488586426","4.647305488586426","4.647305488586426"
"34","4.558175086975098","4.558175086975098","4.558175086975098"
"35","4.772795677185059","4.772795677185059","4.772795677185059"
"36","4.7052836418151855","4.7052836418151855","4.7052836418151855"
"37","4.615750789642334","4.615750789642334","4.615750789642334"
"38","4.586827278137207","4.586827278137207","4.586827278137207"
"39","4.6871490478515625","4.6871490478515625","4.6871490478515625"
"40","4.76171875","4.76171875","4.76171875"
"41","4.579655647277832","4.579655647277832","4.579655647277832"
"42","4.70402193069458","4.70402193069458","4.70402193069458"
"43","4.4832763671875","4.4832763671875","4.4832763671875"
"44","4.475455284118652","4.475455284118652","4.475455284118652"
"45","4.484042644500732","4.484042644500732","4.484042644500732"
"46","4.587327003479004","4.587327003479004","4.587327003479004"
"47","4.690990447998047","4.690990447998047","4.690990447998047"
"48","4.508361339569092","4.508361339569092","4.508361339569092"
"49","4.617474555969238","4.617474555969238","4.617474555969238"
"50","4.684812068939209","4.684812068939209","4.684812068939209"
"51","4.510239124298096","4.510239124298096","4.510239124298096"
"52","4.504251480102539","4.504251480102539","4.504251480102539"
"53","4.477367401123047","4.477367401123047","4.477367401123047"
"54","4.851315021514893","4.851315021514893","4.851315021514893"
"55","4.636199951171875","4.636199951171875","4.636199951171875"
"56","4.7820048332214355","4.7820048332214355","4.7820048332214355"
"57","4.5908331871032715","4.5908331871032715","4.5908331871032715"
"58","4.734408855438232","4.734408855438232","4.734408855438232"
"59","4.7886962890625","4.7886962890625","4.7886962890625"
"60","4.706651210784912","4.706651210784912","4.706651210784912"
"61","4.572031497955322","4.572031497955322","4.572031497955322"
"62","4.6421990394592285","4.6421990394592285","4.6421990394592285"
"63","4.657741069793701","4.657741069793701","4.657741069793701"
"64","4.676760673522949","4.676760673522949","4.676760673522949"
"65","4.6190595626831055","4.6190595626831055","4.6190595626831055"
"66","4.616944313049316","4.616944313049316","4.616944313049316"
"67","4.665623664855957","4.665623664855957","4.665623664855957"
"68","4.7287702560424805","4.7287702560424805","4.7287702560424805"
"69","4.680540084838867","4.680540084838867","4.680540084838867"
"70","4.619415283203125","4.619415283203125","4.619415283203125"
"71","4.605405807495117","4.605405807495117","4.605405807495117"
"72","4.517457962036133","4.517457962036133","4.517457962036133"
"73","4.695071697235107","4.695071697235107","4.695071697235107"
"74","4.808590412139893","4.808590412139893","4.808590412139893"
"75","4.599915981292725","4.599915981292725","4.599915981292725"
"76","4.69171667098999","4.69171667098999","4.69171667098999"
"77","4.776817321777344","4.776817321777344","4.776817321777344"
"78","4.541153907775879","4.541153907775879","4.541153907775879"
"79","4.837165832519531","4.837165832519531","4.837165832519531"
"80","4.6625518798828125","4.6625518798828125","4.6625518798828125"
"81","4.781477928161621","4.781477928161621","4.781477928161621"
"82","4.645270347595215","4.645270347595215","4.645270347595215"
"83","4.732054233551025","4.732054233551025","4.732054233551025"
"84","4.762433052062988","4.762433052062988","4.762433052062988"
"85","4.931029319763184","4.931029319763184","4.931029319763184"
"86","4.839938163757324","4.839938163757324","4.839938163757324"
"87","4.777320861816406","4.777320861816406","4.777320861816406"
"88","4.7489237785339355","4.7489237785339355","4.7489237785339355"
"89","4.722093105316162","4.722093105316162","4.722093105316162"
"90","4.666546821594238","4.666546821594238","4.666546821594238"
"91","4.835479736328125","4.835479736328125","4.835479736328125"
"92","4.648615837097168","4.648615837097168","4.648615837097168"
"93","4.696676254272461","4.696676254272461","4.696676254272461"
"94","4.61518669128418","4.61518669128418","4.61518669128418"
"95","4.632440567016602","4.632440567016602","4.632440567016602"
"96","4.529387950897217","4.529387950897217","4.529387950897217"
"97","4.595660209655762","4.595660209655762","4.595660209655762"
"98","4.666684150695801","4.666684150695801","4.666684150695801"
"99","4.708819389343262","4.708819389343262","4.708819389343262"
"100","4.705093860626221","4.705093860626221","4.705093860626221"
"101","4.462496757507324","4.462496757507324","4.462496757507324"
"102","4.585936546325684","4.585936546325684","4.585936546325684"
"103","4.532222747802734","4.532222747802734","4.532222747802734"
"104","4.524636745452881","4.524636745452881","4.524636745452881"
"105","4.500182628631592","4.500182628631592","4.500182628631592"
"106","4.5334367752075195","4.5334367752075195","4.5334367752075195"
"107","4.514939308166504","4.514939308166504","4.514939308166504"
"108","4.4715895652771","4.4715895652771","4.4715895652771"
"109","4.61525297164917","4.61525297164917","4.61525297164917"
"110","4.390667915344238","4.390667915344238","4.390667915344238"
"111","4.497987747192383","4.497987747192383","4.497987747192383"
"112","4.503417015075684","4.503417015075684","4.503417015075684"
"113","4.673967361450195","4.673967361450195","4.673967361450195"
"114","4.510702133178711","4.510702133178711","4.510702133178711"
"115","4.542422294616699","4.542422294616699","4.542422294616699"
"116","4.517721176147461","4.517721176147461","4.517721176147461"
"117","4.472803115844727","4.472803115844727","4.472803115844727"
"118","4.413448333740234","4.413448333740234","4.413448333740234"
"119","4.501518249511719","4.501518249511719","4.501518249511719"
"120","4.522435665130615","4.522435665130615","4.522435665130615"
"121","4.553881645202637","4.553881645202637","4.553881645202637"
"122","4.518976211547852","4.518976211547852","4.518976211547852"
"123","4.450353622436523","4.450353622436523","4.450353622436523"
"124","4.421529293060303","4.421529293060303","4.421529293060303"
"125","4.528545379638672","4.528545379638672","4.528545379638672"
"126","4.438746452331543","4.438746452331543","4.438746452331543"
"127","4.454685211181641","4.454685211181641","4.454685211181641"
"128","4.459161758422852","4.459161758422852","4.459161758422852"
"129","4.426029205322266","4.426029205322266","4.426029205322266"
"130","4.416944980621338","4.416944980621338","4.416944980621338"
"131","4.190704345703125","4.190704345703125","4.190704345703125"
"132","4.32606315612793","4.32606315612793","4.32606315612793"
"133","4.427149295806885","4.427149295806885","4.427149295806885"
"134","4.477189064025879","4.477189064025879","4.477189064025879"
"135","4.636109352111816","4.636109352111816","4.636109352111816"
"136","4.550083637237549","4.550083637237549","4.550083637237549"
"137","4.479360580444336","4.479360580444336","4.479360580444336"
"138","4.450930595397949","4.450930595397949","4.450930595397949"
"139","4.311064720153809","4.311064720153809","4.311064720153809"
"140","4.4309282302856445","4.4309282302856445","4.4309282302856445"
"141","4.525206089019775","4.525206089019775","4.525206089019775"
"142","4.486777305603027","4.486777305603027","4.486777305603027"
"143","4.451824188232422","4.451824188232422","4.451824188232422"
"144","4.354531764984131","4.354531764984131","4.354531764984131"
"145","4.466272354125977","4.466272354125977","4.466272354125977"
"146","4.258831977844238","4.258831977844238","4.258831977844238"
"147","4.479892730712891","4.479892730712891","4.479892730712891"
"148","4.527351379394531","4.527351379394531","4.527351379394531"
"149","4.3521728515625","4.3521728515625","4.3521728515625"
"150","4.306715965270996","4.306715965270996","4.306715965270996"
"151","4.574544429779053","4.574544429779053","4.574544429779053"
"152","4.369197845458984","4.369197845458984","4.369197845458984"
"153","4.445813179016113","4.445813179016113","4.445813179016113"
"154","4.119142532348633","4.119142532348633","4.119142532348633"
"155","4.2497076988220215","4.2497076988220215","4.2497076988220215"
"156","4.499702453613281","4.499702453613281","4.499702453613281"
"157","4.611588478088379","4.611588478088379","4.611588478088379"
"158","4.28029727935791","4.28029727935791","4.28029727935791"
"159","4.335468292236328","4.335468292236328","4.335468292236328"
"160","4.341559410095215","4.341559410095215","4.341559410095215"
"161","4.370073318481445","4.370073318481445","4.370073318481445"
"162","4.230335712432861","4.230335712432861","4.230335712432861"
"163","4.337172031402588","4.337172031402588","4.337172031402588"
"164","4.623851299285889","4.623851299285889","4.623851299285889"
"165","4.475905418395996","4.475905418395996","4.475905418395996"
