"Step","1Ball1BlockID - Episode_Reward/payload_2_target","1Ball1BlockID - Episode_Reward/payload_2_target__MIN","1Ball1BlockID - Episode_Reward/payload_2_target__MAX"
"1","-1.603605994660029e-7","-1.603605994660029e-7","-1.603605994660029e-7"
"4","-0.000001492727960794582","-0.000001492727960794582","-0.000001492727960794582"
"5","-0.004726517479866743","-0.004726517479866743","-0.004726517479866743"
"9","-0.000004175956746621523","-0.000004175956746621523","-0.000004175956746621523"
"16","-0.03725610300898552","-0.03725610300898552","-0.03725610300898552"
"17","0.006627771072089672","0.006627771072089672","0.006627771072089672"
"18","-0.0029161330312490463","-0.0029161330312490463","-0.0029161330312490463"
"19","-0.00014010084851179272","-0.00014010084851179272","-0.00014010084851179272"
"22","-0.0003362282586749643","-0.0003362282586749643","-0.0003362282586749643"
"25","-0.0005963004659861326","-0.0005963004659861326","-0.0005963004659861326"
"30","-0.005281075369566679","-0.005281075369566679","-0.005281075369566679"
"33","-0.08390650153160095","-0.08390650153160095","-0.08390650153160095"
"37","-0.006820942275226116","-0.006820942275226116","-0.006820942275226116"
"38","-0.003419216489419341","-0.003419216489419341","-0.003419216489419341"
"42","-0.00278090569190681","-0.00278090569190681","-0.00278090569190681"
"43","-0.015116228722035885","-0.015116228722035885","-0.015116228722035885"
"46","-0.02196548879146576","-0.02196548879146576","-0.02196548879146576"
"50","-0.041895728558301926","-0.041895728558301926","-0.041895728558301926"
"53","-0.05014970526099205","-0.05014970526099205","-0.05014970526099205"
"55","-0.007180606946349144","-0.007180606946349144","-0.007180606946349144"
"57","-0.01937319152057171","-0.01937319152057171","-0.01937319152057171"
"58","-0.01609695702791214","-0.01609695702791214","-0.01609695702791214"
"63","-0.01584598794579506","-0.01584598794579506","-0.01584598794579506"
"65","-0.022494781762361526","-0.022494781762361526","-0.022494781762361526"
"66","-0.041599340736866","-0.041599340736866","-0.041599340736866"
"67","-0.029357459396123886","-0.029357459396123886","-0.029357459396123886"
"71","-0.022487983107566833","-0.022487983107566833","-0.022487983107566833"
"72","-0.027493208646774292","-0.027493208646774292","-0.027493208646774292"
"73","-0.04463246092200279","-0.04463246092200279","-0.04463246092200279"
"74","-0.037434279918670654","-0.037434279918670654","-0.037434279918670654"
"76","-0.04441560432314873","-0.04441560432314873","-0.04441560432314873"
"77","-0.03420370817184448","-0.03420370817184448","-0.03420370817184448"
"79","-0.03257761523127556","-0.03257761523127556","-0.03257761523127556"
"81","-0.031762391328811646","-0.031762391328811646","-0.031762391328811646"
"82","-0.05756932124495506","-0.05756932124495506","-0.05756932124495506"
"86","-0.09490757435560226","-0.09490757435560226","-0.09490757435560226"
"87","-0.09251520037651062","-0.09251520037651062","-0.09251520037651062"
"88","-0.12526309490203857","-0.12526309490203857","-0.12526309490203857"
"89","-0.090243399143219","-0.090243399143219","-0.090243399143219"
"91","-0.060822390019893646","-0.060822390019893646","-0.060822390019893646"
"93","-0.11640395224094391","-0.11640395224094391","-0.11640395224094391"
"95","-0.12353670597076416","-0.12353670597076416","-0.12353670597076416"
"97","-0.181718111038208","-0.181718111038208","-0.181718111038208"
"101","-0.1436607837677002","-0.1436607837677002","-0.1436607837677002"
"105","-0.12213432788848877","-0.12213432788848877","-0.12213432788848877"
"106","-0.19401311874389648","-0.19401311874389648","-0.19401311874389648"
"107","-0.14536188542842865","-0.14536188542842865","-0.14536188542842865"
"108","-0.17584054172039032","-0.17584054172039032","-0.17584054172039032"
"111","-0.1533394157886505","-0.1533394157886505","-0.1533394157886505"
"113","-0.14181452989578247","-0.14181452989578247","-0.14181452989578247"
"115","-0.1325608491897583","-0.1325608491897583","-0.1325608491897583"
"116","-0.12985172867774963","-0.12985172867774963","-0.12985172867774963"
"118","-0.11602023243904114","-0.11602023243904114","-0.11602023243904114"
"119","-0.11261659860610962","-0.11261659860610962","-0.11261659860610962"
"122","-0.09029844403266907","-0.09029844403266907","-0.09029844403266907"
"124","-0.11211468279361725","-0.11211468279361725","-0.11211468279361725"
"126","-0.08307793736457825","-0.08307793736457825","-0.08307793736457825"
"127","-0.09065726399421692","-0.09065726399421692","-0.09065726399421692"
"130","-0.06865799427032471","-0.06865799427032471","-0.06865799427032471"
"131","-0.08204951137304306","-0.08204951137304306","-0.08204951137304306"
"134","-0.07782603055238724","-0.07782603055238724","-0.07782603055238724"
"135","-0.08757784217596054","-0.08757784217596054","-0.08757784217596054"
"136","-0.08943569660186768","-0.08943569660186768","-0.08943569660186768"
"139","-0.09760227054357529","-0.09760227054357529","-0.09760227054357529"
"143","-0.07803602516651154","-0.07803602516651154","-0.07803602516651154"
"144","-0.07916831970214844","-0.07916831970214844","-0.07916831970214844"
"149","-0.04515121504664421","-0.04515121504664421","-0.04515121504664421"
"150","-0.05899925157427788","-0.05899925157427788","-0.05899925157427788"
"153","-0.049547430127859116","-0.049547430127859116","-0.049547430127859116"
"154","-0.04834557697176933","-0.04834557697176933","-0.04834557697176933"
"157","-0.046345025300979614","-0.046345025300979614","-0.046345025300979614"
"158","-0.055885590612888336","-0.055885590612888336","-0.055885590612888336"
"160","-0.03854023665189743","-0.03854023665189743","-0.03854023665189743"
"161","-0.05662836879491806","-0.05662836879491806","-0.05662836879491806"
"162","-0.035553451627492905","-0.035553451627492905","-0.035553451627492905"
"165","-0.05307752639055252","-0.05307752639055252","-0.05307752639055252"
"166","-0.0457255057990551","-0.0457255057990551","-0.0457255057990551"
"167","-0.059847570955753326","-0.059847570955753326","-0.059847570955753326"
"168","-0.04181824252009392","-0.04181824252009392","-0.04181824252009392"
"170","-0.04931177943944931","-0.04931177943944931","-0.04931177943944931"
"174","-0.0548926405608654","-0.0548926405608654","-0.0548926405608654"
"175","-0.05599135160446167","-0.05599135160446167","-0.05599135160446167"
"176","-0.05678575858473778","-0.05678575858473778","-0.05678575858473778"
"183","-0.0507575087249279","-0.0507575087249279","-0.0507575087249279"
"185","-0.05912415310740471","-0.05912415310740471","-0.05912415310740471"
"187","-0.044057440012693405","-0.044057440012693405","-0.044057440012693405"
"193","-0.06619524955749512","-0.06619524955749512","-0.06619524955749512"
"194","-0.05038563534617424","-0.05038563534617424","-0.05038563534617424"
"197","-0.043724726885557175","-0.043724726885557175","-0.043724726885557175"
"198","-0.05723324418067932","-0.05723324418067932","-0.05723324418067932"
"200","-0.058552034199237823","-0.058552034199237823","-0.058552034199237823"
"202","-0.06495542079210281","-0.06495542079210281","-0.06495542079210281"
"203","-0.06312945485115051","-0.06312945485115051","-0.06312945485115051"
"207","-0.07244256138801575","-0.07244256138801575","-0.07244256138801575"
"211","-0.06470797955989838","-0.06470797955989838","-0.06470797955989838"
"213","-0.07901717722415924","-0.07901717722415924","-0.07901717722415924"
"214","-0.05226967856287956","-0.05226967856287956","-0.05226967856287956"
"216","-0.06398381292819977","-0.06398381292819977","-0.06398381292819977"
"220","-0.05223187431693077","-0.05223187431693077","-0.05223187431693077"
"221","-0.058380305767059326","-0.058380305767059326","-0.058380305767059326"
"223","-0.034816496074199677","-0.034816496074199677","-0.034816496074199677"
"224","-0.03703734651207924","-0.03703734651207924","-0.03703734651207924"
"225","-0.04102175682783127","-0.04102175682783127","-0.04102175682783127"
"227","-0.04881634563207626","-0.04881634563207626","-0.04881634563207626"
"229","-0.04277550429105759","-0.04277550429105759","-0.04277550429105759"
"233","-0.043010734021663666","-0.043010734021663666","-0.043010734021663666"
"235","-0.05322190374135971","-0.05322190374135971","-0.05322190374135971"
"236","-0.04358638450503349","-0.04358638450503349","-0.04358638450503349"
"242","-0.04922964796423912","-0.04922964796423912","-0.04922964796423912"
"246","-0.03296426683664322","-0.03296426683664322","-0.03296426683664322"
"248","-0.05433186888694763","-0.05433186888694763","-0.05433186888694763"
"249","-0.04006363824009895","-0.04006363824009895","-0.04006363824009895"
"250","-0.05035445839166641","-0.05035445839166641","-0.05035445839166641"
"252","-0.057558100670576096","-0.057558100670576096","-0.057558100670576096"
"253","-0.04322565719485283","-0.04322565719485283","-0.04322565719485283"
"256","-0.04335571452975273","-0.04335571452975273","-0.04335571452975273"
"257","-0.042021431028842926","-0.042021431028842926","-0.042021431028842926"
"258","-0.04467017576098442","-0.04467017576098442","-0.04467017576098442"
"265","-0.016492081806063652","-0.016492081806063652","-0.016492081806063652"
"268","-0.009031113237142563","-0.009031113237142563","-0.009031113237142563"
"269","0.011794298887252808","0.011794298887252808","0.011794298887252808"
"273","-0.041715435683727264","-0.041715435683727264","-0.041715435683727264"
"277","0.006273848470300436","0.006273848470300436","0.006273848470300436"
"278","-0.018837204203009605","-0.018837204203009605","-0.018837204203009605"
"281","-0.0011751054553315043","-0.0011751054553315043","-0.0011751054553315043"
"283","-0.02365219220519066","-0.02365219220519066","-0.02365219220519066"
"284","-0.03891914337873459","-0.03891914337873459","-0.03891914337873459"
"287","-0.021894041448831558","-0.021894041448831558","-0.021894041448831558"
"288","-0.009895084425807","-0.009895084425807","-0.009895084425807"
"293","-0.008626000955700874","-0.008626000955700874","-0.008626000955700874"
"294","-0.03743889182806015","-0.03743889182806015","-0.03743889182806015"
"295","-0.03939478099346161","-0.03939478099346161","-0.03939478099346161"
"298","0.0005078024114482105","0.0005078024114482105","0.0005078024114482105"
"300","-0.025268834084272385","-0.025268834084272385","-0.025268834084272385"
"301","-0.006217642687261105","-0.006217642687261105","-0.006217642687261105"
"302","-0.022970452904701233","-0.022970452904701233","-0.022970452904701233"
"305","0.01653650961816311","0.01653650961816311","0.01653650961816311"
"306","0.01750151440501213","0.01750151440501213","0.01750151440501213"
"307","-0.012112066149711609","-0.012112066149711609","-0.012112066149711609"
"309","0.008046011440455914","0.008046011440455914","0.008046011440455914"
"311","-0.027585601434111595","-0.027585601434111595","-0.027585601434111595"
"317","-0.018972191959619522","-0.018972191959619522","-0.018972191959619522"
"319","-0.04073324054479599","-0.04073324054479599","-0.04073324054479599"
"321","-0.004437731578946114","-0.004437731578946114","-0.004437731578946114"
"322","-0.0006877718260511756","-0.0006877718260511756","-0.0006877718260511756"
"323","-0.04070428013801575","-0.04070428013801575","-0.04070428013801575"
"326","-0.045563094317913055","-0.045563094317913055","-0.045563094317913055"
"327","-0.012071486562490463","-0.012071486562490463","-0.012071486562490463"
"328","-0.03254326805472374","-0.03254326805472374","-0.03254326805472374"
"332","-0.037390850484371185","-0.037390850484371185","-0.037390850484371185"
"336","-0.03455831855535507","-0.03455831855535507","-0.03455831855535507"
"338","-0.03465293347835541","-0.03465293347835541","-0.03465293347835541"
"339","-0.006032987497746944","-0.006032987497746944","-0.006032987497746944"
"341","-0.027523552998900414","-0.027523552998900414","-0.027523552998900414"
"342","-0.02806577831506729","-0.02806577831506729","-0.02806577831506729"
"345","-0.025742849335074425","-0.025742849335074425","-0.025742849335074425"
"350","0.0012894696556031704","0.0012894696556031704","0.0012894696556031704"
"351","-0.023071959614753723","-0.023071959614753723","-0.023071959614753723"
"353","-0.03739321231842041","-0.03739321231842041","-0.03739321231842041"
"356","-0.036754243075847626","-0.036754243075847626","-0.036754243075847626"
"358","-0.04339116811752319","-0.04339116811752319","-0.04339116811752319"
"359","-0.011517975479364395","-0.011517975479364395","-0.011517975479364395"
"360","0.0071830712258815765","0.0071830712258815765","0.0071830712258815765"
"362","-0.025663821026682854","-0.025663821026682854","-0.025663821026682854"
"363","-0.009925786405801773","-0.009925786405801773","-0.009925786405801773"
"366","-0.042905643582344055","-0.042905643582344055","-0.042905643582344055"
"367","-0.015350118279457092","-0.015350118279457092","-0.015350118279457092"
"368","-0.03494219481945038","-0.03494219481945038","-0.03494219481945038"
"372","0.012899620458483696","0.012899620458483696","0.012899620458483696"
"375","0.013518866151571274","0.013518866151571274","0.013518866151571274"
"379","0.037100013345479965","0.037100013345479965","0.037100013345479965"
"381","0.049034904688596725","0.049034904688596725","0.049034904688596725"
