"Step","AnymalD-ArmLess-Variable4 - Episode_Reward/bot_2_payload","AnymalD-ArmLess-Variable4 - Episode_Reward/bot_2_payload__MIN","AnymalD-ArmLess-Variable4 - Episode_Reward/bot_2_payload__MAX"
"1","0.018531158566474915","0.018531158566474915","0.018531158566474915"
"2","0.03723631054162979","0.03723631054162979","0.03723631054162979"
"3","0.055752139538526535","0.055752139538526535","0.055752139538526535"
"4","0.06499166041612625","0.06499166041612625","0.06499166041612625"
"5","0.0853559672832489","0.0853559672832489","0.0853559672832489"
"7","0.11595688760280609","0.11595688760280609","0.11595688760280609"
"8","0.13901981711387634","0.13901981711387634","0.13901981711387634"
"9","0.14621157944202423","0.14621157944202423","0.14621157944202423"
"10","0.16506749391555786","0.16506749391555786","0.16506749391555786"
"11","0.19453494250774384","0.19453494250774384","0.19453494250774384"
"12","0.22994744777679443","0.22994744777679443","0.22994744777679443"
"13","0.22729389369487762","0.22729389369487762","0.22729389369487762"
"14","0.27644234895706177","0.27644234895706177","0.27644234895706177"
"15","0.2845240831375122","0.2845240831375122","0.2845240831375122"
"16","0.25909286737442017","0.25909286737442017","0.25909286737442017"
"17","0.2921055555343628","0.2921055555343628","0.2921055555343628"
"18","0.3296549320220947","0.3296549320220947","0.3296549320220947"
"19","0.3143300414085388","0.3143300414085388","0.3143300414085388"
"20","0.3326885402202606","0.3326885402202606","0.3326885402202606"
"21","0.36638712882995605","0.36638712882995605","0.36638712882995605"
"22","0.37252044677734375","0.37252044677734375","0.37252044677734375"
"23","0.3648889660835266","0.3648889660835266","0.3648889660835266"
"25","0.4406828284263611","0.4406828284263611","0.4406828284263611"
"26","0.4390196204185486","0.4390196204185486","0.4390196204185486"
"27","0.44838470220565796","0.44838470220565796","0.44838470220565796"
"28","0.43234166502952576","0.43234166502952576","0.43234166502952576"
"29","0.4254304766654968","0.4254304766654968","0.4254304766654968"
"30","0.4372910261154175","0.4372910261154175","0.4372910261154175"
"31","0.40505409240722656","0.40505409240722656","0.40505409240722656"
"32","0.4608711004257202","0.4608711004257202","0.4608711004257202"
"33","0.3961488604545593","0.3961488604545593","0.3961488604545593"
"34","0.385445773601532","0.385445773601532","0.385445773601532"
"35","0.40030965209007263","0.40030965209007263","0.40030965209007263"
"36","0.4251349866390228","0.4251349866390228","0.4251349866390228"
"37","0.39330220222473145","0.39330220222473145","0.39330220222473145"
"38","0.41680750250816345","0.41680750250816345","0.41680750250816345"
"39","0.429722398519516","0.429722398519516","0.429722398519516"
"40","0.46787071228027344","0.46787071228027344","0.46787071228027344"
"42","0.5335079431533813","0.5335079431533813","0.5335079431533813"
"43","0.5036202073097229","0.5036202073097229","0.5036202073097229"
"44","0.5619239807128906","0.5619239807128906","0.5619239807128906"
"45","0.6079419851303101","0.6079419851303101","0.6079419851303101"
"46","0.5609182715415955","0.5609182715415955","0.5609182715415955"
"47","0.6605128049850464","0.6605128049850464","0.6605128049850464"
"48","0.8018531799316406","0.8018531799316406","0.8018531799316406"
"49","0.6929488182067871","0.6929488182067871","0.6929488182067871"
"50","0.85794997215271","0.85794997215271","0.85794997215271"
"51","0.8546347618103027","0.8546347618103027","0.8546347618103027"
"52","0.8534268140792847","0.8534268140792847","0.8534268140792847"
"53","1.1354660987854004","1.1354660987854004","1.1354660987854004"
"54","0.9330472946166992","0.9330472946166992","0.9330472946166992"
"55","0.8152753710746765","0.8152753710746765","0.8152753710746765"
"56","0.8849647045135498","0.8849647045135498","0.8849647045135498"
"57","0.8271200060844421","0.8271200060844421","0.8271200060844421"
"58","1.0323866605758667","1.0323866605758667","1.0323866605758667"
"59","0.9246772527694702","0.9246772527694702","0.9246772527694702"
"60","1.0198395252227783","1.0198395252227783","1.0198395252227783"
"61","1.2491223812103271","1.2491223812103271","1.2491223812103271"
"62","1.1295573711395264","1.1295573711395264","1.1295573711395264"
"63","1.2405489683151245","1.2405489683151245","1.2405489683151245"
"64","1.2007043361663818","1.2007043361663818","1.2007043361663818"
"65","1.1358915567398071","1.1358915567398071","1.1358915567398071"
"66","1.2934300899505615","1.2934300899505615","1.2934300899505615"
"68","1.4242156744003296","1.4242156744003296","1.4242156744003296"
