"Step","AnymalD-ArmLess-Variable4 - Episode_Termination/base_contact","AnymalD-ArmLess-Variable4 - Episode_Termination/base_contact__MIN","AnymalD-ArmLess-Variable4 - Episode_Termination/base_contact__MAX"
"1","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"2","0.5416666865348816","0.5416666865348816","0.5416666865348816"
"3","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"4","0.125","0.125","0.125"
"5","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"6","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"7","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"8","0","0","0"
"9","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"10","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"11","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"12","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"13","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"14","0.125","0.125","0.125"
"15","0.4166666865348816","0.4166666865348816","0.4166666865348816"
"16","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"17","0.4583333432674408","0.4583333432674408","0.4583333432674408"
"18","0.7083333730697632","0.7083333730697632","0.7083333730697632"
"19","1.9166667461395264","1.9166667461395264","1.9166667461395264"
"20","1.4166667461395264","1.4166667461395264","1.4166667461395264"
"21","1.4166667461395264","1.4166667461395264","1.4166667461395264"
"22","1.625","1.625","1.625"
"23","1.4583333730697632","1.4583333730697632","1.4583333730697632"
"24","1.4166667461395264","1.4166667461395264","1.4166667461395264"
"25","1.7916667461395264","1.7916667461395264","1.7916667461395264"
"26","1.7083333730697632","1.7083333730697632","1.7083333730697632"
"27","2.875","2.875","2.875"
"28","3.625","3.625","3.625"
"29","5.7916669845581055","5.7916669845581055","5.7916669845581055"
"30","6.458333492279053","6.458333492279053","6.458333492279053"
"31","7.6666669845581055","7.6666669845581055","7.6666669845581055"
"32","8.333333969116211","8.333333969116211","8.333333969116211"
"34","12.625","12.625","12.625"
"35","11.708333969116211","11.708333969116211","11.708333969116211"
"36","11.25","11.25","11.25"
"37","10.166666984558105","10.166666984558105","10.166666984558105"
"38","8.5","8.5","8.5"
"39","6.708333492279053","6.708333492279053","6.708333492279053"
"40","5.708333492279053","5.708333492279053","5.708333492279053"
"41","5","5","5"
"42","5.25","5.25","5.25"
"43","5.6666669845581055","5.6666669845581055","5.6666669845581055"
"44","6.0416669845581055","6.0416669845581055","6.0416669845581055"
"45","6.125","6.125","6.125"
"46","5.7916669845581055","5.7916669845581055","5.7916669845581055"
"49","3.2916667461395264","3.2916667461395264","3.2916667461395264"
"50","1.75","1.75","1.75"
"51","1.5833333730697632","1.5833333730697632","1.5833333730697632"
"52","1.5833333730697632","1.5833333730697632","1.5833333730697632"
"53","0.875","0.875","0.875"
"54","1.1666667461395264","1.1666667461395264","1.1666667461395264"
"55","1.2916667461395264","1.2916667461395264","1.2916667461395264"
"56","1.1666667461395264","1.1666667461395264","1.1666667461395264"
"57","1.5","1.5","1.5"
"58","1.125","1.125","1.125"
"59","1.3333333730697632","1.3333333730697632","1.3333333730697632"
"60","1.3333333730697632","1.3333333730697632","1.3333333730697632"
"61","1.125","1.125","1.125"
"62","1.5833333730697632","1.5833333730697632","1.5833333730697632"
"63","0.9166666865348816","0.9166666865348816","0.9166666865348816"
"64","1.2083333730697632","1.2083333730697632","1.2083333730697632"
"65","1.4166667461395264","1.4166667461395264","1.4166667461395264"
"66","0.7916666865348816","0.7916666865348816","0.7916666865348816"
"67","0.9166666865348816","0.9166666865348816","0.9166666865348816"
"68","0.9166666865348816","0.9166666865348816","0.9166666865348816"
"69","0.625","0.625","0.625"
"70","0.4166666865348816","0.4166666865348816","0.4166666865348816"
"71","0.625","0.625","0.625"
"72","0.5","0.5","0.5"
"73","0.5833333730697632","0.5833333730697632","0.5833333730697632"
"74","0.625","0.625","0.625"
"76","0.5833333730697632","0.5833333730697632","0.5833333730697632"
"77","0.625","0.625","0.625"
"78","0.625","0.625","0.625"
"79","0.625","0.625","0.625"
"80","0.375","0.375","0.375"
"81","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"82","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"83","0.375","0.375","0.375"
"84","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"85","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"86","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"87","0.4583333432674408","0.4583333432674408","0.4583333432674408"
"89","0.5416666865348816","0.5416666865348816","0.5416666865348816"
"90","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"91","0.5","0.5","0.5"
"92","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"93","0.5","0.5","0.5"
"94","0.5","0.5","0.5"
"95","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"96","0.5416666865348816","0.5416666865348816","0.5416666865348816"
"97","0.25","0.25","0.25"
"98","0.25","0.25","0.25"
"99","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"100","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"101","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"102","0.25","0.25","0.25"
"103","0.25","0.25","0.25"
"105","0.25","0.25","0.25"
"106","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"107","0.25","0.25","0.25"
"108","0.25","0.25","0.25"
"109","0.125","0.125","0.125"
"110","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"111","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"113","0.4166666865348816","0.4166666865348816","0.4166666865348816"
"114","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"115","0.125","0.125","0.125"
"116","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"117","0.25","0.25","0.25"
"118","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"119","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"120","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"121","0.4583333432674408","0.4583333432674408","0.4583333432674408"
"122","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"123","0.125","0.125","0.125"
"124","0.5833333730697632","0.5833333730697632","0.5833333730697632"
"125","0.5833333730697632","0.5833333730697632","0.5833333730697632"
"127","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"128","0.375","0.375","0.375"
"129","0.4166666865348816","0.4166666865348816","0.4166666865348816"
"130","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"131","0.25","0.25","0.25"
"132","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"133","0.25","0.25","0.25"
"135","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"136","0.5","0.5","0.5"
"137","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"138","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"139","0.25","0.25","0.25"
"140","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"141","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"142","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"143","0.125","0.125","0.125"
"145","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"146","0.0833333358168602","0.0833333358168602","0.0833333358168602"
