"Step","AnymalD-ArmLess-Variable4 - Metrics/targetPosition/error_pos_2d","AnymalD-ArmLess-Variable4 - Metrics/targetPosition/error_pos_2d__MIN","AnymalD-ArmLess-Variable4 - Metrics/targetPosition/error_pos_2d__MAX"
"1","4.316585540771484","4.316585540771484","4.316585540771484"
"2","4.305848121643066","4.305848121643066","4.305848121643066"
"3","4.200159072875977","4.200159072875977","4.200159072875977"
"4","4.490283012390137","4.490283012390137","4.490283012390137"
"5","4.419744491577148","4.419744491577148","4.419744491577148"
"6","4.286980152130127","4.286980152130127","4.286980152130127"
"7","4.507730960845947","4.507730960845947","4.507730960845947"
"8","4.321771621704102","4.321771621704102","4.321771621704102"
"9","4.426145076751709","4.426145076751709","4.426145076751709"
"10","4.519858360290527","4.519858360290527","4.519858360290527"
"11","4.471355438232422","4.471355438232422","4.471355438232422"
"12","4.333525657653809","4.333525657653809","4.333525657653809"
"13","4.464197158813477","4.464197158813477","4.464197158813477"
"14","4.361239910125732","4.361239910125732","4.361239910125732"
"15","4.344767093658447","4.344767093658447","4.344767093658447"
"16","4.397161960601807","4.397161960601807","4.397161960601807"
"17","4.545319557189941","4.545319557189941","4.545319557189941"
"18","4.327495098114014","4.327495098114014","4.327495098114014"
"20","4.490776538848877","4.490776538848877","4.490776538848877"
"21","4.38162899017334","4.38162899017334","4.38162899017334"
"22","4.443918228149414","4.443918228149414","4.443918228149414"
"23","4.60146427154541","4.60146427154541","4.60146427154541"
"24","4.58905029296875","4.58905029296875","4.58905029296875"
"26","4.563144683837891","4.563144683837891","4.563144683837891"
"27","4.5833420753479","4.5833420753479","4.5833420753479"
"28","4.614996910095215","4.614996910095215","4.614996910095215"
"29","4.601798057556152","4.601798057556152","4.601798057556152"
"30","4.588881492614746","4.588881492614746","4.588881492614746"
"31","4.591745853424072","4.591745853424072","4.591745853424072"
"32","4.488580226898193","4.488580226898193","4.488580226898193"
"33","4.616853713989258","4.616853713989258","4.616853713989258"
"35","4.561910629272461","4.561910629272461","4.561910629272461"
"36","4.47498893737793","4.47498893737793","4.47498893737793"
"37","4.532307147979736","4.532307147979736","4.532307147979736"
"38","4.539490222930908","4.539490222930908","4.539490222930908"
"39","4.586493968963623","4.586493968963623","4.586493968963623"
"40","4.6203932762146","4.6203932762146","4.6203932762146"
"41","4.5730438232421875","4.5730438232421875","4.5730438232421875"
"42","4.526707172393799","4.526707172393799","4.526707172393799"
"43","4.410593032836914","4.410593032836914","4.410593032836914"
"44","4.4667277336120605","4.4667277336120605","4.4667277336120605"
"45","4.379717826843262","4.379717826843262","4.379717826843262"
"46","4.501415252685547","4.501415252685547","4.501415252685547"
"47","4.574859142303467","4.574859142303467","4.574859142303467"
"48","4.537610054016113","4.537610054016113","4.537610054016113"
"49","4.504270076751709","4.504270076751709","4.504270076751709"
"50","4.438561916351318","4.438561916351318","4.438561916351318"
"51","4.61613655090332","4.61613655090332","4.61613655090332"
"52","4.725498676300049","4.725498676300049","4.725498676300049"
"53","4.482989311218262","4.482989311218262","4.482989311218262"
"54","4.691431045532227","4.691431045532227","4.691431045532227"
"55","4.689772605895996","4.689772605895996","4.689772605895996"
"56","4.639272212982178","4.639272212982178","4.639272212982178"
"57","4.587364196777344","4.587364196777344","4.587364196777344"
"58","4.606923580169678","4.606923580169678","4.606923580169678"
"59","4.596735000610352","4.596735000610352","4.596735000610352"
"60","4.3943891525268555","4.3943891525268555","4.3943891525268555"
"61","4.480711936950684","4.480711936950684","4.480711936950684"
"62","4.6333723068237305","4.6333723068237305","4.6333723068237305"
"63","4.5256667137146","4.5256667137146","4.5256667137146"
"64","4.426296710968018","4.426296710968018","4.426296710968018"
"65","4.3688459396362305","4.3688459396362305","4.3688459396362305"
"66","4.657256126403809","4.657256126403809","4.657256126403809"
"67","4.621865749359131","4.621865749359131","4.621865749359131"
"68","4.507665634155273","4.507665634155273","4.507665634155273"
"69","4.602850914001465","4.602850914001465","4.602850914001465"
"70","4.288308620452881","4.288308620452881","4.288308620452881"
"71","4.4256086349487305","4.4256086349487305","4.4256086349487305"
"72","4.486558437347412","4.486558437347412","4.486558437347412"
"73","4.329845428466797","4.329845428466797","4.329845428466797"
"74","4.4556474685668945","4.4556474685668945","4.4556474685668945"
"75","4.430915832519531","4.430915832519531","4.430915832519531"
"76","4.474200248718262","4.474200248718262","4.474200248718262"
"77","4.570572376251221","4.570572376251221","4.570572376251221"
"78","4.484272003173828","4.484272003173828","4.484272003173828"
"79","4.512833118438721","4.512833118438721","4.512833118438721"
"80","4.467634677886963","4.467634677886963","4.467634677886963"
"81","4.577388763427734","4.577388763427734","4.577388763427734"
"82","4.510824680328369","4.510824680328369","4.510824680328369"
"83","4.547427177429199","4.547427177429199","4.547427177429199"
"84","4.526059627532959","4.526059627532959","4.526059627532959"
"85","4.469137191772461","4.469137191772461","4.469137191772461"
"86","4.620917797088623","4.620917797088623","4.620917797088623"
"87","4.679511070251465","4.679511070251465","4.679511070251465"
"88","4.593304634094238","4.593304634094238","4.593304634094238"
"89","4.812570095062256","4.812570095062256","4.812570095062256"
"90","4.649862289428711","4.649862289428711","4.649862289428711"
"91","4.600000858306885","4.600000858306885","4.600000858306885"
"92","4.559670448303223","4.559670448303223","4.559670448303223"
"93","4.7059326171875","4.7059326171875","4.7059326171875"
"94","4.6284308433532715","4.6284308433532715","4.6284308433532715"
"95","4.612298965454102","4.612298965454102","4.612298965454102"
"96","4.5936808586120605","4.5936808586120605","4.5936808586120605"
"97","4.679840564727783","4.679840564727783","4.679840564727783"
"99","4.7730231285095215","4.7730231285095215","4.7730231285095215"
"100","4.694587707519531","4.694587707519531","4.694587707519531"
"101","4.579892158508301","4.579892158508301","4.579892158508301"
"102","4.574024200439453","4.574024200439453","4.574024200439453"
"104","4.731891632080078","4.731891632080078","4.731891632080078"
"105","4.260686874389648","4.260686874389648","4.260686874389648"
"106","4.397960662841797","4.397960662841797","4.397960662841797"
"107","4.551008701324463","4.551008701324463","4.551008701324463"
"108","4.654939651489258","4.654939651489258","4.654939651489258"
"109","4.596137046813965","4.596137046813965","4.596137046813965"
"110","4.648621559143066","4.648621559143066","4.648621559143066"
"111","4.5956621170043945","4.5956621170043945","4.5956621170043945"
"112","4.408316612243652","4.408316612243652","4.408316612243652"
"113","4.6012372970581055","4.6012372970581055","4.6012372970581055"
"114","4.623220443725586","4.623220443725586","4.623220443725586"
"115","4.466155052185059","4.466155052185059","4.466155052185059"
"116","4.543379783630371","4.543379783630371","4.543379783630371"
"117","4.567708969116211","4.567708969116211","4.567708969116211"
"118","4.488517761230469","4.488517761230469","4.488517761230469"
"119","4.499701499938965","4.499701499938965","4.499701499938965"
"120","4.584544658660889","4.584544658660889","4.584544658660889"
"121","4.581593036651611","4.581593036651611","4.581593036651611"
"122","4.522145748138428","4.522145748138428","4.522145748138428"
"123","4.330145359039307","4.330145359039307","4.330145359039307"
"124","4.416522979736328","4.416522979736328","4.416522979736328"
"125","4.505340576171875","4.505340576171875","4.505340576171875"
"126","4.592054843902588","4.592054843902588","4.592054843902588"
"127","4.454212188720703","4.454212188720703","4.454212188720703"
"128","4.559440612792969","4.559440612792969","4.559440612792969"
"129","4.491164207458496","4.491164207458496","4.491164207458496"
"130","4.598344802856445","4.598344802856445","4.598344802856445"
"131","4.406548976898193","4.406548976898193","4.406548976898193"
"132","4.535889625549316","4.535889625549316","4.535889625549316"
"133","4.245859146118164","4.245859146118164","4.245859146118164"
"134","4.530213356018066","4.530213356018066","4.530213356018066"
"135","4.312740325927734","4.312740325927734","4.312740325927734"
"136","4.719006538391113","4.719006538391113","4.719006538391113"
"137","4.416488170623779","4.416488170623779","4.416488170623779"
"138","4.792318344116211","4.792318344116211","4.792318344116211"
"139","4.442227363586426","4.442227363586426","4.442227363586426"
"140","4.678704261779785","4.678704261779785","4.678704261779785"
"141","4.492274284362793","4.492274284362793","4.492274284362793"
"142","4.323763847351074","4.323763847351074","4.323763847351074"
"143","4.604320049285889","4.604320049285889","4.604320049285889"
"144","4.583861351013184","4.583861351013184","4.583861351013184"
"145","4.543355941772461","4.543355941772461","4.543355941772461"
"146","4.4390082359313965","4.4390082359313965","4.4390082359313965"
"148","4.547489166259766","4.547489166259766","4.547489166259766"
"149","4.438014030456543","4.438014030456543","4.438014030456543"
"150","4.562637805938721","4.562637805938721","4.562637805938721"
"151","4.495763301849365","4.495763301849365","4.495763301849365"
"152","4.2891411781311035","4.2891411781311035","4.2891411781311035"
"153","4.3852152824401855","4.3852152824401855","4.3852152824401855"
"154","4.347493648529053","4.347493648529053","4.347493648529053"
"155","4.329277038574219","4.329277038574219","4.329277038574219"
"156","4.616106986999512","4.616106986999512","4.616106986999512"
"157","4.461658954620361","4.461658954620361","4.461658954620361"
"158","4.488714694976807","4.488714694976807","4.488714694976807"
"159","4.403031349182129","4.403031349182129","4.403031349182129"
"160","4.533664703369141","4.533664703369141","4.533664703369141"
"161","4.475584983825684","4.475584983825684","4.475584983825684"
"162","4.4496026039123535","4.4496026039123535","4.4496026039123535"
"163","4.451406002044678","4.451406002044678","4.451406002044678"
"164","4.488883972167969","4.488883972167969","4.488883972167969"
"165","4.466067790985107","4.466067790985107","4.466067790985107"
"166","4.55389404296875","4.55389404296875","4.55389404296875"
"167","4.464430809020996","4.464430809020996","4.464430809020996"
"168","4.434087753295898","4.434087753295898","4.434087753295898"
"169","4.418395042419434","4.418395042419434","4.418395042419434"
"171","4.6052069664001465","4.6052069664001465","4.6052069664001465"
"172","4.566312789916992","4.566312789916992","4.566312789916992"
"173","4.462837219238281","4.462837219238281","4.462837219238281"
"174","4.402214050292969","4.402214050292969","4.402214050292969"
"175","4.435161113739014","4.435161113739014","4.435161113739014"
"176","4.440961837768555","4.440961837768555","4.440961837768555"
"177","4.47557258605957","4.47557258605957","4.47557258605957"
"178","4.5774078369140625","4.5774078369140625","4.5774078369140625"
"179","4.8231964111328125","4.8231964111328125","4.8231964111328125"
"180","4.549098014831543","4.549098014831543","4.549098014831543"
"181","4.600495338439941","4.600495338439941","4.600495338439941"
"182","4.522269248962402","4.522269248962402","4.522269248962402"
"184","4.671329498291016","4.671329498291016","4.671329498291016"
"185","4.562475681304932","4.562475681304932","4.562475681304932"
"186","4.591330528259277","4.591330528259277","4.591330528259277"
"188","4.651131629943848","4.651131629943848","4.651131629943848"
"189","4.458168983459473","4.458168983459473","4.458168983459473"
"190","4.505216598510742","4.505216598510742","4.505216598510742"
"191","4.7567291259765625","4.7567291259765625","4.7567291259765625"
"192","4.410565376281738","4.410565376281738","4.410565376281738"
"193","4.800586700439453","4.800586700439453","4.800586700439453"
"194","4.372671127319336","4.372671127319336","4.372671127319336"
"195","4.849021911621094","4.849021911621094","4.849021911621094"
"196","4.485062122344971","4.485062122344971","4.485062122344971"
"197","4.419713973999023","4.419713973999023","4.419713973999023"
"198","4.555156707763672","4.555156707763672","4.555156707763672"
"199","4.594217300415039","4.594217300415039","4.594217300415039"
"200","4.5878190994262695","4.5878190994262695","4.5878190994262695"
"201","4.567165851593018","4.567165851593018","4.567165851593018"
"202","4.444214820861816","4.444214820861816","4.444214820861816"
"203","4.627729415893555","4.627729415893555","4.627729415893555"
"204","4.543698787689209","4.543698787689209","4.543698787689209"
"205","4.706301212310791","4.706301212310791","4.706301212310791"
"206","4.604118347167969","4.604118347167969","4.604118347167969"
"207","4.620716094970703","4.620716094970703","4.620716094970703"
"209","4.600125789642334","4.600125789642334","4.600125789642334"
"210","4.531202793121338","4.531202793121338","4.531202793121338"
"211","4.495699882507324","4.495699882507324","4.495699882507324"
"212","4.485654830932617","4.485654830932617","4.485654830932617"
"213","4.641315937042236","4.641315937042236","4.641315937042236"
"214","4.661839962005615","4.661839962005615","4.661839962005615"
"215","4.555379867553711","4.555379867553711","4.555379867553711"
"216","4.613259315490723","4.613259315490723","4.613259315490723"
"217","4.699166774749756","4.699166774749756","4.699166774749756"
"218","4.6463117599487305","4.6463117599487305","4.6463117599487305"
"219","4.514482021331787","4.514482021331787","4.514482021331787"
"220","4.577056407928467","4.577056407928467","4.577056407928467"
"221","4.593764781951904","4.593764781951904","4.593764781951904"
"222","4.681918621063232","4.681918621063232","4.681918621063232"
"223","4.629317283630371","4.629317283630371","4.629317283630371"
"224","4.641866683959961","4.641866683959961","4.641866683959961"
"225","4.645474433898926","4.645474433898926","4.645474433898926"
"226","4.664947509765625","4.664947509765625","4.664947509765625"
"227","4.553237438201904","4.553237438201904","4.553237438201904"
"228","4.850043296813965","4.850043296813965","4.850043296813965"
"229","4.437405586242676","4.437405586242676","4.437405586242676"
"230","4.593773365020752","4.593773365020752","4.593773365020752"
"231","4.4113922119140625","4.4113922119140625","4.4113922119140625"
"232","4.755908012390137","4.755908012390137","4.755908012390137"
"233","4.636650085449219","4.636650085449219","4.636650085449219"
"235","4.648604393005371","4.648604393005371","4.648604393005371"
"236","4.385169982910156","4.385169982910156","4.385169982910156"
"237","4.888617515563965","4.888617515563965","4.888617515563965"
"239","4.605652809143066","4.605652809143066","4.605652809143066"
"240","4.686730861663818","4.686730861663818","4.686730861663818"
"241","4.783971786499023","4.783971786499023","4.783971786499023"
"242","4.634016990661621","4.634016990661621","4.634016990661621"
"243","4.697362899780273","4.697362899780273","4.697362899780273"
"244","4.582551002502441","4.582551002502441","4.582551002502441"
"245","4.686326503753662","4.686326503753662","4.686326503753662"
"246","4.666103363037109","4.666103363037109","4.666103363037109"
"247","4.622941017150879","4.622941017150879","4.622941017150879"
"248","4.518226623535156","4.518226623535156","4.518226623535156"
"249","4.550446510314941","4.550446510314941","4.550446510314941"
"250","4.604896068572998","4.604896068572998","4.604896068572998"
"251","4.658805847167969","4.658805847167969","4.658805847167969"
"252","4.687313556671143","4.687313556671143","4.687313556671143"
"253","4.654847145080566","4.654847145080566","4.654847145080566"
"254","4.657204627990723","4.657204627990723","4.657204627990723"
"255","4.606297969818115","4.606297969818115","4.606297969818115"
"256","4.4514241218566895","4.4514241218566895","4.4514241218566895"
"257","4.60363245010376","4.60363245010376","4.60363245010376"
"258","4.718996047973633","4.718996047973633","4.718996047973633"
"259","4.588577747344971","4.588577747344971","4.588577747344971"
"260","4.629458427429199","4.629458427429199","4.629458427429199"
"261","4.534679412841797","4.534679412841797","4.534679412841797"
"262","4.6186065673828125","4.6186065673828125","4.6186065673828125"
"263","4.545255661010742","4.545255661010742","4.545255661010742"
"264","4.57853889465332","4.57853889465332","4.57853889465332"
"265","4.720245361328125","4.720245361328125","4.720245361328125"
"266","5.011018753051758","5.011018753051758","5.011018753051758"
"267","4.7118916511535645","4.7118916511535645","4.7118916511535645"
"268","4.7567596435546875","4.7567596435546875","4.7567596435546875"
"269","4.6108856201171875","4.6108856201171875","4.6108856201171875"
"270","4.574920654296875","4.574920654296875","4.574920654296875"
"271","4.525207042694092","4.525207042694092","4.525207042694092"
"272","4.345586776733398","4.345586776733398","4.345586776733398"
"273","4.622958183288574","4.622958183288574","4.622958183288574"
"274","4.186923503875732","4.186923503875732","4.186923503875732"
"275","4.772698402404785","4.772698402404785","4.772698402404785"
"276","4.772330284118652","4.772330284118652","4.772330284118652"
"277","4.77971076965332","4.77971076965332","4.77971076965332"
"279","4.7843098640441895","4.7843098640441895","4.7843098640441895"
"280","4.671055316925049","4.671055316925049","4.671055316925049"
"281","4.7177629470825195","4.7177629470825195","4.7177629470825195"
"282","4.6795148849487305","4.6795148849487305","4.6795148849487305"
"283","4.439654350280762","4.439654350280762","4.439654350280762"
"284","4.57779598236084","4.57779598236084","4.57779598236084"
"285","4.567065715789795","4.567065715789795","4.567065715789795"
"286","4.520398139953613","4.520398139953613","4.520398139953613"
"287","4.718546390533447","4.718546390533447","4.718546390533447"
"289","4.505895614624023","4.505895614624023","4.505895614624023"
"290","4.483997344970703","4.483997344970703","4.483997344970703"
"291","4.623717784881592","4.623717784881592","4.623717784881592"
"292","4.556010723114014","4.556010723114014","4.556010723114014"
"294","4.352353572845459","4.352353572845459","4.352353572845459"
"295","4.561049938201904","4.561049938201904","4.561049938201904"
"296","4.545689582824707","4.545689582824707","4.545689582824707"
"297","4.544276237487793","4.544276237487793","4.544276237487793"
"298","4.375807762145996","4.375807762145996","4.375807762145996"
"299","4.5059709548950195","4.5059709548950195","4.5059709548950195"
"300","4.563473701477051","4.563473701477051","4.563473701477051"
"301","4.6331868171691895","4.6331868171691895","4.6331868171691895"
"302","4.702495574951172","4.702495574951172","4.702495574951172"
"303","4.6619720458984375","4.6619720458984375","4.6619720458984375"
"304","4.712320327758789","4.712320327758789","4.712320327758789"
"305","4.497687339782715","4.497687339782715","4.497687339782715"
"306","4.360440731048584","4.360440731048584","4.360440731048584"
"307","4.38067626953125","4.38067626953125","4.38067626953125"
"308","4.460040092468262","4.460040092468262","4.460040092468262"
"309","4.485286712646484","4.485286712646484","4.485286712646484"
"310","4.552804946899414","4.552804946899414","4.552804946899414"
"311","4.603804588317871","4.603804588317871","4.603804588317871"
"312","4.641550064086914","4.641550064086914","4.641550064086914"
"313","4.518877029418945","4.518877029418945","4.518877029418945"
"314","4.535282611846924","4.535282611846924","4.535282611846924"
"315","4.536169052124023","4.536169052124023","4.536169052124023"
"316","4.321263313293457","4.321263313293457","4.321263313293457"
"317","4.596518039703369","4.596518039703369","4.596518039703369"
"318","4.5986480712890625","4.5986480712890625","4.5986480712890625"
