"Step","AnymalD-ArmLess-Variable4 - Episode_Reward/payload_2_target","AnymalD-ArmLess-Variable4 - Episode_Reward/payload_2_target__MIN","AnymalD-ArmLess-Variable4 - Episode_Reward/payload_2_target__MAX"
"104","-0.2024005651473999","-0.2024005651473999","-0.2024005651473999"
"105","-0.17054860293865204","-0.17054860293865204","-0.17054860293865204"
"106","-0.18125063180923462","-0.18125063180923462","-0.18125063180923462"
"108","-0.18582478165626526","-0.18582478165626526","-0.18582478165626526"
"109","-0.14598140120506287","-0.14598140120506287","-0.14598140120506287"
"110","-0.19665192067623138","-0.19665192067623138","-0.19665192067623138"
"111","-0.18351027369499207","-0.18351027369499207","-0.18351027369499207"
"112","-0.17909613251686096","-0.17909613251686096","-0.17909613251686096"
"113","-0.09772899001836777","-0.09772899001836777","-0.09772899001836777"
"114","-0.1454325020313263","-0.1454325020313263","-0.1454325020313263"
"115","-0.12256916612386703","-0.12256916612386703","-0.12256916612386703"
"116","-0.13012456893920898","-0.13012456893920898","-0.13012456893920898"
"118","-0.09693968296051025","-0.09693968296051025","-0.09693968296051025"
"119","-0.13551276922225952","-0.13551276922225952","-0.13551276922225952"
"120","-0.11562055349349976","-0.11562055349349976","-0.11562055349349976"
"121","-0.10178105533123016","-0.10178105533123016","-0.10178105533123016"
"122","-0.09415037930011749","-0.09415037930011749","-0.09415037930011749"
"123","-0.16836369037628174","-0.16836369037628174","-0.16836369037628174"
"124","-0.12108045816421509","-0.12108045816421509","-0.12108045816421509"
"125","-0.08647380769252777","-0.08647380769252777","-0.08647380769252777"
"126","-0.08306829631328583","-0.08306829631328583","-0.08306829631328583"
"127","-0.10125615447759628","-0.10125615447759628","-0.10125615447759628"
"128","-0.0900467187166214","-0.0900467187166214","-0.0900467187166214"
"129","-0.09756945073604584","-0.09756945073604584","-0.09756945073604584"
"130","-0.10961320251226425","-0.10961320251226425","-0.10961320251226425"
"131","-0.058150991797447205","-0.058150991797447205","-0.058150991797447205"
"132","-0.07148479670286179","-0.07148479670286179","-0.07148479670286179"
"133","-0.06116090342402458","-0.06116090342402458","-0.06116090342402458"
"134","-0.0531102679669857","-0.0531102679669857","-0.0531102679669857"
"135","-0.07425007224082947","-0.07425007224082947","-0.07425007224082947"
"136","-0.04984627291560173","-0.04984627291560173","-0.04984627291560173"
"137","-0.11516517400741577","-0.11516517400741577","-0.11516517400741577"
"138","-0.057266965508461","-0.057266965508461","-0.057266965508461"
"139","-0.1234365701675415","-0.1234365701675415","-0.1234365701675415"
