"Step","AnymalD-ArmLess-Variable4 - Loss/value_function","AnymalD-ArmLess-Variable4 - Loss/value_function__MIN","AnymalD-ArmLess-Variable4 - Loss/value_function__MAX"
"1","0.12457767128944397","0.12457767128944397","0.12457767128944397"
"2","0.03686267817392945","0.03686267817392945","0.03686267817392945"
"3","0.028749155066907405","0.028749155066907405","0.028749155066907405"
"4","0.020831542275846004","0.020831542275846004","0.020831542275846004"
"5","0.01756880125030875","0.01756880125030875","0.01756880125030875"
"6","0.011661696480587125","0.011661696480587125","0.011661696480587125"
"7","0.009360291226767004","0.009360291226767004","0.009360291226767004"
"8","0.007955495011992752","0.007955495011992752","0.007955495011992752"
"9","0.006695647537708282","0.006695647537708282","0.006695647537708282"
"10","0.006262995325960219","0.006262995325960219","0.006262995325960219"
"11","0.005871375813148916","0.005871375813148916","0.005871375813148916"
"13","0.005464044073596597","0.005464044073596597","0.005464044073596597"
"14","0.010729776625521482","0.010729776625521482","0.010729776625521482"
"15","0.03851020885631442","0.03851020885631442","0.03851020885631442"
"17","0.009099424490705133","0.009099424490705133","0.009099424490705133"
"18","0.010977245587855577","0.010977245587855577","0.010977245587855577"
"19","0.014350866200402379","0.014350866200402379","0.014350866200402379"
"20","0.013799668522551656","0.013799668522551656","0.013799668522551656"
"21","0.013559358194470406","0.013559358194470406","0.013559358194470406"
"22","0.014554993668571114","0.014554993668571114","0.014554993668571114"
"23","0.01695789396762848","0.01695789396762848","0.01695789396762848"
"24","0.012858361192047595","0.012858361192047595","0.012858361192047595"
"25","0.011401024973019957","0.011401024973019957","0.011401024973019957"
"26","0.0112024063244462","0.0112024063244462","0.0112024063244462"
"27","0.010290391743183136","0.010290391743183136","0.010290391743183136"
"28","0.009820463042706251","0.009820463042706251","0.009820463042706251"
"29","0.011769291246309876","0.011769291246309876","0.011769291246309876"
"30","0.009145480999723076","0.009145480999723076","0.009145480999723076"
"31","0.013223797269165515","0.013223797269165515","0.013223797269165515"
"32","0.011977236764505506","0.011977236764505506","0.011977236764505506"
"33","0.013021036284044385","0.013021036284044385","0.013021036284044385"
