"Step","2CornerORIp1 - Metrics/targetPosition/error_heading","2CornerORIp1 - Metrics/targetPosition/error_heading__MIN","2CornerORIp1 - Metrics/targetPosition/error_heading__MAX"
"1","1.5344200134277344","1.5344200134277344","1.5344200134277344"
"2","1.6445211172103882","1.6445211172103882","1.6445211172103882"
"3","1.6948606967926025","1.6948606967926025","1.6948606967926025"
"4","1.5379232168197632","1.5379232168197632","1.5379232168197632"
"5","1.7409932613372803","1.7409932613372803","1.7409932613372803"
"6","1.6270217895507812","1.6270217895507812","1.6270217895507812"
"7","1.7001829147338867","1.7001829147338867","1.7001829147338867"
"8","1.6165971755981445","1.6165971755981445","1.6165971755981445"
"9","1.5297282934188843","1.5297282934188843","1.5297282934188843"
"10","1.6773366928100586","1.6773366928100586","1.6773366928100586"
"11","1.6848658323287964","1.6848658323287964","1.6848658323287964"
"12","1.7121281623840332","1.7121281623840332","1.7121281623840332"
"13","1.6092393398284912","1.6092393398284912","1.6092393398284912"
"14","1.6795339584350586","1.6795339584350586","1.6795339584350586"
"15","1.736307144165039","1.736307144165039","1.736307144165039"
"16","1.6529301404953003","1.6529301404953003","1.6529301404953003"
"17","1.6117665767669678","1.6117665767669678","1.6117665767669678"
"18","1.5791866779327393","1.5791866779327393","1.5791866779327393"
"19","1.555488109588623","1.555488109588623","1.555488109588623"
"20","1.64896559715271","1.64896559715271","1.64896559715271"
"21","1.7097276449203491","1.7097276449203491","1.7097276449203491"
"22","1.6493362188339233","1.6493362188339233","1.6493362188339233"
"23","1.559531569480896","1.559531569480896","1.559531569480896"
"24","1.7588571310043335","1.7588571310043335","1.7588571310043335"
"25","1.5829790830612183","1.5829790830612183","1.5829790830612183"
"26","1.6523174047470093","1.6523174047470093","1.6523174047470093"
"27","1.6442480087280273","1.6442480087280273","1.6442480087280273"
"28","1.655409574508667","1.655409574508667","1.655409574508667"
"29","1.5722358226776123","1.5722358226776123","1.5722358226776123"
"30","1.7253191471099854","1.7253191471099854","1.7253191471099854"
"31","1.5185737609863281","1.5185737609863281","1.5185737609863281"
"32","1.630057692527771","1.630057692527771","1.630057692527771"
"33","1.6253786087036133","1.6253786087036133","1.6253786087036133"
"34","1.5922067165374756","1.5922067165374756","1.5922067165374756"
"35","1.6326968669891357","1.6326968669891357","1.6326968669891357"
"36","1.572371482849121","1.572371482849121","1.572371482849121"
"37","1.4932398796081543","1.4932398796081543","1.4932398796081543"
"38","1.6545145511627197","1.6545145511627197","1.6545145511627197"
"39","1.797536849975586","1.797536849975586","1.797536849975586"
"40","1.535742163658142","1.535742163658142","1.535742163658142"
"41","1.6100248098373413","1.6100248098373413","1.6100248098373413"
"42","1.8675174713134766","1.8675174713134766","1.8675174713134766"
"43","1.484771966934204","1.484771966934204","1.484771966934204"
"44","1.6458114385604858","1.6458114385604858","1.6458114385604858"
"45","1.449521780014038","1.449521780014038","1.449521780014038"
"46","1.5834980010986328","1.5834980010986328","1.5834980010986328"
"47","1.6374378204345703","1.6374378204345703","1.6374378204345703"
"48","1.4515132904052734","1.4515132904052734","1.4515132904052734"
"49","1.7339398860931396","1.7339398860931396","1.7339398860931396"
"50","1.6427205801010132","1.6427205801010132","1.6427205801010132"
"51","1.4849189519882202","1.4849189519882202","1.4849189519882202"
"52","1.4074796438217163","1.4074796438217163","1.4074796438217163"
"53","1.6452215909957886","1.6452215909957886","1.6452215909957886"
"54","1.64275062084198","1.64275062084198","1.64275062084198"
"55","1.6977243423461914","1.6977243423461914","1.6977243423461914"
"56","1.5060217380523682","1.5060217380523682","1.5060217380523682"
"57","1.5054296255111694","1.5054296255111694","1.5054296255111694"
"58","1.477125883102417","1.477125883102417","1.477125883102417"
"59","1.6590008735656738","1.6590008735656738","1.6590008735656738"
"60","1.6113064289093018","1.6113064289093018","1.6113064289093018"
"61","1.503112554550171","1.503112554550171","1.503112554550171"
"62","1.5488357543945312","1.5488357543945312","1.5488357543945312"
"63","1.6214532852172852","1.6214532852172852","1.6214532852172852"
"64","1.5463533401489258","1.5463533401489258","1.5463533401489258"
"65","1.761346697807312","1.761346697807312","1.761346697807312"
"66","1.516212821006775","1.516212821006775","1.516212821006775"
