"Step","2CornerORIp2 - Metrics/targetPosition/error_heading","2CornerORIp2 - Metrics/targetPosition/error_heading__MIN","2CornerORIp2 - Metrics/targetPosition/error_heading__MAX"
"8150","1.474265456199646","1.474265456199646","1.474265456199646"
"8151","1.5552948713302612","1.5552948713302612","1.5552948713302612"
"8152","1.6694295406341553","1.6694295406341553","1.6694295406341553"
"8153","1.7653878927230835","1.7653878927230835","1.7653878927230835"
"8154","1.4736794233322144","1.4736794233322144","1.4736794233322144"
"8155","1.6472721099853516","1.6472721099853516","1.6472721099853516"
"8156","1.5098092555999756","1.5098092555999756","1.5098092555999756"
"8157","1.5933959484100342","1.5933959484100342","1.5933959484100342"
"8158","1.4764935970306396","1.4764935970306396","1.4764935970306396"
"8159","1.6592316627502441","1.6592316627502441","1.6592316627502441"
"8160","1.6173871755599976","1.6173871755599976","1.6173871755599976"
"8161","1.5276074409484863","1.5276074409484863","1.5276074409484863"
"8162","1.5627999305725098","1.5627999305725098","1.5627999305725098"
"8163","1.6037938594818115","1.6037938594818115","1.6037938594818115"
"8164","1.5795601606369019","1.5795601606369019","1.5795601606369019"
"8165","1.290252923965454","1.290252923965454","1.290252923965454"
"8166","1.781766414642334","1.781766414642334","1.781766414642334"
"8167","1.5420467853546143","1.5420467853546143","1.5420467853546143"
"8168","1.5734999179840088","1.5734999179840088","1.5734999179840088"
"8169","1.4236253499984741","1.4236253499984741","1.4236253499984741"
"8170","1.4724581241607666","1.4724581241607666","1.4724581241607666"
"8171","1.4504870176315308","1.4504870176315308","1.4504870176315308"
"8172","1.7080228328704834","1.7080228328704834","1.7080228328704834"
"8173","1.6387542486190796","1.6387542486190796","1.6387542486190796"
"8174","1.5625724792480469","1.5625724792480469","1.5625724792480469"
"8175","1.5746488571166992","1.5746488571166992","1.5746488571166992"
"8176","1.386024832725525","1.386024832725525","1.386024832725525"
"8177","1.3467215299606323","1.3467215299606323","1.3467215299606323"
"8178","1.6354007720947266","1.6354007720947266","1.6354007720947266"
"8179","1.5181481838226318","1.5181481838226318","1.5181481838226318"
