"Step","OriExp6lin2D10 - Metrics/targetPosition/error_pos_2d","OriExp6lin2D10 - Metrics/targetPosition/error_pos_2d__MIN","OriExp6lin2D10 - Metrics/targetPosition/error_pos_2d__MAX"
"20000","4.377788066864014","4.377788066864014","4.377788066864014"
"20002","4.603366374969482","4.603366374969482","4.603366374969482"
"20003","4.463781833648682","4.463781833648682","4.463781833648682"
"20005","4.643266677856445","4.643266677856445","4.643266677856445"
"20009","4.5264410972595215","4.5264410972595215","4.5264410972595215"
"20010","4.440136909484863","4.440136909484863","4.440136909484863"
"20011","4.56128454208374","4.56128454208374","4.56128454208374"
"20013","4.7310404777526855","4.7310404777526855","4.7310404777526855"
"20015","4.377771377563477","4.377771377563477","4.377771377563477"
"20020","4.48793888092041","4.48793888092041","4.48793888092041"
"20022","4.383073806762695","4.383073806762695","4.383073806762695"
"20023","4.290335178375244","4.290335178375244","4.290335178375244"
"20025","4.353671550750732","4.353671550750732","4.353671550750732"
"20026","4.2344794273376465","4.2344794273376465","4.2344794273376465"
"20027","4.0672101974487305","4.0672101974487305","4.0672101974487305"
"20029","4.251008033752441","4.251008033752441","4.251008033752441"
"20031","4.4662065505981445","4.4662065505981445","4.4662065505981445"
"20033","4.195827484130859","4.195827484130859","4.195827484130859"
"20036","4.219174385070801","4.219174385070801","4.219174385070801"
"20037","4.469388484954834","4.469388484954834","4.469388484954834"
"20040","3.967275619506836","3.967275619506836","3.967275619506836"
"20042","4.350747108459473","4.350747108459473","4.350747108459473"
"20044","4.408801078796387","4.408801078796387","4.408801078796387"
"20045","4.402607440948486","4.402607440948486","4.402607440948486"
"20046","4.131621837615967","4.131621837615967","4.131621837615967"
"20049","4.194796562194824","4.194796562194824","4.194796562194824"
"20052","3.888232946395874","3.888232946395874","3.888232946395874"
"20053","4.379439830780029","4.379439830780029","4.379439830780029"
"20054","4.289093494415283","4.289093494415283","4.289093494415283"
"20055","3.847097158432007","3.847097158432007","3.847097158432007"
"20057","4.255368709564209","4.255368709564209","4.255368709564209"
"20058","4.424160003662109","4.424160003662109","4.424160003662109"
"20064","4.093895435333252","4.093895435333252","4.093895435333252"
"20065","4.0381622314453125","4.0381622314453125","4.0381622314453125"
"20068","4.131790637969971","4.131790637969971","4.131790637969971"
"20069","4.00543737411499","4.00543737411499","4.00543737411499"
"20071","4.07512903213501","4.07512903213501","4.07512903213501"
"20073","4.01943826675415","4.01943826675415","4.01943826675415"
"20076","4.3931474685668945","4.3931474685668945","4.3931474685668945"
"20079","4.1662421226501465","4.1662421226501465","4.1662421226501465"
"20080","4.24083948135376","4.24083948135376","4.24083948135376"
"20081","4.102890968322754","4.102890968322754","4.102890968322754"
"20082","4.046195030212402","4.046195030212402","4.046195030212402"
"20084","4.107696533203125","4.107696533203125","4.107696533203125"
"20086","4.168327331542969","4.168327331542969","4.168327331542969"
"20088","4.092080116271973","4.092080116271973","4.092080116271973"
"20089","3.7560126781463623","3.7560126781463623","3.7560126781463623"
"20090","4.272344589233398","4.272344589233398","4.272344589233398"
"20092","3.9033114910125732","3.9033114910125732","3.9033114910125732"
"20094","4.189581871032715","4.189581871032715","4.189581871032715"
"20095","3.8945586681365967","3.8945586681365967","3.8945586681365967"
"20096","4.347857475280762","4.347857475280762","4.347857475280762"
"20100","4.147896766662598","4.147896766662598","4.147896766662598"
"20101","4.045597076416016","4.045597076416016","4.045597076416016"
"20102","4.109202861785889","4.109202861785889","4.109202861785889"
"20103","4.081101417541504","4.081101417541504","4.081101417541504"
"20104","3.9498870372772217","3.9498870372772217","3.9498870372772217"
