"Step","OriExp6lin2D10 - Metrics/targetPosition/error_heading","OriExp6lin2D10 - Metrics/targetPosition/error_heading__MIN","OriExp6lin2D10 - Metrics/targetPosition/error_heading__MAX"
"19999","1.474265456199646","1.474265456199646","1.474265456199646"
"20001","1.3911421298980713","1.3911421298980713","1.3911421298980713"
"20005","0.2665629982948303","0.2665629982948303","0.2665629982948303"
"20006","0.055954836308956146","0.055954836308956146","0.055954836308956146"
"20007","0.10958676040172577","0.10958676040172577","0.10958676040172577"
"20008","0.09381748735904694","0.09381748735904694","0.09381748735904694"
"20011","0.10363437980413437","0.10363437980413437","0.10363437980413437"
"20014","0.11580032110214233","0.11580032110214233","0.11580032110214233"
"20017","0.047066159546375275","0.047066159546375275","0.047066159546375275"
"20018","0.083194799721241","0.083194799721241","0.083194799721241"
"20019","0.040895868092775345","0.040895868092775345","0.040895868092775345"
"20021","0.034815769642591476","0.034815769642591476","0.034815769642591476"
"20026","0.11887174844741821","0.11887174844741821","0.11887174844741821"
"20027","0.05548695847392082","0.05548695847392082","0.05548695847392082"
"20032","1.0472683906555176","1.0472683906555176","1.0472683906555176"
"20033","1.176318883895874","1.176318883895874","1.176318883895874"
"20035","0.2849019765853882","0.2849019765853882","0.2849019765853882"
"20036","0.1804262101650238","0.1804262101650238","0.1804262101650238"
"20039","0.10052502155303955","0.10052502155303955","0.10052502155303955"
"20040","0.13690802454948425","0.13690802454948425","0.13690802454948425"
"20041","0.08607424795627594","0.08607424795627594","0.08607424795627594"
"20042","0.1084761768579483","0.1084761768579483","0.1084761768579483"
"20044","0.08158864080905914","0.08158864080905914","0.08158864080905914"
"20045","0.11787747591733932","0.11787747591733932","0.11787747591733932"
"20046","0.06915155053138733","0.06915155053138733","0.06915155053138733"
"20048","0.0682850331068039","0.0682850331068039","0.0682850331068039"
"20050","0.09943096339702606","0.09943096339702606","0.09943096339702606"
"20055","0.13101063668727875","0.13101063668727875","0.13101063668727875"
"20056","0.07063670456409454","0.07063670456409454","0.07063670456409454"
"20057","0.09376059472560883","0.09376059472560883","0.09376059472560883"
"20061","0.06848437339067459","0.06848437339067459","0.06848437339067459"
"20062","0.06367436796426773","0.06367436796426773","0.06367436796426773"
"20065","0.06993225961923599","0.06993225961923599","0.06993225961923599"
"20066","0.1350085586309433","0.1350085586309433","0.1350085586309433"
"20067","0.06332451105117798","0.06332451105117798","0.06332451105117798"
"20068","0.07097093015909195","0.07097093015909195","0.07097093015909195"
"20069","0.0732535868883133","0.0732535868883133","0.0732535868883133"
"20071","0.0701104998588562","0.0701104998588562","0.0701104998588562"
"20072","0.07405781000852585","0.07405781000852585","0.07405781000852585"
"20074","0.0672101229429245","0.0672101229429245","0.0672101229429245"
"20075","0.15780943632125854","0.15780943632125854","0.15780943632125854"
"20078","0.042823463678359985","0.042823463678359985","0.042823463678359985"
"20079","0.0920640081167221","0.0920640081167221","0.0920640081167221"
"20081","0.17249904572963715","0.17249904572963715","0.17249904572963715"
"20082","0.0575416162610054","0.0575416162610054","0.0575416162610054"
"20083","0.07298225164413452","0.07298225164413452","0.07298225164413452"
"20084","0.0965818390250206","0.0965818390250206","0.0965818390250206"
"20087","0.10417749732732773","0.10417749732732773","0.10417749732732773"
"20090","0.04635591804981232","0.04635591804981232","0.04635591804981232"
"20092","0.07994845509529114","0.07994845509529114","0.07994845509529114"
"20093","0.07370360195636749","0.07370360195636749","0.07370360195636749"
"20094","0.09298410266637802","0.09298410266637802","0.09298410266637802"
"20095","0.04599866271018982","0.04599866271018982","0.04599866271018982"
"20096","0.04033463075757027","0.04033463075757027","0.04033463075757027"
"20097","0.061293601989746094","0.061293601989746094","0.061293601989746094"
"20100","0.06024742126464844","0.06024742126464844","0.06024742126464844"
"20101","0.04102938994765282","0.04102938994765282","0.04102938994765282"
"20102","0.10413423180580139","0.10413423180580139","0.10413423180580139"
"20104","0.08264584094285965","0.08264584094285965","0.08264584094285965"
"20105","0.06904857605695724","0.06904857605695724","0.06904857605695724"
"20109","0.03218572586774826","0.03218572586774826","0.03218572586774826"
"20115","0.09108549356460571","0.09108549356460571","0.09108549356460571"
"20116","0.1235131174325943","0.1235131174325943","0.1235131174325943"
"20117","0.12356127798557281","0.12356127798557281","0.12356127798557281"
"20119","0.0718579813838005","0.0718579813838005","0.0718579813838005"
"20124","0.048261113464832306","0.048261113464832306","0.048261113464832306"
"20125","0.0691036656498909","0.0691036656498909","0.0691036656498909"
"20126","0.11850055307149887","0.11850055307149887","0.11850055307149887"
"20128","0.041449934244155884","0.041449934244155884","0.041449934244155884"
"20130","0.06992759555578232","0.06992759555578232","0.06992759555578232"
"20131","0.050880324095487595","0.050880324095487595","0.050880324095487595"
"20132","0.04156551510095596","0.04156551510095596","0.04156551510095596"
"20133","0.08295166492462158","0.08295166492462158","0.08295166492462158"
"20135","0.1063770204782486","0.1063770204782486","0.1063770204782486"
"20136","0.04977378249168396","0.04977378249168396","0.04977378249168396"
"20138","0.06147658824920654","0.06147658824920654","0.06147658824920654"
"20140","0.08904898166656494","0.08904898166656494","0.08904898166656494"
"20142","0.1476077437400818","0.1476077437400818","0.1476077437400818"
"20146","0.1562526673078537","0.1562526673078537","0.1562526673078537"
"20148","0.05823769420385361","0.05823769420385361","0.05823769420385361"
"20149","0.09311491250991821","0.09311491250991821","0.09311491250991821"
"20153","0.08859109878540039","0.08859109878540039","0.08859109878540039"
"20154","0.02797873690724373","0.02797873690724373","0.02797873690724373"
"20155","0.03684569150209427","0.03684569150209427","0.03684569150209427"
"20156","0.027059290558099747","0.027059290558099747","0.027059290558099747"
"20157","0.04911025986075401","0.04911025986075401","0.04911025986075401"
"20159","0.0639486312866211","0.0639486312866211","0.0639486312866211"
"20160","0.06089360639452934","0.06089360639452934","0.06089360639452934"
"20161","0.06435509771108627","0.06435509771108627","0.06435509771108627"
"20162","0.04827463626861572","0.04827463626861572","0.04827463626861572"
"20163","0.048794083297252655","0.048794083297252655","0.048794083297252655"
"20165","0.10271561145782471","0.10271561145782471","0.10271561145782471"
"20166","0.042407553642988205","0.042407553642988205","0.042407553642988205"
"20167","0.04532419890165329","0.04532419890165329","0.04532419890165329"
"20168","0.06364605575799942","0.06364605575799942","0.06364605575799942"
"20172","0.05930149555206299","0.05930149555206299","0.05930149555206299"
"20174","0.06516855210065842","0.06516855210065842","0.06516855210065842"
"20176","0.036261409521102905","0.036261409521102905","0.036261409521102905"
"20177","0.04761292785406113","0.04761292785406113","0.04761292785406113"
"20180","0.10369281470775604","0.10369281470775604","0.10369281470775604"
"20183","0.04873083159327507","0.04873083159327507","0.04873083159327507"
"20186","0.04843403398990631","0.04843403398990631","0.04843403398990631"
