"Step","exponentialOriP1 - Metrics/targetPosition/error_pos_2d","exponentialOriP1 - Metrics/targetPosition/error_pos_2d__MIN","exponentialOriP1 - Metrics/targetPosition/error_pos_2d__MAX"
"1","4.367990970611572","4.367990970611572","4.367990970611572"
"2","4.437413215637207","4.437413215637207","4.437413215637207"
"3","4.436864852905273","4.436864852905273","4.436864852905273"
"4","4.268709182739258","4.268709182739258","4.268709182739258"
"5","4.522303581237793","4.522303581237793","4.522303581237793"
"6","4.3945536613464355","4.3945536613464355","4.3945536613464355"
"7","4.366621494293213","4.366621494293213","4.366621494293213"
"8","4.419708728790283","4.419708728790283","4.419708728790283"
"9","4.247136116027832","4.247136116027832","4.247136116027832"
"10","4.381197929382324","4.381197929382324","4.381197929382324"
"11","4.270113468170166","4.270113468170166","4.270113468170166"
"12","4.397049903869629","4.397049903869629","4.397049903869629"
"13","4.426970958709717","4.426970958709717","4.426970958709717"
"14","4.595854759216309","4.595854759216309","4.595854759216309"
"15","4.3161702156066895","4.3161702156066895","4.3161702156066895"
"16","4.353791236877441","4.353791236877441","4.353791236877441"
"17","4.287135124206543","4.287135124206543","4.287135124206543"
"18","4.369280815124512","4.369280815124512","4.369280815124512"
"19","4.397574424743652","4.397574424743652","4.397574424743652"
"20","4.331826686859131","4.331826686859131","4.331826686859131"
"21","4.545708656311035","4.545708656311035","4.545708656311035"
"22","4.470379829406738","4.470379829406738","4.470379829406738"
"23","4.487661361694336","4.487661361694336","4.487661361694336"
"24","4.385738372802734","4.385738372802734","4.385738372802734"
"25","4.3722734451293945","4.3722734451293945","4.3722734451293945"
"26","4.45841646194458","4.45841646194458","4.45841646194458"
"27","4.425355911254883","4.425355911254883","4.425355911254883"
"28","4.452044486999512","4.452044486999512","4.452044486999512"
"29","4.414055824279785","4.414055824279785","4.414055824279785"
"30","4.479142665863037","4.479142665863037","4.479142665863037"
"31","4.445603370666504","4.445603370666504","4.445603370666504"
"32","4.537457466125488","4.537457466125488","4.537457466125488"
"33","4.733755111694336","4.733755111694336","4.733755111694336"
"34","4.5154290199279785","4.5154290199279785","4.5154290199279785"
"35","4.535261154174805","4.535261154174805","4.535261154174805"
"36","4.528212547302246","4.528212547302246","4.528212547302246"
"37","4.618723392486572","4.618723392486572","4.618723392486572"
"38","4.517704010009766","4.517704010009766","4.517704010009766"
"39","4.6707634925842285","4.6707634925842285","4.6707634925842285"
"40","4.534397125244141","4.534397125244141","4.534397125244141"
"41","4.538212776184082","4.538212776184082","4.538212776184082"
"42","4.570888996124268","4.570888996124268","4.570888996124268"
"43","4.554166793823242","4.554166793823242","4.554166793823242"
"44","4.562562465667725","4.562562465667725","4.562562465667725"
"45","4.564140319824219","4.564140319824219","4.564140319824219"
"46","4.533036231994629","4.533036231994629","4.533036231994629"
"47","4.467009544372559","4.467009544372559","4.467009544372559"
"48","4.309394359588623","4.309394359588623","4.309394359588623"
"49","4.3262763023376465","4.3262763023376465","4.3262763023376465"
"50","4.381531715393066","4.381531715393066","4.381531715393066"
"51","4.341761112213135","4.341761112213135","4.341761112213135"
"52","4.322694778442383","4.322694778442383","4.322694778442383"
"53","4.473056316375732","4.473056316375732","4.473056316375732"
"54","4.446697235107422","4.446697235107422","4.446697235107422"
"55","4.337646961212158","4.337646961212158","4.337646961212158"
"56","4.347049236297607","4.347049236297607","4.347049236297607"
"57","4.4726786613464355","4.4726786613464355","4.4726786613464355"
"58","4.287086009979248","4.287086009979248","4.287086009979248"
"59","4.4514875411987305","4.4514875411987305","4.4514875411987305"
"60","4.406177520751953","4.406177520751953","4.406177520751953"
"61","4.412973403930664","4.412973403930664","4.412973403930664"
"62","4.465917587280273","4.465917587280273","4.465917587280273"
"63","4.414295196533203","4.414295196533203","4.414295196533203"
"64","4.131828784942627","4.131828784942627","4.131828784942627"
"65","4.458824634552002","4.458824634552002","4.458824634552002"
"66","4.591653347015381","4.591653347015381","4.591653347015381"
"67","4.621944427490234","4.621944427490234","4.621944427490234"
"68","4.556830406188965","4.556830406188965","4.556830406188965"
"69","4.428000450134277","4.428000450134277","4.428000450134277"
"70","4.5229105949401855","4.5229105949401855","4.5229105949401855"
"71","4.583250045776367","4.583250045776367","4.583250045776367"
"72","4.4344305992126465","4.4344305992126465","4.4344305992126465"
"73","4.629554271697998","4.629554271697998","4.629554271697998"
"74","4.426645278930664","4.426645278930664","4.426645278930664"
"75","4.577651023864746","4.577651023864746","4.577651023864746"
