"Step","exponentialOriP1 - Metrics/targetPosition/error_heading","exponentialOriP1 - Metrics/targetPosition/error_heading__MIN","exponentialOriP1 - Metrics/targetPosition/error_heading__MAX"
"1","1.5275753736495972","1.5275753736495972","1.5275753736495972"
"2","1.7044566869735718","1.7044566869735718","1.7044566869735718"
"3","1.7064216136932373","1.7064216136932373","1.7064216136932373"
"4","1.5491998195648193","1.5491998195648193","1.5491998195648193"
"5","1.7403801679611206","1.7403801679611206","1.7403801679611206"
"6","1.6121553182601929","1.6121553182601929","1.6121553182601929"
"7","1.697965383529663","1.697965383529663","1.697965383529663"
"8","1.642914056777954","1.642914056777954","1.642914056777954"
"9","1.5080039501190186","1.5080039501190186","1.5080039501190186"
"10","1.7068240642547607","1.7068240642547607","1.7068240642547607"
"11","1.703576922416687","1.703576922416687","1.703576922416687"
"12","1.7061030864715576","1.7061030864715576","1.7061030864715576"
"13","1.6504501104354858","1.6504501104354858","1.6504501104354858"
"14","1.6594302654266357","1.6594302654266357","1.6594302654266357"
"15","1.676863431930542","1.676863431930542","1.676863431930542"
"16","1.6682065725326538","1.6682065725326538","1.6682065725326538"
"17","1.629180908203125","1.629180908203125","1.629180908203125"
"18","1.7256717681884766","1.7256717681884766","1.7256717681884766"
"19","1.6057960987091064","1.6057960987091064","1.6057960987091064"
"20","1.6503652334213257","1.6503652334213257","1.6503652334213257"
"21","1.7267602682113647","1.7267602682113647","1.7267602682113647"
"22","1.7916345596313477","1.7916345596313477","1.7916345596313477"
"23","1.626963496208191","1.626963496208191","1.626963496208191"
"24","1.7506860494613647","1.7506860494613647","1.7506860494613647"
"25","1.5938067436218262","1.5938067436218262","1.5938067436218262"
"26","1.7480292320251465","1.7480292320251465","1.7480292320251465"
"27","1.8211314678192139","1.8211314678192139","1.8211314678192139"
"28","1.7836230993270874","1.7836230993270874","1.7836230993270874"
"29","1.721014380455017","1.721014380455017","1.721014380455017"
"30","1.7634892463684082","1.7634892463684082","1.7634892463684082"
"31","1.6243623495101929","1.6243623495101929","1.6243623495101929"
"32","1.6107866764068604","1.6107866764068604","1.6107866764068604"
"33","1.7169511318206787","1.7169511318206787","1.7169511318206787"
"34","1.8033194541931152","1.8033194541931152","1.8033194541931152"
"35","1.774932861328125","1.774932861328125","1.774932861328125"
"36","1.783616065979004","1.783616065979004","1.783616065979004"
"37","1.7597763538360596","1.7597763538360596","1.7597763538360596"
"38","1.6912493705749512","1.6912493705749512","1.6912493705749512"
"39","1.880483627319336","1.880483627319336","1.880483627319336"
"40","1.8367141485214233","1.8367141485214233","1.8367141485214233"
"41","1.7661933898925781","1.7661933898925781","1.7661933898925781"
"42","1.6668394804000854","1.6668394804000854","1.6668394804000854"
"43","1.6914970874786377","1.6914970874786377","1.6914970874786377"
"44","1.600998878479004","1.600998878479004","1.600998878479004"
"45","1.6530275344848633","1.6530275344848633","1.6530275344848633"
"46","1.67729651927948","1.67729651927948","1.67729651927948"
"47","1.4629170894622803","1.4629170894622803","1.4629170894622803"
"48","1.5449632406234741","1.5449632406234741","1.5449632406234741"
"49","1.64801025390625","1.64801025390625","1.64801025390625"
"50","1.6662566661834717","1.6662566661834717","1.6662566661834717"
"51","1.6720056533813477","1.6720056533813477","1.6720056533813477"
"52","1.73768949508667","1.73768949508667","1.73768949508667"
"53","1.7907524108886719","1.7907524108886719","1.7907524108886719"
"54","1.4881600141525269","1.4881600141525269","1.4881600141525269"
"55","1.7801741361618042","1.7801741361618042","1.7801741361618042"
"56","1.7152332067489624","1.7152332067489624","1.7152332067489624"
"57","1.6863473653793335","1.6863473653793335","1.6863473653793335"
"58","1.7247962951660156","1.7247962951660156","1.7247962951660156"
"59","1.6950219869613647","1.6950219869613647","1.6950219869613647"
"60","1.7793653011322021","1.7793653011322021","1.7793653011322021"
"61","2.048168897628784","2.048168897628784","2.048168897628784"
"62","1.543784499168396","1.543784499168396","1.543784499168396"
"63","1.6684701442718506","1.6684701442718506","1.6684701442718506"
"64","1.684791922569275","1.684791922569275","1.684791922569275"
"65","1.6342490911483765","1.6342490911483765","1.6342490911483765"
"66","1.5184259414672852","1.5184259414672852","1.5184259414672852"
"67","1.6407140493392944","1.6407140493392944","1.6407140493392944"
"68","1.6476801633834839","1.6476801633834839","1.6476801633834839"
"69","1.5866680145263672","1.5866680145263672","1.5866680145263672"
"70","1.4947271347045898","1.4947271347045898","1.4947271347045898"
"71","1.6224936246871948","1.6224936246871948","1.6224936246871948"
"72","1.6151412725448608","1.6151412725448608","1.6151412725448608"
"73","1.4411157369613647","1.4411157369613647","1.4411157369613647"
"74","1.641453504562378","1.641453504562378","1.641453504562378"
"75","1.7630304098129272","1.7630304098129272","1.7630304098129272"
"76","1.7954442501068115","1.7954442501068115","1.7954442501068115"
"77","1.5281872749328613","1.5281872749328613","1.5281872749328613"
"78","1.5854051113128662","1.5854051113128662","1.5854051113128662"
"79","1.6306408643722534","1.6306408643722534","1.6306408643722534"
"80","1.8435544967651367","1.8435544967651367","1.8435544967651367"
"81","1.5674728155136108","1.5674728155136108","1.5674728155136108"
"82","1.7380775213241577","1.7380775213241577","1.7380775213241577"
"83","1.5304145812988281","1.5304145812988281","1.5304145812988281"
"84","1.690765142440796","1.690765142440796","1.690765142440796"
"85","1.6295244693756104","1.6295244693756104","1.6295244693756104"
"86","1.545764684677124","1.545764684677124","1.545764684677124"
"87","1.4681825637817383","1.4681825637817383","1.4681825637817383"
"88","1.5955874919891357","1.5955874919891357","1.5955874919891357"
"89","1.7149533033370972","1.7149533033370972","1.7149533033370972"
"90","1.4902312755584717","1.4902312755584717","1.4902312755584717"
"91","1.849393606185913","1.849393606185913","1.849393606185913"
"92","1.71980619430542","1.71980619430542","1.71980619430542"
"93","1.5876559019088745","1.5876559019088745","1.5876559019088745"
"94","1.5548290014266968","1.5548290014266968","1.5548290014266968"
"95","1.612744688987732","1.612744688987732","1.612744688987732"
"96","1.7221440076828003","1.7221440076828003","1.7221440076828003"
"97","1.6643931865692139","1.6643931865692139","1.6643931865692139"
"98","1.4140552282333374","1.4140552282333374","1.4140552282333374"
"99","1.8895363807678223","1.8895363807678223","1.8895363807678223"
"100","1.5024220943450928","1.5024220943450928","1.5024220943450928"
"101","1.5736883878707886","1.5736883878707886","1.5736883878707886"
"102","1.58930242061615","1.58930242061615","1.58930242061615"
"103","1.68002450466156","1.68002450466156","1.68002450466156"
"104","1.6922755241394043","1.6922755241394043","1.6922755241394043"
"105","1.719011664390564","1.719011664390564","1.719011664390564"
"106","1.609468936920166","1.609468936920166","1.609468936920166"
"107","1.526598334312439","1.526598334312439","1.526598334312439"
"108","1.6200374364852905","1.6200374364852905","1.6200374364852905"
"109","1.5319255590438843","1.5319255590438843","1.5319255590438843"
"110","1.7575576305389404","1.7575576305389404","1.7575576305389404"
"111","1.4937379360198975","1.4937379360198975","1.4937379360198975"
"112","1.5599921941757202","1.5599921941757202","1.5599921941757202"
"113","1.4648165702819824","1.4648165702819824","1.4648165702819824"
"114","1.6678392887115479","1.6678392887115479","1.6678392887115479"
"115","1.7422031164169312","1.7422031164169312","1.7422031164169312"
"116","1.5837805271148682","1.5837805271148682","1.5837805271148682"
"117","1.5875967741012573","1.5875967741012573","1.5875967741012573"
"118","1.4321012496948242","1.4321012496948242","1.4321012496948242"
"119","1.6644737720489502","1.6644737720489502","1.6644737720489502"
"120","1.7024962902069092","1.7024962902069092","1.7024962902069092"
"121","1.6667102575302124","1.6667102575302124","1.6667102575302124"
"122","1.7131397724151611","1.7131397724151611","1.7131397724151611"
"123","1.486366629600525","1.486366629600525","1.486366629600525"
"124","1.6712363958358765","1.6712363958358765","1.6712363958358765"
"125","1.438970923423767","1.438970923423767","1.438970923423767"
"126","1.6080501079559326","1.6080501079559326","1.6080501079559326"
