"Step","HistoryLen2-5,10 - Metrics/targetPosition/error_pos_2d","HistoryLen2-5,10 - Metrics/targetPosition/error_pos_2d__MIN","HistoryLen2-5,10 - Metrics/targetPosition/error_pos_2d__MAX"
"1","4.297513484954834","4.297513484954834","4.297513484954834"
"2","4.28371000289917","4.28371000289917","4.28371000289917"
"3","4.255618095397949","4.255618095397949","4.255618095397949"
"4","4.505770206451416","4.505770206451416","4.505770206451416"
"5","4.44118595123291","4.44118595123291","4.44118595123291"
"6","4.299921035766602","4.299921035766602","4.299921035766602"
"7","4.482479095458984","4.482479095458984","4.482479095458984"
"8","4.356835842132568","4.356835842132568","4.356835842132568"
"9","4.446524620056152","4.446524620056152","4.446524620056152"
"10","4.505035877227783","4.505035877227783","4.505035877227783"
"11","4.412008285522461","4.412008285522461","4.412008285522461"
"12","4.324096202850342","4.324096202850342","4.324096202850342"
"13","4.457135200500488","4.457135200500488","4.457135200500488"
"14","4.381525039672852","4.381525039672852","4.381525039672852"
"15","4.377804756164551","4.377804756164551","4.377804756164551"
"16","4.369728088378906","4.369728088378906","4.369728088378906"
"17","4.533120155334473","4.533120155334473","4.533120155334473"
"18","4.410540580749512","4.410540580749512","4.410540580749512"
"19","4.474246025085449","4.474246025085449","4.474246025085449"
"20","4.476928234100342","4.476928234100342","4.476928234100342"
"21","4.529963493347168","4.529963493347168","4.529963493347168"
"22","4.607915878295898","4.607915878295898","4.607915878295898"
"23","4.642043113708496","4.642043113708496","4.642043113708496"
"24","4.674844264984131","4.674844264984131","4.674844264984131"
"25","4.568129539489746","4.568129539489746","4.568129539489746"
"26","4.681388854980469","4.681388854980469","4.681388854980469"
"27","4.646047115325928","4.646047115325928","4.646047115325928"
"28","4.709629535675049","4.709629535675049","4.709629535675049"
"29","4.714757442474365","4.714757442474365","4.714757442474365"
"30","4.562993049621582","4.562993049621582","4.562993049621582"
"31","4.581162452697754","4.581162452697754","4.581162452697754"
"32","4.580350875854492","4.580350875854492","4.580350875854492"
"33","4.600936412811279","4.600936412811279","4.600936412811279"
"34","4.551787853240967","4.551787853240967","4.551787853240967"
"35","4.505303382873535","4.505303382873535","4.505303382873535"
"36","4.514926910400391","4.514926910400391","4.514926910400391"
"37","4.524033546447754","4.524033546447754","4.524033546447754"
"38","4.504986763000488","4.504986763000488","4.504986763000488"
"39","4.5108489990234375","4.5108489990234375","4.5108489990234375"
"40","4.5433669090271","4.5433669090271","4.5433669090271"
"41","4.65383768081665","4.65383768081665","4.65383768081665"
"42","4.438166618347168","4.438166618347168","4.438166618347168"
"43","4.5910139083862305","4.5910139083862305","4.5910139083862305"
"44","4.635043621063232","4.635043621063232","4.635043621063232"
"45","4.431529998779297","4.431529998779297","4.431529998779297"
"46","4.609711170196533","4.609711170196533","4.609711170196533"
"47","4.260383605957031","4.260383605957031","4.260383605957031"
"48","4.57355260848999","4.57355260848999","4.57355260848999"
"49","4.434079647064209","4.434079647064209","4.434079647064209"
"50","4.401601314544678","4.401601314544678","4.401601314544678"
"51","4.528326988220215","4.528326988220215","4.528326988220215"
"52","4.601673126220703","4.601673126220703","4.601673126220703"
"53","4.565399169921875","4.565399169921875","4.565399169921875"
