"Step","HistoryLen2-5,10 - Episode_Termination/base_contact","HistoryLen2-5,10 - Episode_Termination/base_contact__MIN","HistoryLen2-5,10 - Episode_Termination/base_contact__MAX"
"1","0.25","0.25","0.25"
"2","0.75","0.75","0.75"
"3","0.5","0.5","0.5"
"4","0.125","0.125","0.125"
"5","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"6","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"7","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"8","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"9","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"10","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"11","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"12","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"13","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"14","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"15","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"16","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"17","0.5833333730697632","0.5833333730697632","0.5833333730697632"
"18","0.5833333730697632","0.5833333730697632","0.5833333730697632"
"19","0.7083333730697632","0.7083333730697632","0.7083333730697632"
"20","1.25","1.25","1.25"
"21","1.625","1.625","1.625"
"22","2.7916667461395264","2.7916667461395264","2.7916667461395264"
"23","2.25","2.25","2.25"
"24","3.5416667461395264","3.5416667461395264","3.5416667461395264"
"25","3.5416667461395264","3.5416667461395264","3.5416667461395264"
"26","5.375","5.375","5.375"
"27","6.083333492279053","6.083333492279053","6.083333492279053"
"28","8.083333969116211","8.083333969116211","8.083333969116211"
"29","9.333333969116211","9.333333969116211","9.333333969116211"
"30","8.25","8.25","8.25"
"31","8.333333969116211","8.333333969116211","8.333333969116211"
"32","6.333333492279053","6.333333492279053","6.333333492279053"
"33","5.75","5.75","5.75"
"34","4.083333492279053","4.083333492279053","4.083333492279053"
"35","3.5833334922790527","3.5833334922790527","3.5833334922790527"
"36","3.375","3.375","3.375"
"37","3.6666667461395264","3.6666667461395264","3.6666667461395264"
"38","2.7916667461395264","2.7916667461395264","2.7916667461395264"
"39","3.2916667461395264","3.2916667461395264","3.2916667461395264"
"40","2.875","2.875","2.875"
"41","3.2083334922790527","3.2083334922790527","3.2083334922790527"
