"Step","HistoryLen2-5,10 - Episode_Reward/bot_2_payload","HistoryLen2-5,10 - Episode_Reward/bot_2_payload__MIN","HistoryLen2-5,10 - Episode_Reward/bot_2_payload__MAX"
"1","0.023392541334033012","0.023392541334033012","0.023392541334033012"
"2","0.04697328060865402","0.04697328060865402","0.04697328060865402"
"3","0.07056055963039398","0.07056055963039398","0.07056055963039398"
"4","0.08259554207324982","0.08259554207324982","0.08259554207324982"
"5","0.10731571912765503","0.10731571912765503","0.10731571912765503"
"6","0.1353171169757843","0.1353171169757843","0.1353171169757843"
"7","0.1479816734790802","0.1479816734790802","0.1479816734790802"
"8","0.1759413182735443","0.1759413182735443","0.1759413182735443"
"9","0.18142366409301758","0.18142366409301758","0.18142366409301758"
"10","0.2147984355688095","0.2147984355688095","0.2147984355688095"
"11","0.2529429793357849","0.2529429793357849","0.2529429793357849"
"12","0.29071271419525146","0.29071271419525146","0.29071271419525146"
"13","0.29257911443710327","0.29257911443710327","0.29257911443710327"
"14","0.35327380895614624","0.35327380895614624","0.35327380895614624"
"15","0.37579581141471863","0.37579581141471863","0.37579581141471863"
"16","0.3497978150844574","0.3497978150844574","0.3497978150844574"
"17","0.3738877475261688","0.3738877475261688","0.3738877475261688"
"18","0.42242714762687683","0.42242714762687683","0.42242714762687683"
"19","0.4426446557044983","0.4426446557044983","0.4426446557044983"
"20","0.4317094683647156","0.4317094683647156","0.4317094683647156"
"21","0.4549407958984375","0.4549407958984375","0.4549407958984375"
"22","0.4433976113796234","0.4433976113796234","0.4433976113796234"
"23","0.4719148278236389","0.4719148278236389","0.4719148278236389"
"24","0.4972001314163208","0.4972001314163208","0.4972001314163208"
"25","0.5260757207870483","0.5260757207870483","0.5260757207870483"
"26","0.4704064130783081","0.4704064130783081","0.4704064130783081"
"27","0.533990740776062","0.533990740776062","0.533990740776062"
"28","0.5012909173965454","0.5012909173965454","0.5012909173965454"
"29","0.48593783378601074","0.48593783378601074","0.48593783378601074"
"30","0.546549379825592","0.546549379825592","0.546549379825592"
"31","0.5015883445739746","0.5015883445739746","0.5015883445739746"
"32","0.5758727788925171","0.5758727788925171","0.5758727788925171"
"33","0.5629051923751831","0.5629051923751831","0.5629051923751831"
"34","0.6665193438529968","0.6665193438529968","0.6665193438529968"
"35","0.6614689826965332","0.6614689826965332","0.6614689826965332"
"36","0.7199661731719971","0.7199661731719971","0.7199661731719971"
"37","0.7874560356140137","0.7874560356140137","0.7874560356140137"
"38","0.8955903053283691","0.8955903053283691","0.8955903053283691"
"39","0.8460391759872437","0.8460391759872437","0.8460391759872437"
"40","1.0126136541366577","1.0126136541366577","1.0126136541366577"
"41","0.9722944498062134","0.9722944498062134","0.9722944498062134"
"42","1.1839940547943115","1.1839940547943115","1.1839940547943115"
"43","1.106141448020935","1.106141448020935","1.106141448020935"
"44","1.1883560419082642","1.1883560419082642","1.1883560419082642"
"45","1.4083917140960693","1.4083917140960693","1.4083917140960693"
"46","1.3910868167877197","1.3910868167877197","1.3910868167877197"
"47","1.354243278503418","1.354243278503418","1.354243278503418"
"48","1.3754581212997437","1.3754581212997437","1.3754581212997437"
"49","1.4871190786361694","1.4871190786361694","1.4871190786361694"
"50","1.6273621320724487","1.6273621320724487","1.6273621320724487"
"51","1.4930620193481445","1.4930620193481445","1.4930620193481445"
"52","1.5857905149459839","1.5857905149459839","1.5857905149459839"
"53","2.010138750076294","2.010138750076294","2.010138750076294"
"54","1.9452537298202515","1.9452537298202515","1.9452537298202515"
"55","1.9166648387908936","1.9166648387908936","1.9166648387908936"
"56","2.104782819747925","2.104782819747925","2.104782819747925"
"57","2.1016128063201904","2.1016128063201904","2.1016128063201904"
"58","2.265489101409912","2.265489101409912","2.265489101409912"
"59","2.335981607437134","2.335981607437134","2.335981607437134"
"60","2.330307722091675","2.330307722091675","2.330307722091675"
"61","2.2955944538116455","2.2955944538116455","2.2955944538116455"
"62","2.504197597503662","2.504197597503662","2.504197597503662"
"63","2.5207831859588623","2.5207831859588623","2.5207831859588623"
"64","2.2808799743652344","2.2808799743652344","2.2808799743652344"
"65","2.5231733322143555","2.5231733322143555","2.5231733322143555"
"66","2.693871259689331","2.693871259689331","2.693871259689331"
"67","2.606351137161255","2.606351137161255","2.606351137161255"
"68","2.6693544387817383","2.6693544387817383","2.6693544387817383"
"69","2.6635422706604004","2.6635422706604004","2.6635422706604004"
"70","2.718595027923584","2.718595027923584","2.718595027923584"
"71","2.7636051177978516","2.7636051177978516","2.7636051177978516"
"72","2.7493748664855957","2.7493748664855957","2.7493748664855957"
"73","2.862267017364502","2.862267017364502","2.862267017364502"
"74","2.646857738494873","2.646857738494873","2.646857738494873"
"75","2.845686674118042","2.845686674118042","2.845686674118042"
"76","2.779947280883789","2.779947280883789","2.779947280883789"
"77","2.842402935028076","2.842402935028076","2.842402935028076"
"78","2.8464772701263428","2.8464772701263428","2.8464772701263428"
"79","2.9267139434814453","2.9267139434814453","2.9267139434814453"
"80","2.82796049118042","2.82796049118042","2.82796049118042"
"81","2.809849739074707","2.809849739074707","2.809849739074707"
"82","2.7632555961608887","2.7632555961608887","2.7632555961608887"
"83","2.9315154552459717","2.9315154552459717","2.9315154552459717"
