"Step","0.7CircleBlindp2 - Loss/value_function","0.7CircleBlindp2 - Loss/value_function__MIN","0.7CircleBlindp2 - Loss/value_function__MAX"
"9999","0.4452787205576897","0.4452787205576897","0.4452787205576897"
"10000","0.21061258614063263","0.21061258614063263","0.21061258614063263"
"10001","0.20525647178292275","0.20525647178292275","0.20525647178292275"
"10002","0.25053281188011167","0.25053281188011167","0.25053281188011167"
"10003","0.226215261220932","0.226215261220932","0.226215261220932"
"10004","0.2355528861284256","0.2355528861284256","0.2355528861284256"
"10005","0.27329277247190475","0.27329277247190475","0.27329277247190475"
"10006","0.20324335172772406","0.20324335172772406","0.20324335172772406"
"10007","0.1678309626877308","0.1678309626877308","0.1678309626877308"
"10008","0.13597796559333802","0.13597796559333802","0.13597796559333802"
"10009","0.09322613067924976","0.09322613067924976","0.09322613067924976"
"10010","0.11994773298501968","0.11994773298501968","0.11994773298501968"
"10011","0.09364554919302463","0.09364554919302463","0.09364554919302463"
"10012","0.1805582195520401","0.1805582195520401","0.1805582195520401"
"10013","0.08687167055904865","0.08687167055904865","0.08687167055904865"
"10014","0.11918397918343544","0.11918397918343544","0.11918397918343544"
"10015","0.12426244542002678","0.12426244542002678","0.12426244542002678"
"10016","0.0864012859761715","0.0864012859761715","0.0864012859761715"
"10017","0.11009190566837787","0.11009190566837787","0.11009190566837787"
"10018","0.06340291276574135","0.06340291276574135","0.06340291276574135"
"10019","0.0733685551211238","0.0733685551211238","0.0733685551211238"
"10020","0.06235901247709989","0.06235901247709989","0.06235901247709989"
"10021","0.08447257168591023","0.08447257168591023","0.08447257168591023"
"10022","0.09544444307684899","0.09544444307684899","0.09544444307684899"
"10023","0.08808016553521156","0.08808016553521156","0.08808016553521156"
"10024","0.07289689220488071","0.07289689220488071","0.07289689220488071"
"10025","0.06590361073613167","0.06590361073613167","0.06590361073613167"
"10026","0.08140204437077045","0.08140204437077045","0.08140204437077045"
"10027","0.05998685900121927","0.05998685900121927","0.05998685900121927"
"10028","0.06869275327771902","0.06869275327771902","0.06869275327771902"
"10029","0.0707707017660141","0.0707707017660141","0.0707707017660141"
"10030","0.05982205700129271","0.05982205700129271","0.05982205700129271"
"10031","0.051460087299346924","0.051460087299346924","0.051460087299346924"
"10032","1.7347524285316467","1.7347524285316467","1.7347524285316467"
