"Step","OriExp10Lin2D10 - Metrics/targetPosition/error_heading","OriExp10Lin2D10 - Metrics/targetPosition/error_heading__MIN","OriExp10Lin2D10 - Metrics/targetPosition/error_heading__MAX"
"2","1.6647000312805176","1.6647000312805176","1.6647000312805176"
"4","1.5804927349090576","1.5804927349090576","1.5804927349090576"
"7","1.7019675970077515","1.7019675970077515","1.7019675970077515"
"8","1.6275465488433838","1.6275465488433838","1.6275465488433838"
"9","1.479661464691162","1.479661464691162","1.479661464691162"
"12","1.6884173154830933","1.6884173154830933","1.6884173154830933"
"15","1.67739999294281","1.67739999294281","1.67739999294281"
"23","1.5947622060775757","1.5947622060775757","1.5947622060775757"
"24","1.7448443174362183","1.7448443174362183","1.7448443174362183"
"25","1.5818504095077515","1.5818504095077515","1.5818504095077515"
"27","1.6524847745895386","1.6524847745895386","1.6524847745895386"
"28","1.6948670148849487","1.6948670148849487","1.6948670148849487"
"29","1.6586723327636719","1.6586723327636719","1.6586723327636719"
"30","1.8153157234191895","1.8153157234191895","1.8153157234191895"
"34","1.7198941707611084","1.7198941707611084","1.7198941707611084"
"35","1.6387131214141846","1.6387131214141846","1.6387131214141846"
"41","1.821929693222046","1.821929693222046","1.821929693222046"
"42","1.6261004209518433","1.6261004209518433","1.6261004209518433"
"43","1.755710482597351","1.755710482597351","1.755710482597351"
"45","1.5990526676177979","1.5990526676177979","1.5990526676177979"
"49","1.5055946111679077","1.5055946111679077","1.5055946111679077"
"50","1.635011076927185","1.635011076927185","1.635011076927185"
"51","1.7964820861816406","1.7964820861816406","1.7964820861816406"
"52","1.540909767150879","1.540909767150879","1.540909767150879"
"53","1.7147568464279175","1.7147568464279175","1.7147568464279175"
"57","1.6882514953613281","1.6882514953613281","1.6882514953613281"
"60","1.7871408462524414","1.7871408462524414","1.7871408462524414"
"62","1.753798484802246","1.753798484802246","1.753798484802246"
"63","1.5733832120895386","1.5733832120895386","1.5733832120895386"
"65","1.5747623443603516","1.5747623443603516","1.5747623443603516"
"69","1.704477071762085","1.704477071762085","1.704477071762085"
"70","1.562519907951355","1.562519907951355","1.562519907951355"
"72","1.4529938697814941","1.4529938697814941","1.4529938697814941"
"75","1.5112831592559814","1.5112831592559814","1.5112831592559814"
"79","1.6898832321166992","1.6898832321166992","1.6898832321166992"
"82","1.5023269653320312","1.5023269653320312","1.5023269653320312"
"83","1.741081953048706","1.741081953048706","1.741081953048706"
"84","1.7848737239837646","1.7848737239837646","1.7848737239837646"
"85","1.6744298934936523","1.6744298934936523","1.6744298934936523"
"86","1.6236991882324219","1.6236991882324219","1.6236991882324219"
"92","1.8094209432601929","1.8094209432601929","1.8094209432601929"
"96","1.6064937114715576","1.6064937114715576","1.6064937114715576"
"97","1.7781966924667358","1.7781966924667358","1.7781966924667358"
"101","1.6706608533859253","1.6706608533859253","1.6706608533859253"
"103","1.4052324295043945","1.4052324295043945","1.4052324295043945"
"104","1.3872992992401123","1.3872992992401123","1.3872992992401123"
"105","1.6978095769882202","1.6978095769882202","1.6978095769882202"
"106","1.7071187496185303","1.7071187496185303","1.7071187496185303"
"107","1.5729005336761475","1.5729005336761475","1.5729005336761475"
"110","1.6368634700775146","1.6368634700775146","1.6368634700775146"
"112","1.5889301300048828","1.5889301300048828","1.5889301300048828"
"113","1.7071747779846191","1.7071747779846191","1.7071747779846191"
"116","1.732423186302185","1.732423186302185","1.732423186302185"
"117","1.7022866010665894","1.7022866010665894","1.7022866010665894"
"119","1.8045134544372559","1.8045134544372559","1.8045134544372559"
"123","1.5439324378967285","1.5439324378967285","1.5439324378967285"
"127","1.5337580442428589","1.5337580442428589","1.5337580442428589"
"135","1.63641357421875","1.63641357421875","1.63641357421875"
"136","1.7002956867218018","1.7002956867218018","1.7002956867218018"
"139","1.6045987606048584","1.6045987606048584","1.6045987606048584"
"140","1.5835374593734741","1.5835374593734741","1.5835374593734741"
"147","1.6738361120224","1.6738361120224","1.6738361120224"
"148","1.7505252361297607","1.7505252361297607","1.7505252361297607"
"154","1.7890818119049072","1.7890818119049072","1.7890818119049072"
"157","1.5284690856933594","1.5284690856933594","1.5284690856933594"
"159","1.6431244611740112","1.6431244611740112","1.6431244611740112"
"160","1.6191686391830444","1.6191686391830444","1.6191686391830444"
"162","1.5361919403076172","1.5361919403076172","1.5361919403076172"
"163","1.743575930595398","1.743575930595398","1.743575930595398"
"167","1.5784645080566406","1.5784645080566406","1.5784645080566406"
"169","1.5834851264953613","1.5834851264953613","1.5834851264953613"
"170","1.5537655353546143","1.5537655353546143","1.5537655353546143"
"173","1.591916799545288","1.591916799545288","1.591916799545288"
"175","1.6474988460540771","1.6474988460540771","1.6474988460540771"
"176","1.6218980550765991","1.6218980550765991","1.6218980550765991"
"177","1.6087064743041992","1.6087064743041992","1.6087064743041992"
"178","1.785966157913208","1.785966157913208","1.785966157913208"
"180","1.7073607444763184","1.7073607444763184","1.7073607444763184"
"181","1.5998637676239014","1.5998637676239014","1.5998637676239014"
"183","1.5854190587997437","1.5854190587997437","1.5854190587997437"
"185","1.659767985343933","1.659767985343933","1.659767985343933"
"188","1.5449680089950562","1.5449680089950562","1.5449680089950562"
"189","1.3421266078948975","1.3421266078948975","1.3421266078948975"
"190","1.5944904088974","1.5944904088974","1.5944904088974"
"193","1.558767318725586","1.558767318725586","1.558767318725586"
"194","1.4838476181030273","1.4838476181030273","1.4838476181030273"
"197","1.6301301717758179","1.6301301717758179","1.6301301717758179"
"198","1.7660712003707886","1.7660712003707886","1.7660712003707886"
"200","1.4388635158538818","1.4388635158538818","1.4388635158538818"
