"Step","OriExp10Lin2D10 - Metrics/targetPosition/error_pos_2d","OriExp10Lin2D10 - Metrics/targetPosition/error_pos_2d__MIN","OriExp10Lin2D10 - Metrics/targetPosition/error_pos_2d__MAX"
"1","4.364952087402344","4.364952087402344","4.364952087402344"
"4","4.274949550628662","4.274949550628662","4.274949550628662"
"6","4.3783769607543945","4.3783769607543945","4.3783769607543945"
"10","4.37663459777832","4.37663459777832","4.37663459777832"
"11","4.2618889808654785","4.2618889808654785","4.2618889808654785"
"13","4.432129383087158","4.432129383087158","4.432129383087158"
"15","4.40354585647583","4.40354585647583","4.40354585647583"
"16","4.370135307312012","4.370135307312012","4.370135307312012"
"18","4.382136344909668","4.382136344909668","4.382136344909668"
"21","4.515381813049316","4.515381813049316","4.515381813049316"
"23","4.49576473236084","4.49576473236084","4.49576473236084"
"26","4.4365458488464355","4.4365458488464355","4.4365458488464355"
"27","4.353804588317871","4.353804588317871","4.353804588317871"
"28","4.223897457122803","4.223897457122803","4.223897457122803"
"29","4.358854293823242","4.358854293823242","4.358854293823242"
"30","4.359297752380371","4.359297752380371","4.359297752380371"
"31","4.397329330444336","4.397329330444336","4.397329330444336"
"33","4.543330192565918","4.543330192565918","4.543330192565918"
"35","4.546549320220947","4.546549320220947","4.546549320220947"
"36","4.360977649688721","4.360977649688721","4.360977649688721"
"38","4.484344005584717","4.484344005584717","4.484344005584717"
"40","4.470407485961914","4.470407485961914","4.470407485961914"
"41","4.418511867523193","4.418511867523193","4.418511867523193"
"42","4.410216331481934","4.410216331481934","4.410216331481934"
"46","4.6142497062683105","4.6142497062683105","4.6142497062683105"
"47","4.614473342895508","4.614473342895508","4.614473342895508"
"48","4.323525905609131","4.323525905609131","4.323525905609131"
"51","4.623016357421875","4.623016357421875","4.623016357421875"
"56","4.323916435241699","4.323916435241699","4.323916435241699"
"58","4.495238304138184","4.495238304138184","4.495238304138184"
"59","4.638194561004639","4.638194561004639","4.638194561004639"
"61","4.5871477127075195","4.5871477127075195","4.5871477127075195"
"62","4.567168235778809","4.567168235778809","4.567168235778809"
"64","4.58134126663208","4.58134126663208","4.58134126663208"
"65","4.586475372314453","4.586475372314453","4.586475372314453"
"68","4.716287612915039","4.716287612915039","4.716287612915039"
"70","4.828113555908203","4.828113555908203","4.828113555908203"
"76","4.792590141296387","4.792590141296387","4.792590141296387"
"81","5.114148139953613","5.114148139953613","5.114148139953613"
"82","5.014193534851074","5.014193534851074","5.014193534851074"
"83","5.039023399353027","5.039023399353027","5.039023399353027"
"85","5.025954246520996","5.025954246520996","5.025954246520996"
"89","5.0565948486328125","5.0565948486328125","5.0565948486328125"
"91","5.27885627746582","5.27885627746582","5.27885627746582"
"93","5.152394771575928","5.152394771575928","5.152394771575928"
"94","5.251513957977295","5.251513957977295","5.251513957977295"
"98","5.0102057456970215","5.0102057456970215","5.0102057456970215"
"100","5.023813724517822","5.023813724517822","5.023813724517822"
"103","4.965551376342773","4.965551376342773","4.965551376342773"
"104","4.988561630249023","4.988561630249023","4.988561630249023"
"106","4.940231800079346","4.940231800079346","4.940231800079346"
"107","5.135878562927246","5.135878562927246","5.135878562927246"
"109","5.149714469909668","5.149714469909668","5.149714469909668"
"110","4.9181108474731445","4.9181108474731445","4.9181108474731445"
"111","4.920840740203857","4.920840740203857","4.920840740203857"
"112","5.003816604614258","5.003816604614258","5.003816604614258"
"113","4.895224094390869","4.895224094390869","4.895224094390869"
"114","4.894720077514648","4.894720077514648","4.894720077514648"
"119","5.0566277503967285","5.0566277503967285","5.0566277503967285"
"120","4.81827449798584","4.81827449798584","4.81827449798584"
"125","5.138776779174805","5.138776779174805","5.138776779174805"
"126","4.954930305480957","4.954930305480957","4.954930305480957"
"131","4.794345378875732","4.794345378875732","4.794345378875732"
"132","4.759906768798828","4.759906768798828","4.759906768798828"
"134","4.785820484161377","4.785820484161377","4.785820484161377"
"135","4.8339314460754395","4.8339314460754395","4.8339314460754395"
"136","4.840810298919678","4.840810298919678","4.840810298919678"
"137","4.885702133178711","4.885702133178711","4.885702133178711"
"139","4.920570373535156","4.920570373535156","4.920570373535156"
"143","4.816239356994629","4.816239356994629","4.816239356994629"
"144","4.756627559661865","4.756627559661865","4.756627559661865"
"149","4.778504371643066","4.778504371643066","4.778504371643066"
"151","4.976706504821777","4.976706504821777","4.976706504821777"
"155","4.862591743469238","4.862591743469238","4.862591743469238"
"156","4.622227191925049","4.622227191925049","4.622227191925049"
"162","4.787158489227295","4.787158489227295","4.787158489227295"
"164","4.729999542236328","4.729999542236328","4.729999542236328"
"165","4.758156776428223","4.758156776428223","4.758156776428223"
"166","4.722731590270996","4.722731590270996","4.722731590270996"
"167","4.823619365692139","4.823619365692139","4.823619365692139"
"168","4.758329391479492","4.758329391479492","4.758329391479492"
"171","4.593568325042725","4.593568325042725","4.593568325042725"
"176","4.879502296447754","4.879502296447754","4.879502296447754"
"177","4.5883026123046875","4.5883026123046875","4.5883026123046875"
"180","4.542056560516357","4.542056560516357","4.542056560516357"
"183","4.7905168533325195","4.7905168533325195","4.7905168533325195"
"184","4.726559638977051","4.726559638977051","4.726559638977051"
"186","4.515844345092773","4.515844345092773","4.515844345092773"
"188","4.685953140258789","4.685953140258789","4.685953140258789"
"189","4.653229236602783","4.653229236602783","4.653229236602783"
"192","4.723902702331543","4.723902702331543","4.723902702331543"
"193","4.551846504211426","4.551846504211426","4.551846504211426"
"194","4.698643684387207","4.698643684387207","4.698643684387207"
"196","4.756318092346191","4.756318092346191","4.756318092346191"
"199","4.759631156921387","4.759631156921387","4.759631156921387"
"201","4.775278568267822","4.775278568267822","4.775278568267822"
"203","4.7913408279418945","4.7913408279418945","4.7913408279418945"
"205","4.7252655029296875","4.7252655029296875","4.7252655029296875"
"206","4.70114803314209","4.70114803314209","4.70114803314209"
"209","4.673844337463379","4.673844337463379","4.673844337463379"
"210","4.83150577545166","4.83150577545166","4.83150577545166"
"213","4.728728771209717","4.728728771209717","4.728728771209717"
