"Step","0.7CircleBlindp2 - Episode_Reward/bot_2_payload","0.7CircleBlindp2 - Episode_Reward/bot_2_payload__MIN","0.7CircleBlindp2 - Episode_Reward/bot_2_payload__MAX"
"9999","0.0013681044802069664","0.0013681044802069664","0.0013681044802069664"
"10000","0.013062953017652035","0.013062953017652035","0.013062953017652035"
"10001","0.049227651208639145","0.049227651208639145","0.049227651208639145"
"10002","0.11534056067466736","0.11534056067466736","0.11534056067466736"
"10003","0.19188475608825684","0.19188475608825684","0.19188475608825684"
"10004","0.2717268466949463","0.2717268466949463","0.2717268466949463"
"10005","0.33766764402389526","0.33766764402389526","0.33766764402389526"
"10006","0.4063146114349365","0.4063146114349365","0.4063146114349365"
"10007","0.5012350082397461","0.5012350082397461","0.5012350082397461"
"10008","0.5823156833648682","0.5823156833648682","0.5823156833648682"
"10009","0.6899502277374268","0.6899502277374268","0.6899502277374268"
"10010","0.7871343493461609","0.7871343493461609","0.7871343493461609"
"10011","0.9222649931907654","0.9222649931907654","0.9222649931907654"
"10012","0.9883679151535034","0.9883679151535034","0.9883679151535034"
"10013","1.0824525356292725","1.0824525356292725","1.0824525356292725"
"10014","1.1888149976730347","1.1888149976730347","1.1888149976730347"
"10015","1.3023135662078857","1.3023135662078857","1.3023135662078857"
"10016","1.3585031032562256","1.3585031032562256","1.3585031032562256"
"10017","1.4839913845062256","1.4839913845062256","1.4839913845062256"
"10018","1.6228785514831543","1.6228785514831543","1.6228785514831543"
"10019","1.6807082891464233","1.6807082891464233","1.6807082891464233"
"10020","1.784547209739685","1.784547209739685","1.784547209739685"
"10021","1.9033621549606323","1.9033621549606323","1.9033621549606323"
"10022","2.030467987060547","2.030467987060547","2.030467987060547"
"10023","1.96920907497406","1.96920907497406","1.96920907497406"
"10024","2.153014659881592","2.153014659881592","2.153014659881592"
"10025","2.1862952709198","2.1862952709198","2.1862952709198"
"10026","2.2595083713531494","2.2595083713531494","2.2595083713531494"
"10027","2.348402976989746","2.348402976989746","2.348402976989746"
"10028","2.3244965076446533","2.3244965076446533","2.3244965076446533"
"10029","2.679945468902588","2.679945468902588","2.679945468902588"
"10030","2.7448718547821045","2.7448718547821045","2.7448718547821045"
"10031","2.710331678390503","2.710331678390503","2.710331678390503"
"10032","2.939615249633789","2.939615249633789","2.939615249633789"
"10033","2.9348769187927246","2.9348769187927246","2.9348769187927246"
"10034","2.8743882179260254","2.8743882179260254","2.8743882179260254"
"10035","3.1549174785614014","3.1549174785614014","3.1549174785614014"
"10036","3.1732490062713623","3.1732490062713623","3.1732490062713623"
"10037","3.3815407752990723","3.3815407752990723","3.3815407752990723"
"10038","3.147634506225586","3.147634506225586","3.147634506225586"
"10039","3.2286376953125","3.2286376953125","3.2286376953125"
"10040","3.673893451690674","3.673893451690674","3.673893451690674"
"10041","3.67836332321167","3.67836332321167","3.67836332321167"
"10042","3.6539790630340576","3.6539790630340576","3.6539790630340576"
"10043","3.5279674530029297","3.5279674530029297","3.5279674530029297"
"10044","3.5058135986328125","3.5058135986328125","3.5058135986328125"
"10045","3.472999095916748","3.472999095916748","3.472999095916748"
"10046","3.2004637718200684","3.2004637718200684","3.2004637718200684"
"10047","3.3715662956237793","3.3715662956237793","3.3715662956237793"
"10048","3.4443588256835938","3.4443588256835938","3.4443588256835938"
"10049","3.517733573913574","3.517733573913574","3.517733573913574"
"10050","3.4139022827148438","3.4139022827148438","3.4139022827148438"
"10051","3.484952926635742","3.484952926635742","3.484952926635742"
"10052","3.5515239238739014","3.5515239238739014","3.5515239238739014"
"10053","3.5665299892425537","3.5665299892425537","3.5665299892425537"
"10054","3.5570590496063232","3.5570590496063232","3.5570590496063232"
"10055","3.5108046531677246","3.5108046531677246","3.5108046531677246"
"10056","3.6801953315734863","3.6801953315734863","3.6801953315734863"
"10057","3.585392475128174","3.585392475128174","3.585392475128174"
"10058","3.625277280807495","3.625277280807495","3.625277280807495"
"10059","3.5890841484069824","3.5890841484069824","3.5890841484069824"
"10060","3.194094657897949","3.194094657897949","3.194094657897949"
"10061","3.5078284740448","3.5078284740448","3.5078284740448"
"10062","3.5898447036743164","3.5898447036743164","3.5898447036743164"
"10063","3.4344146251678467","3.4344146251678467","3.4344146251678467"
"10064","3.598670482635498","3.598670482635498","3.598670482635498"
"10065","3.552152395248413","3.552152395248413","3.552152395248413"
"10066","3.4840517044067383","3.4840517044067383","3.4840517044067383"
"10067","3.4414730072021484","3.4414730072021484","3.4414730072021484"
"10068","3.4377689361572266","3.4377689361572266","3.4377689361572266"
"10069","3.5216872692108154","3.5216872692108154","3.5216872692108154"
"10070","3.5001883506774902","3.5001883506774902","3.5001883506774902"
