"Step","0.7CircleBlindp2 - Metrics/targetPosition/error_pos_2d","0.7CircleBlindp2 - Metrics/targetPosition/error_pos_2d__MIN","0.7CircleBlindp2 - Metrics/targetPosition/error_pos_2d__MAX"
"10000","4.4112348556518555","4.4112348556518555","4.4112348556518555"
"10001","4.356103897094727","4.356103897094727","4.356103897094727"
"10002","4.028532028198242","4.028532028198242","4.028532028198242"
"10003","3.783000946044922","3.783000946044922","3.783000946044922"
"10004","3.214890480041504","3.214890480041504","3.214890480041504"
"10005","2.3917009830474854","2.3917009830474854","2.3917009830474854"
"10006","2.1587390899658203","2.1587390899658203","2.1587390899658203"
"10007","1.3081860542297363","1.3081860542297363","1.3081860542297363"
"10008","1.110190510749817","1.110190510749817","1.110190510749817"
"10009","0.8141648173332214","0.8141648173332214","0.8141648173332214"
"10010","0.626333475112915","0.626333475112915","0.626333475112915"
"10011","0.35305628180503845","0.35305628180503845","0.35305628180503845"
"10012","0.5004887580871582","0.5004887580871582","0.5004887580871582"
"10013","0.45212435722351074","0.45212435722351074","0.45212435722351074"
"10014","0.41183972358703613","0.41183972358703613","0.41183972358703613"
"10015","0.32190755009651184","0.32190755009651184","0.32190755009651184"
"10016","0.3503391444683075","0.3503391444683075","0.3503391444683075"
"10017","0.2812608778476715","0.2812608778476715","0.2812608778476715"
"10018","0.13530704379081726","0.13530704379081726","0.13530704379081726"
"10019","0.27162984013557434","0.27162984013557434","0.27162984013557434"
"10020","0.24366764724254608","0.24366764724254608","0.24366764724254608"
"10021","0.15230947732925415","0.15230947732925415","0.15230947732925415"
"10022","0.1390911191701889","0.1390911191701889","0.1390911191701889"
"10023","0.48619183897972107","0.48619183897972107","0.48619183897972107"
"10024","0.22282660007476807","0.22282660007476807","0.22282660007476807"
"10025","0.3532141447067261","0.3532141447067261","0.3532141447067261"
"10026","0.3509902358055115","0.3509902358055115","0.3509902358055115"
"10027","0.4100438058376312","0.4100438058376312","0.4100438058376312"
"10028","0.6823724508285522","0.6823724508285522","0.6823724508285522"
"10029","0.12540759146213531","0.12540759146213531","0.12540759146213531"
"10030","0.22194890677928925","0.22194890677928925","0.22194890677928925"
"10031","0.21364150941371918","0.21364150941371918","0.21364150941371918"
"10032","0.8229309916496277","0.8229309916496277","0.8229309916496277"
"10033","1.1313834190368652","1.1313834190368652","1.1313834190368652"
"10034","1.1797475814819336","1.1797475814819336","1.1797475814819336"
"10035","0.8008524775505066","0.8008524775505066","0.8008524775505066"
"10036","0.9022054672241211","0.9022054672241211","0.9022054672241211"
"10037","0.7408294677734375","0.7408294677734375","0.7408294677734375"
"10038","1.0875978469848633","1.0875978469848633","1.0875978469848633"
"10039","1.0363671779632568","1.0363671779632568","1.0363671779632568"
