"Step","Attempt23 - Episode_Reward/bot_2_payload","Attempt23 - Episode_Reward/bot_2_payload__MIN","Attempt23 - Episode_Reward/bot_2_payload__MAX"
"4","-0.005003498867154121","-0.005003498867154121","-0.005003498867154121"
"5","-0.005503475666046143","-0.005503475666046143","-0.005503475666046143"
"8","-0.029417734593153","-0.029417734593153","-0.029417734593153"
"9","-0.013742739334702492","-0.013742739334702492","-0.013742739334702492"
"13","0.012629305943846703","0.012629305943846703","0.012629305943846703"
"14","-0.06008056923747063","-0.06008056923747063","-0.06008056923747063"
"15","-0.05305054038763046","-0.05305054038763046","-0.05305054038763046"
"18","-0.1698911041021347","-0.1698911041021347","-0.1698911041021347"
"20","-0.15697723627090454","-0.15697723627090454","-0.15697723627090454"
"22","-0.0596943162381649","-0.0596943162381649","-0.0596943162381649"
"26","0.03670867532491684","0.03670867532491684","0.03670867532491684"
"27","0.01310047134757042","0.01310047134757042","0.01310047134757042"
"28","0.018446817994117737","0.018446817994117737","0.018446817994117737"
"29","0.02367531508207321","0.02367531508207321","0.02367531508207321"
"32","0.06526657193899155","0.06526657193899155","0.06526657193899155"
"34","0.047166742384433746","0.047166742384433746","0.047166742384433746"
"35","0.07485395669937134","0.07485395669937134","0.07485395669937134"
"36","0.07815487682819366","0.07815487682819366","0.07815487682819366"
"37","0.12055495381355286","0.12055495381355286","0.12055495381355286"
"39","0.13398654758930206","0.13398654758930206","0.13398654758930206"
"40","0.22990700602531433","0.22990700602531433","0.22990700602531433"
"41","0.14064761996269226","0.14064761996269226","0.14064761996269226"
"42","0.1474606692790985","0.1474606692790985","0.1474606692790985"
"43","0.2033928483724594","0.2033928483724594","0.2033928483724594"
"44","0.19024352729320526","0.19024352729320526","0.19024352729320526"
"45","0.24891959130764008","0.24891959130764008","0.24891959130764008"
"46","0.26899445056915283","0.26899445056915283","0.26899445056915283"
"47","0.23554041981697083","0.23554041981697083","0.23554041981697083"
"48","0.2868351638317108","0.2868351638317108","0.2868351638317108"
"52","0.2959238886833191","0.2959238886833191","0.2959238886833191"
"53","0.3718430995941162","0.3718430995941162","0.3718430995941162"
"54","0.4496173858642578","0.4496173858642578","0.4496173858642578"
"57","0.6477544903755188","0.6477544903755188","0.6477544903755188"
"58","0.6837491989135742","0.6837491989135742","0.6837491989135742"
"59","0.698436439037323","0.698436439037323","0.698436439037323"
"61","0.8223251104354858","0.8223251104354858","0.8223251104354858"
"63","0.8508331179618835","0.8508331179618835","0.8508331179618835"
"64","0.9001189470291138","0.9001189470291138","0.9001189470291138"
"65","0.7372740507125854","0.7372740507125854","0.7372740507125854"
"72","0.7591437101364136","0.7591437101364136","0.7591437101364136"
"75","0.8534725904464722","0.8534725904464722","0.8534725904464722"
"79","0.8946542143821716","0.8946542143821716","0.8946542143821716"
"81","1.1338598728179932","1.1338598728179932","1.1338598728179932"
"82","1.1944621801376343","1.1944621801376343","1.1944621801376343"
"83","1.2832179069519043","1.2832179069519043","1.2832179069519043"
"84","1.136138916015625","1.136138916015625","1.136138916015625"
"85","1.2813372611999512","1.2813372611999512","1.2813372611999512"
"87","1.1175522804260254","1.1175522804260254","1.1175522804260254"
