"Step","Attempt23 - Episode_Termination/base_contact","Attempt23 - Episode_Termination/base_contact__MIN","Attempt23 - Episode_Termination/base_contact__MAX"
"112","4","4","4"
"113","3.875","3.875","3.875"
"114","4.5","4.5","4.5"
"117","4.333333492279053","4.333333492279053","4.333333492279053"
"118","3.5833334922790527","3.5833334922790527","3.5833334922790527"
"119","3.4583334922790527","3.4583334922790527","3.4583334922790527"
"120","3.2083334922790527","3.2083334922790527","3.2083334922790527"
"125","2.4166667461395264","2.4166667461395264","2.4166667461395264"
"126","2.1666667461395264","2.1666667461395264","2.1666667461395264"
"132","2.4166667461395264","2.4166667461395264","2.4166667461395264"
"134","1.5833333730697632","1.5833333730697632","1.5833333730697632"
"136","1.2916667461395264","1.2916667461395264","1.2916667461395264"
"137","1.2916667461395264","1.2916667461395264","1.2916667461395264"
"141","1.7083333730697632","1.7083333730697632","1.7083333730697632"
"143","1","1","1"
"147","1.8333333730697632","1.8333333730697632","1.8333333730697632"
"152","1.75","1.75","1.75"
"153","1.3333333730697632","1.3333333730697632","1.3333333730697632"
"154","1.5833333730697632","1.5833333730697632","1.5833333730697632"
"157","1.5","1.5","1.5"
"161","0.9583333730697632","0.9583333730697632","0.9583333730697632"
"162","1","1","1"
"163","1.2083333730697632","1.2083333730697632","1.2083333730697632"
"164","0.7083333730697632","0.7083333730697632","0.7083333730697632"
"166","0.625","0.625","0.625"
"167","0.8333333730697632","0.8333333730697632","0.8333333730697632"
"170","0.7083333730697632","0.7083333730697632","0.7083333730697632"
"171","0.75","0.75","0.75"
"176","1","1","1"
"177","0.7916666865348816","0.7916666865348816","0.7916666865348816"
"178","0.5416666865348816","0.5416666865348816","0.5416666865348816"
"179","0.75","0.75","0.75"
"182","0.4583333432674408","0.4583333432674408","0.4583333432674408"
"183","0.375","0.375","0.375"
"188","0.5416666865348816","0.5416666865348816","0.5416666865348816"
"189","0.6666666865348816","0.6666666865348816","0.6666666865348816"
"190","0.625","0.625","0.625"
"191","0.9583333730697632","0.9583333730697632","0.9583333730697632"
"194","1.625","1.625","1.625"
"197","0.7916666865348816","0.7916666865348816","0.7916666865348816"
"200","0.4166666865348816","0.4166666865348816","0.4166666865348816"
"202","0.5","0.5","0.5"
"203","0.5416666865348816","0.5416666865348816","0.5416666865348816"
"206","0.4583333432674408","0.4583333432674408","0.4583333432674408"
"207","0.5833333730697632","0.5833333730697632","0.5833333730697632"
"209","0.375","0.375","0.375"
"210","0.375","0.375","0.375"
"213","0.5","0.5","0.5"
"216","0.5416666865348816","0.5416666865348816","0.5416666865348816"
"217","0.4166666865348816","0.4166666865348816","0.4166666865348816"
"219","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"221","0.4166666865348816","0.4166666865348816","0.4166666865348816"
"222","0.5833333730697632","0.5833333730697632","0.5833333730697632"
"224","0.4166666865348816","0.4166666865348816","0.4166666865348816"
"228","0.5","0.5","0.5"
"231","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"232","0.2916666865348816","0.2916666865348816","0.2916666865348816"
