"Step","Attempt23 - Episode_Reward/payload_2_target","Attempt23 - Episode_Reward/payload_2_target__MIN","Attempt23 - Episode_Reward/payload_2_target__MAX"
"165","-0.21778492629528046","-0.21778492629528046","-0.21778492629528046"
"168","-0.16564464569091797","-0.16564464569091797","-0.16564464569091797"
"169","-0.2431824803352356","-0.2431824803352356","-0.2431824803352356"
"172","-0.2965143918991089","-0.2965143918991089","-0.2965143918991089"
"175","-0.37642595171928406","-0.37642595171928406","-0.37642595171928406"
"177","-0.3196089267730713","-0.3196089267730713","-0.3196089267730713"
"178","-0.3913697898387909","-0.3913697898387909","-0.3913697898387909"
"179","-0.5121159553527832","-0.5121159553527832","-0.5121159553527832"
"185","-0.4304729104042053","-0.4304729104042053","-0.4304729104042053"
"186","-0.3367743492126465","-0.3367743492126465","-0.3367743492126465"
"188","-0.4010719656944275","-0.4010719656944275","-0.4010719656944275"
"189","-0.41953587532043457","-0.41953587532043457","-0.41953587532043457"
"190","-0.4829445481300354","-0.4829445481300354","-0.4829445481300354"
"191","-0.4362680912017822","-0.4362680912017822","-0.4362680912017822"
"192","-0.4279577136039734","-0.4279577136039734","-0.4279577136039734"
"194","-0.4049384593963623","-0.4049384593963623","-0.4049384593963623"
"196","-0.6755222678184509","-0.6755222678184509","-0.6755222678184509"
"199","-0.5520926713943481","-0.5520926713943481","-0.5520926713943481"
"201","-0.5991018414497375","-0.5991018414497375","-0.5991018414497375"
"204","-0.8710443377494812","-0.8710443377494812","-0.8710443377494812"
"208","-1.0498535633087158","-1.0498535633087158","-1.0498535633087158"
"210","-1.2838691473007202","-1.2838691473007202","-1.2838691473007202"
"212","-1.2219789028167725","-1.2219789028167725","-1.2219789028167725"
"213","-1.0638515949249268","-1.0638515949249268","-1.0638515949249268"
"215","-1.3621963262557983","-1.3621963262557983","-1.3621963262557983"
"216","-1.058982014656067","-1.058982014656067","-1.058982014656067"
"217","-1.0948843955993652","-1.0948843955993652","-1.0948843955993652"
"219","-1.2133601903915405","-1.2133601903915405","-1.2133601903915405"
"220","-0.9136850237846375","-0.9136850237846375","-0.9136850237846375"
"225","-0.9497507810592651","-0.9497507810592651","-0.9497507810592651"
"228","-0.8146871328353882","-0.8146871328353882","-0.8146871328353882"
"229","-1.1219385862350464","-1.1219385862350464","-1.1219385862350464"
"231","-1.0032014846801758","-1.0032014846801758","-1.0032014846801758"
"233","-0.9760857820510864","-0.9760857820510864","-0.9760857820510864"
"236","-1.02724027633667","-1.02724027633667","-1.02724027633667"
"237","-0.9423539042472839","-0.9423539042472839","-0.9423539042472839"
"238","-1.1209006309509277","-1.1209006309509277","-1.1209006309509277"
"239","-0.9905311465263367","-0.9905311465263367","-0.9905311465263367"
"243","-0.9125361442565918","-0.9125361442565918","-0.9125361442565918"
"250","-0.8561791181564331","-0.8561791181564331","-0.8561791181564331"
"253","-0.8042956590652466","-0.8042956590652466","-0.8042956590652466"
"254","-0.8110662698745728","-0.8110662698745728","-0.8110662698745728"
"255","-0.8714062571525574","-0.8714062571525574","-0.8714062571525574"
"261","-0.6387591361999512","-0.6387591361999512","-0.6387591361999512"
"262","-0.8165386915206909","-0.8165386915206909","-0.8165386915206909"
"270","-0.6140753030776978","-0.6140753030776978","-0.6140753030776978"
"273","-0.6681497097015381","-0.6681497097015381","-0.6681497097015381"
"275","-0.4908864200115204","-0.4908864200115204","-0.4908864200115204"
"276","-0.3471389710903168","-0.3471389710903168","-0.3471389710903168"
"277","-0.35989516973495483","-0.35989516973495483","-0.35989516973495483"
"278","-0.3130088448524475","-0.3130088448524475","-0.3130088448524475"
"280","-0.12498419731855392","-0.12498419731855392","-0.12498419731855392"
"282","-0.0913742408156395","-0.0913742408156395","-0.0913742408156395"
"283","-0.019794847816228867","-0.019794847816228867","-0.019794847816228867"
"285","0.006620622240006924","0.006620622240006924","0.006620622240006924"
"286","0.03985527902841568","0.03985527902841568","0.03985527902841568"
"294","0.1592702567577362","0.1592702567577362","0.1592702567577362"
"295","0.23210053145885468","0.23210053145885468","0.23210053145885468"
"296","0.21356406807899475","0.21356406807899475","0.21356406807899475"
"297","0.16541531682014465","0.16541531682014465","0.16541531682014465"
"299","0.15953734517097473","0.15953734517097473","0.15953734517097473"
"305","0.23728501796722412","0.23728501796722412","0.23728501796722412"
"307","0.052995845675468445","0.052995845675468445","0.052995845675468445"
"308","0.2107750028371811","0.2107750028371811","0.2107750028371811"
"312","0.12050133943557739","0.12050133943557739","0.12050133943557739"
"314","0.2768901586532593","0.2768901586532593","0.2768901586532593"
"315","0.41781681776046753","0.41781681776046753","0.41781681776046753"
"317","0.4301186203956604","0.4301186203956604","0.4301186203956604"
"318","0.35492441058158875","0.35492441058158875","0.35492441058158875"
"320","0.4204258918762207","0.4204258918762207","0.4204258918762207"
"321","0.4418536126613617","0.4418536126613617","0.4418536126613617"
"323","0.5048448443412781","0.5048448443412781","0.5048448443412781"
"324","0.4943314492702484","0.4943314492702484","0.4943314492702484"
"325","0.4171525835990906","0.4171525835990906","0.4171525835990906"
"327","0.590347945690155","0.590347945690155","0.590347945690155"
"328","0.6338950395584106","0.6338950395584106","0.6338950395584106"
"330","0.5352845788002014","0.5352845788002014","0.5352845788002014"
"331","0.5757344961166382","0.5757344961166382","0.5757344961166382"
"339","0.718531608581543","0.718531608581543","0.718531608581543"
"341","0.6133970022201538","0.6133970022201538","0.6133970022201538"
"343","0.76935213804245","0.76935213804245","0.76935213804245"
"345","0.70293128490448","0.70293128490448","0.70293128490448"
"346","0.7668620944023132","0.7668620944023132","0.7668620944023132"
"347","0.99163818359375","0.99163818359375","0.99163818359375"
"348","0.6768974661827087","0.6768974661827087","0.6768974661827087"
"349","0.8077921867370605","0.8077921867370605","0.8077921867370605"
"350","1.0283123254776","1.0283123254776","1.0283123254776"
"351","0.7933259010314941","0.7933259010314941","0.7933259010314941"
"354","0.8632695078849792","0.8632695078849792","0.8632695078849792"
"355","0.8959556818008423","0.8959556818008423","0.8959556818008423"
"356","0.8167096972465515","0.8167096972465515","0.8167096972465515"
"358","0.9625155925750732","0.9625155925750732","0.9625155925750732"
"359","0.8871282339096069","0.8871282339096069","0.8871282339096069"
"361","0.9549695253372192","0.9549695253372192","0.9549695253372192"
"362","0.9233124256134033","0.9233124256134033","0.9233124256134033"
"363","0.801957368850708","0.801957368850708","0.801957368850708"
"366","0.804877758026123","0.804877758026123","0.804877758026123"
"369","1.0356584787368774","1.0356584787368774","1.0356584787368774"
"371","1.1300008296966553","1.1300008296966553","1.1300008296966553"
"372","1.010452151298523","1.010452151298523","1.010452151298523"
"373","1.190091848373413","1.190091848373413","1.190091848373413"
"374","1.150312900543213","1.150312900543213","1.150312900543213"
"375","1.0859071016311646","1.0859071016311646","1.0859071016311646"
