"Step","Attempt23 - Metrics/targetPosition/error_pos_2d","Attempt23 - Metrics/targetPosition/error_pos_2d__MIN","Attempt23 - Metrics/targetPosition/error_pos_2d__MAX"
"1","4.332062721252441","4.332062721252441","4.332062721252441"
"2","4.289137840270996","4.289137840270996","4.289137840270996"
"3","4.415489673614502","4.415489673614502","4.415489673614502"
"4","4.462224960327148","4.462224960327148","4.462224960327148"
"5","4.3864336013793945","4.3864336013793945","4.3864336013793945"
"6","4.324890613555908","4.324890613555908","4.324890613555908"
"10","4.497881889343262","4.497881889343262","4.497881889343262"
"12","4.356230735778809","4.356230735778809","4.356230735778809"
"15","4.409360408782959","4.409360408782959","4.409360408782959"
"16","4.413653373718262","4.413653373718262","4.413653373718262"
"22","4.397650241851807","4.397650241851807","4.397650241851807"
"23","4.331417083740234","4.331417083740234","4.331417083740234"
"25","4.3771162033081055","4.3771162033081055","4.3771162033081055"
"28","4.368618488311768","4.368618488311768","4.368618488311768"
"31","4.361712455749512","4.361712455749512","4.361712455749512"
"33","4.398665904998779","4.398665904998779","4.398665904998779"
"36","4.347563743591309","4.347563743591309","4.347563743591309"
"38","4.377583980560303","4.377583980560303","4.377583980560303"
"39","4.318034648895264","4.318034648895264","4.318034648895264"
"40","4.399578094482422","4.399578094482422","4.399578094482422"
"42","4.292497158050537","4.292497158050537","4.292497158050537"
"43","4.336437225341797","4.336437225341797","4.336437225341797"
"46","4.368764877319336","4.368764877319336","4.368764877319336"
"49","4.422114372253418","4.422114372253418","4.422114372253418"
"50","4.48150634765625","4.48150634765625","4.48150634765625"
"52","4.504859924316406","4.504859924316406","4.504859924316406"
"56","4.508011817932129","4.508011817932129","4.508011817932129"
"60","4.54750919342041","4.54750919342041","4.54750919342041"
"61","4.665365219116211","4.665365219116211","4.665365219116211"
"64","4.618178367614746","4.618178367614746","4.618178367614746"
"65","4.61939811706543","4.61939811706543","4.61939811706543"
"66","4.585954189300537","4.585954189300537","4.585954189300537"
"69","4.597531318664551","4.597531318664551","4.597531318664551"
"71","4.555428981781006","4.555428981781006","4.555428981781006"
"78","4.694803237915039","4.694803237915039","4.694803237915039"
"80","4.588196277618408","4.588196277618408","4.588196277618408"
"81","4.599454402923584","4.599454402923584","4.599454402923584"
"83","4.6247687339782715","4.6247687339782715","4.6247687339782715"
"84","4.66817045211792","4.66817045211792","4.66817045211792"
"85","4.668319225311279","4.668319225311279","4.668319225311279"
"89","4.637074947357178","4.637074947357178","4.637074947357178"
"90","4.66630744934082","4.66630744934082","4.66630744934082"
"92","4.724910736083984","4.724910736083984","4.724910736083984"
"93","4.495308876037598","4.495308876037598","4.495308876037598"
"94","4.599626064300537","4.599626064300537","4.599626064300537"
"97","4.439455032348633","4.439455032348633","4.439455032348633"
"98","4.574706554412842","4.574706554412842","4.574706554412842"
"100","4.582549095153809","4.582549095153809","4.582549095153809"
"101","4.527605056762695","4.527605056762695","4.527605056762695"
"102","4.454442024230957","4.454442024230957","4.454442024230957"
"103","4.5896100997924805","4.5896100997924805","4.5896100997924805"
"104","4.502118110656738","4.502118110656738","4.502118110656738"
"106","4.557241439819336","4.557241439819336","4.557241439819336"
"113","4.534801006317139","4.534801006317139","4.534801006317139"
"116","4.4000468254089355","4.4000468254089355","4.4000468254089355"
"117","4.48470401763916","4.48470401763916","4.48470401763916"
"118","4.36249303817749","4.36249303817749","4.36249303817749"
"119","4.401529312133789","4.401529312133789","4.401529312133789"
"120","4.389163970947266","4.389163970947266","4.389163970947266"
"121","4.217141151428223","4.217141151428223","4.217141151428223"
"123","4.230559825897217","4.230559825897217","4.230559825897217"
"124","4.463445663452148","4.463445663452148","4.463445663452148"
"125","4.591439723968506","4.591439723968506","4.591439723968506"
"126","4.454320907592773","4.454320907592773","4.454320907592773"
"132","4.272336959838867","4.272336959838867","4.272336959838867"
"133","4.282907485961914","4.282907485961914","4.282907485961914"
"135","4.37671422958374","4.37671422958374","4.37671422958374"
"138","4.365596294403076","4.365596294403076","4.365596294403076"
"139","4.336089611053467","4.336089611053467","4.336089611053467"
"140","4.307082653045654","4.307082653045654","4.307082653045654"
"141","4.57026481628418","4.57026481628418","4.57026481628418"
"142","4.304515838623047","4.304515838623047","4.304515838623047"
"144","4.313777446746826","4.313777446746826","4.313777446746826"
"146","4.30136775970459","4.30136775970459","4.30136775970459"
"147","4.297600746154785","4.297600746154785","4.297600746154785"
"149","4.397261619567871","4.397261619567871","4.397261619567871"
"152","4.488992691040039","4.488992691040039","4.488992691040039"
"153","4.341429710388184","4.341429710388184","4.341429710388184"
"154","4.38023567199707","4.38023567199707","4.38023567199707"
"159","4.429011344909668","4.429011344909668","4.429011344909668"
"160","4.378906726837158","4.378906726837158","4.378906726837158"
"162","4.42108154296875","4.42108154296875","4.42108154296875"
"163","4.453065872192383","4.453065872192383","4.453065872192383"
"165","4.316244125366211","4.316244125366211","4.316244125366211"
"167","4.5026726722717285","4.5026726722717285","4.5026726722717285"
"169","4.6024675369262695","4.6024675369262695","4.6024675369262695"
"170","4.651393413543701","4.651393413543701","4.651393413543701"
"171","4.4206414222717285","4.4206414222717285","4.4206414222717285"
"173","4.4455132484436035","4.4455132484436035","4.4455132484436035"
"174","4.494357109069824","4.494357109069824","4.494357109069824"
"177","4.471737861633301","4.471737861633301","4.471737861633301"
"178","4.683952331542969","4.683952331542969","4.683952331542969"
"184","4.521722793579102","4.521722793579102","4.521722793579102"
"186","4.462421417236328","4.462421417236328","4.462421417236328"
"187","4.409050464630127","4.409050464630127","4.409050464630127"
"189","4.49521541595459","4.49521541595459","4.49521541595459"
"191","4.440060615539551","4.440060615539551","4.440060615539551"
"192","4.460640907287598","4.460640907287598","4.460640907287598"
"194","4.433017253875732","4.433017253875732","4.433017253875732"
"197","4.552565574645996","4.552565574645996","4.552565574645996"
"198","4.500436305999756","4.500436305999756","4.500436305999756"
"200","4.42929220199585","4.42929220199585","4.42929220199585"
"201","4.471031188964844","4.471031188964844","4.471031188964844"
"203","4.874122142791748","4.874122142791748","4.874122142791748"
"207","4.7472124099731445","4.7472124099731445","4.7472124099731445"
"208","4.809924602508545","4.809924602508545","4.809924602508545"
"209","4.955898761749268","4.955898761749268","4.955898761749268"
"212","4.991246223449707","4.991246223449707","4.991246223449707"
"213","5.016623497009277","5.016623497009277","5.016623497009277"
"214","5.30661153793335","5.30661153793335","5.30661153793335"
"219","5.238204002380371","5.238204002380371","5.238204002380371"
"222","4.941603183746338","4.941603183746338","4.941603183746338"
"223","5.103649139404297","5.103649139404297","5.103649139404297"
"225","4.676463603973389","4.676463603973389","4.676463603973389"
"228","4.8210883140563965","4.8210883140563965","4.8210883140563965"
"229","5.130021572113037","5.130021572113037","5.130021572113037"
