"Step","2Corner+exp - Metrics/targetPosition/error_pos_2d","2Corner+exp - Metrics/targetPosition/error_pos_2d__MIN","2Corner+exp - Metrics/targetPosition/error_pos_2d__MAX"
"8151","4.464824199676514","4.464824199676514","4.464824199676514"
"8153","4.077990531921387","4.077990531921387","4.077990531921387"
"8154","3.1366639137268066","3.1366639137268066","3.1366639137268066"
"8156","1.8585284948349","1.8585284948349","1.8585284948349"
"8160","0.6960346102714539","0.6960346102714539","0.6960346102714539"
"8161","0.5336273908615112","0.5336273908615112","0.5336273908615112"
"8162","0.4539848566055298","0.4539848566055298","0.4539848566055298"
"8164","0.29881715774536133","0.29881715774536133","0.29881715774536133"
"8166","0.260090172290802","0.260090172290802","0.260090172290802"
"8171","0.19482430815696716","0.19482430815696716","0.19482430815696716"
"8173","0.15384595096111298","0.15384595096111298","0.15384595096111298"
"8174","0.1776060163974762","0.1776060163974762","0.1776060163974762"
"8176","0.15714669227600098","0.15714669227600098","0.15714669227600098"
"8177","0.15499500930309296","0.15499500930309296","0.15499500930309296"
"8178","0.1743967980146408","0.1743967980146408","0.1743967980146408"
"8180","0.18529781699180603","0.18529781699180603","0.18529781699180603"
"8182","0.12816347181797028","0.12816347181797028","0.12816347181797028"
"8184","1.1124006509780884","1.1124006509780884","1.1124006509780884"
"8187","0.6320399641990662","0.6320399641990662","0.6320399641990662"
"8188","0.5797582864761353","0.5797582864761353","0.5797582864761353"
"8191","0.38393735885620117","0.38393735885620117","0.38393735885620117"
"8193","0.44621944427490234","0.44621944427490234","0.44621944427490234"
"8195","0.4998425841331482","0.4998425841331482","0.4998425841331482"
"8196","0.40861189365386963","0.40861189365386963","0.40861189365386963"
"8197","0.49246764183044434","0.49246764183044434","0.49246764183044434"
"8200","0.4506341814994812","0.4506341814994812","0.4506341814994812"
"8203","0.4086761474609375","0.4086761474609375","0.4086761474609375"
"8204","0.4264751374721527","0.4264751374721527","0.4264751374721527"
"8205","0.44675254821777344","0.44675254821777344","0.44675254821777344"
"8206","0.4521932005882263","0.4521932005882263","0.4521932005882263"
"8208","0.5195330381393433","0.5195330381393433","0.5195330381393433"
"8209","0.47194191813468933","0.47194191813468933","0.47194191813468933"
"8215","0.4026232361793518","0.4026232361793518","0.4026232361793518"
"8216","0.4072248637676239","0.4072248637676239","0.4072248637676239"
"8219","0.4280269742012024","0.4280269742012024","0.4280269742012024"
"8220","0.4559319019317627","0.4559319019317627","0.4559319019317627"
"8222","0.44726336002349854","0.44726336002349854","0.44726336002349854"
"8224","0.42083653807640076","0.42083653807640076","0.42083653807640076"
"8227","0.42732495069503784","0.42732495069503784","0.42732495069503784"
"8230","0.4800264537334442","0.4800264537334442","0.4800264537334442"
"8231","0.49366891384124756","0.49366891384124756","0.49366891384124756"
"8232","0.4447190761566162","0.4447190761566162","0.4447190761566162"
