"Step","2Corner+exp - Metrics/targetPosition/error_heading","2Corner+exp - Metrics/targetPosition/error_heading__MIN","2Corner+exp - Metrics/targetPosition/error_heading__MAX"
"8151","1.549340009689331","1.549340009689331","1.549340009689331"
"8154","1.628668189048767","1.628668189048767","1.628668189048767"
"8155","1.4603441953659058","1.4603441953659058","1.4603441953659058"
"8156","1.5671147108078003","1.5671147108078003","1.5671147108078003"
"8157","1.4747915267944336","1.4747915267944336","1.4747915267944336"
"8158","1.5453157424926758","1.5453157424926758","1.5453157424926758"
"8160","1.697448492050171","1.697448492050171","1.697448492050171"
"8162","1.6913223266601562","1.6913223266601562","1.6913223266601562"
"8164","1.5660922527313232","1.5660922527313232","1.5660922527313232"
"8167","1.5829452276229858","1.5829452276229858","1.5829452276229858"
"8168","1.6650819778442383","1.6650819778442383","1.6650819778442383"
"8172","1.3627502918243408","1.3627502918243408","1.3627502918243408"
"8175","1.684206485748291","1.684206485748291","1.684206485748291"
"8176","1.826345443725586","1.826345443725586","1.826345443725586"
"8177","1.545985221862793","1.545985221862793","1.545985221862793"
"8182","1.639990210533142","1.639990210533142","1.639990210533142"
"8183","1.570217490196228","1.570217490196228","1.570217490196228"
"8186","1.5307090282440186","1.5307090282440186","1.5307090282440186"
"8189","1.6027311086654663","1.6027311086654663","1.6027311086654663"
"8190","1.5598700046539307","1.5598700046539307","1.5598700046539307"
"8191","1.5705541372299194","1.5705541372299194","1.5705541372299194"
"8193","1.4628465175628662","1.4628465175628662","1.4628465175628662"
"8195","1.634842872619629","1.634842872619629","1.634842872619629"
"8196","1.4381778240203857","1.4381778240203857","1.4381778240203857"
"8197","1.3120847940444946","1.3120847940444946","1.3120847940444946"
"8201","1.635499358177185","1.635499358177185","1.635499358177185"
"8202","1.5098503828048706","1.5098503828048706","1.5098503828048706"
"8204","1.4830799102783203","1.4830799102783203","1.4830799102783203"
"8205","1.5873225927352905","1.5873225927352905","1.5873225927352905"
"8206","1.4143779277801514","1.4143779277801514","1.4143779277801514"
"8207","1.5207842588424683","1.5207842588424683","1.5207842588424683"
"8211","1.522133231163025","1.522133231163025","1.522133231163025"
"8214","1.4786748886108398","1.4786748886108398","1.4786748886108398"
"8217","1.7725892066955566","1.7725892066955566","1.7725892066955566"
"8219","1.4669593572616577","1.4669593572616577","1.4669593572616577"
"8221","1.7719587087631226","1.7719587087631226","1.7719587087631226"
"8222","1.6533548831939697","1.6533548831939697","1.6533548831939697"
"8223","1.5453212261199951","1.5453212261199951","1.5453212261199951"
"8225","1.5230716466903687","1.5230716466903687","1.5230716466903687"
"8226","1.514286756515503","1.514286756515503","1.514286756515503"
"8229","1.578477382659912","1.578477382659912","1.578477382659912"
"8230","1.4603675603866577","1.4603675603866577","1.4603675603866577"
"8231","1.4701104164123535","1.4701104164123535","1.4701104164123535"
"8233","1.6488298177719116","1.6488298177719116","1.6488298177719116"
"8234","1.375528335571289","1.375528335571289","1.375528335571289"
"8235","1.64988374710083","1.64988374710083","1.64988374710083"
"8236","1.4066836833953857","1.4066836833953857","1.4066836833953857"
"8237","1.6281077861785889","1.6281077861785889","1.6281077861785889"
"8238","1.6415550708770752","1.6415550708770752","1.6415550708770752"
"8240","1.5313479900360107","1.5313479900360107","1.5313479900360107"
"8241","1.5005043745040894","1.5005043745040894","1.5005043745040894"
"8244","1.6149375438690186","1.6149375438690186","1.6149375438690186"
"8245","1.3798612356185913","1.3798612356185913","1.3798612356185913"
"8248","1.5036695003509521","1.5036695003509521","1.5036695003509521"
"8250","1.4066438674926758","1.4066438674926758","1.4066438674926758"
"8251","1.4487340450286865","1.4487340450286865","1.4487340450286865"
"8252","1.5713562965393066","1.5713562965393066","1.5713562965393066"
"8253","1.4897685050964355","1.4897685050964355","1.4897685050964355"
"8256","1.551857352256775","1.551857352256775","1.551857352256775"
"8260","1.4891798496246338","1.4891798496246338","1.4891798496246338"
"8264","1.586190938949585","1.586190938949585","1.586190938949585"
"8265","1.5989093780517578","1.5989093780517578","1.5989093780517578"
"8270","1.4871881008148193","1.4871881008148193","1.4871881008148193"
"8271","1.5485756397247314","1.5485756397247314","1.5485756397247314"
"8272","1.3911819458007812","1.3911819458007812","1.3911819458007812"
"8274","1.4507808685302734","1.4507808685302734","1.4507808685302734"
"8275","1.6077903509140015","1.6077903509140015","1.6077903509140015"
"8276","1.4268150329589844","1.4268150329589844","1.4268150329589844"
"8279","1.5309267044067383","1.5309267044067383","1.5309267044067383"
"8281","1.4720635414123535","1.4720635414123535","1.4720635414123535"
"8283","1.54035222530365","1.54035222530365","1.54035222530365"
"8284","1.5328102111816406","1.5328102111816406","1.5328102111816406"
"8288","1.4665937423706055","1.4665937423706055","1.4665937423706055"
"8292","1.4960157871246338","1.4960157871246338","1.4960157871246338"
"8295","1.3278443813323975","1.3278443813323975","1.3278443813323975"
"8296","1.4711235761642456","1.4711235761642456","1.4711235761642456"
"8301","1.424613356590271","1.424613356590271","1.424613356590271"
"8306","1.5076745748519897","1.5076745748519897","1.5076745748519897"
"8310","1.417163610458374","1.417163610458374","1.417163610458374"
"8312","1.4526681900024414","1.4526681900024414","1.4526681900024414"
"8313","1.5009572505950928","1.5009572505950928","1.5009572505950928"
"8315","1.6626513004302979","1.6626513004302979","1.6626513004302979"
"8316","1.5259130001068115","1.5259130001068115","1.5259130001068115"
"8317","1.5191205739974976","1.5191205739974976","1.5191205739974976"
"8319","1.4244425296783447","1.4244425296783447","1.4244425296783447"
"8320","1.5400241613388062","1.5400241613388062","1.5400241613388062"
"8322","1.480395793914795","1.480395793914795","1.480395793914795"
"8323","1.5981725454330444","1.5981725454330444","1.5981725454330444"
"8326","1.5902284383773804","1.5902284383773804","1.5902284383773804"
"8327","1.541416883468628","1.541416883468628","1.541416883468628"
"8330","1.3220274448394775","1.3220274448394775","1.3220274448394775"
"8335","1.6154379844665527","1.6154379844665527","1.6154379844665527"
"8338","1.598248839378357","1.598248839378357","1.598248839378357"
"8339","1.5305156707763672","1.5305156707763672","1.5305156707763672"
"8344","1.5172275304794312","1.5172275304794312","1.5172275304794312"
"8345","1.509298324584961","1.509298324584961","1.509298324584961"
"8349","1.5651776790618896","1.5651776790618896","1.5651776790618896"
"8352","1.5326707363128662","1.5326707363128662","1.5326707363128662"
"8355","1.4919471740722656","1.4919471740722656","1.4919471740722656"
"8357","1.4355130195617676","1.4355130195617676","1.4355130195617676"
"8359","1.4914425611495972","1.4914425611495972","1.4914425611495972"
"8360","1.4044265747070312","1.4044265747070312","1.4044265747070312"
"8362","1.4624027013778687","1.4624027013778687","1.4624027013778687"
