"Step","4Ball4BlockIDP1 - Metrics/targetPosition/error_pos_2d","4Ball4BlockIDP1 - Metrics/targetPosition/error_pos_2d__MIN","4Ball4BlockIDP1 - Metrics/targetPosition/error_pos_2d__MAX"
"1","4.3068156242370605","4.3068156242370605","4.3068156242370605"
"3","4.209535121917725","4.209535121917725","4.209535121917725"
"4","4.506803512573242","4.506803512573242","4.506803512573242"
"6","4.288946628570557","4.288946628570557","4.288946628570557"
"8","4.3404622077941895","4.3404622077941895","4.3404622077941895"
"9","4.407004356384277","4.407004356384277","4.407004356384277"
"10","4.550315856933594","4.550315856933594","4.550315856933594"
"11","4.417256832122803","4.417256832122803","4.417256832122803"
"13","4.510378837585449","4.510378837585449","4.510378837585449"
"14","4.530913352966309","4.530913352966309","4.530913352966309"
"16","4.569935321807861","4.569935321807861","4.569935321807861"
"18","4.5834760665893555","4.5834760665893555","4.5834760665893555"
"19","4.65083646774292","4.65083646774292","4.65083646774292"
"20","4.476369857788086","4.476369857788086","4.476369857788086"
"21","4.553130626678467","4.553130626678467","4.553130626678467"
"22","4.512603282928467","4.512603282928467","4.512603282928467"
"23","4.693708419799805","4.693708419799805","4.693708419799805"
"25","4.586339950561523","4.586339950561523","4.586339950561523"
"26","4.435423851013184","4.435423851013184","4.435423851013184"
"27","4.502542972564697","4.502542972564697","4.502542972564697"
"30","4.560114860534668","4.560114860534668","4.560114860534668"
"32","4.470170497894287","4.470170497894287","4.470170497894287"
"33","4.48560094833374","4.48560094833374","4.48560094833374"
"35","4.4811601638793945","4.4811601638793945","4.4811601638793945"
"36","4.470340728759766","4.470340728759766","4.470340728759766"
"37","4.509594440460205","4.509594440460205","4.509594440460205"
"38","4.547491073608398","4.547491073608398","4.547491073608398"
"39","4.466150283813477","4.466150283813477","4.466150283813477"
"40","4.467235565185547","4.467235565185547","4.467235565185547"
"41","4.471164703369141","4.471164703369141","4.471164703369141"
"42","4.506083965301514","4.506083965301514","4.506083965301514"
"44","4.514805793762207","4.514805793762207","4.514805793762207"
"47","4.505983352661133","4.505983352661133","4.505983352661133"
"49","4.502810001373291","4.502810001373291","4.502810001373291"
"51","4.508467674255371","4.508467674255371","4.508467674255371"
"52","4.4814863204956055","4.4814863204956055","4.4814863204956055"
"54","4.472012996673584","4.472012996673584","4.472012996673584"
"57","4.518474102020264","4.518474102020264","4.518474102020264"
"58","4.532479286193848","4.532479286193848","4.532479286193848"
"59","4.507853984832764","4.507853984832764","4.507853984832764"
"60","4.559425354003906","4.559425354003906","4.559425354003906"
"62","4.581691741943359","4.581691741943359","4.581691741943359"
"63","4.616398811340332","4.616398811340332","4.616398811340332"
"64","4.50828218460083","4.50828218460083","4.50828218460083"
"65","4.525740623474121","4.525740623474121","4.525740623474121"
"66","4.572871208190918","4.572871208190918","4.572871208190918"
"68","4.591464042663574","4.591464042663574","4.591464042663574"
"72","4.666436672210693","4.666436672210693","4.666436672210693"
"73","4.563983917236328","4.563983917236328","4.563983917236328"
"74","4.675029754638672","4.675029754638672","4.675029754638672"
"77","4.626180648803711","4.626180648803711","4.626180648803711"
"83","4.624188423156738","4.624188423156738","4.624188423156738"
"84","4.625481605529785","4.625481605529785","4.625481605529785"
"85","4.657882213592529","4.657882213592529","4.657882213592529"
"86","4.673110485076904","4.673110485076904","4.673110485076904"
"87","4.596726417541504","4.596726417541504","4.596726417541504"
"88","4.604714393615723","4.604714393615723","4.604714393615723"
"89","4.645732879638672","4.645732879638672","4.645732879638672"
"91","4.622788906097412","4.622788906097412","4.622788906097412"
"92","4.5882110595703125","4.5882110595703125","4.5882110595703125"
"94","4.628657817840576","4.628657817840576","4.628657817840576"
"98","4.621898651123047","4.621898651123047","4.621898651123047"
"101","4.582301616668701","4.582301616668701","4.582301616668701"
"102","4.545080661773682","4.545080661773682","4.545080661773682"
"104","4.59849214553833","4.59849214553833","4.59849214553833"
"105","4.627931594848633","4.627931594848633","4.627931594848633"
"107","4.625814437866211","4.625814437866211","4.625814437866211"
"108","4.567730903625488","4.567730903625488","4.567730903625488"
"109","4.579490661621094","4.579490661621094","4.579490661621094"
"111","4.590880870819092","4.590880870819092","4.590880870819092"
"113","4.58286190032959","4.58286190032959","4.58286190032959"
"114","4.570710182189941","4.570710182189941","4.570710182189941"
"115","4.57131814956665","4.57131814956665","4.57131814956665"
"116","4.545993328094482","4.545993328094482","4.545993328094482"
"117","4.544774055480957","4.544774055480957","4.544774055480957"
"118","4.5930938720703125","4.5930938720703125","4.5930938720703125"
"120","4.581061363220215","4.581061363220215","4.581061363220215"
"121","4.5222554206848145","4.5222554206848145","4.5222554206848145"
"124","4.549712657928467","4.549712657928467","4.549712657928467"
"125","4.508040904998779","4.508040904998779","4.508040904998779"
"126","4.540553092956543","4.540553092956543","4.540553092956543"
"128","4.527929306030273","4.527929306030273","4.527929306030273"
"129","4.522675037384033","4.522675037384033","4.522675037384033"
"130","4.537755012512207","4.537755012512207","4.537755012512207"
"131","4.556840419769287","4.556840419769287","4.556840419769287"
"132","4.518086910247803","4.518086910247803","4.518086910247803"
"133","4.54906702041626","4.54906702041626","4.54906702041626"
"134","4.515735626220703","4.515735626220703","4.515735626220703"
"135","4.48707914352417","4.48707914352417","4.48707914352417"
"136","4.548746109008789","4.548746109008789","4.548746109008789"
"137","4.51231575012207","4.51231575012207","4.51231575012207"
"138","4.520197868347168","4.520197868347168","4.520197868347168"
"140","4.4749908447265625","4.4749908447265625","4.4749908447265625"
"141","4.519535064697266","4.519535064697266","4.519535064697266"
