"Step","4Ball4BlockIDP1 - Loss/value_function","4Ball4BlockIDP1 - Loss/value_function__MIN","4Ball4BlockIDP1 - Loss/value_function__MAX"
"1","0.07587465159595012","0.07587465159595012","0.07587465159595012"
"2","0.039036220964044334","0.039036220964044334","0.039036220964044334"
"7","0.20801198557019235","0.20801198557019235","0.20801198557019235"
"10","0.43621800988912585","0.43621800988912585","0.43621800988912585"
"11","0.5288645088672638","0.5288645088672638","0.5288645088672638"
"12","0.5742418527603149","0.5742418527603149","0.5742418527603149"
"13","0.6669323295354843","0.6669323295354843","0.6669323295354843"
"14","0.7323864221572876","0.7323864221572876","0.7323864221572876"
"15","0.7169323772192001","0.7169323772192001","0.7169323772192001"
"16","0.6526467472314834","0.6526467472314834","0.6526467472314834"
"18","0.6100409746170044","0.6100409746170044","0.6100409746170044"
"21","0.5044117540121078","0.5044117540121078","0.5044117540121078"
"22","0.4881062418222427","0.4881062418222427","0.4881062418222427"
"23","0.4590280130505562","0.4590280130505562","0.4590280130505562"
"24","0.42569574266672133","0.42569574266672133","0.42569574266672133"
"25","0.32401265650987626","0.32401265650987626","0.32401265650987626"
"27","0.3445126831531525","0.3445126831531525","0.3445126831531525"
"28","0.37909866124391556","0.37909866124391556","0.37909866124391556"
"29","0.36957519203424455","0.36957519203424455","0.36957519203424455"
"30","0.2755193628370762","0.2755193628370762","0.2755193628370762"
"31","0.2059593688696623","0.2059593688696623","0.2059593688696623"
"33","0.15908865109086037","0.15908865109086037","0.15908865109086037"
"34","0.1495643351227045","0.1495643351227045","0.1495643351227045"
"35","0.146323049813509","0.146323049813509","0.146323049813509"
"36","0.12328544333577156","0.12328544333577156","0.12328544333577156"
"37","0.13854992985725403","0.13854992985725403","0.13854992985725403"
"39","0.08779557421803474","0.08779557421803474","0.08779557421803474"
"41","0.08792712390422822","0.08792712390422822","0.08792712390422822"
"43","0.10481873191893101","0.10481873191893101","0.10481873191893101"
"44","0.11014643609523773","0.11014643609523773","0.11014643609523773"
"47","0.10751694925129414","0.10751694925129414","0.10751694925129414"
"48","0.12212866172194481","0.12212866172194481","0.12212866172194481"
"49","0.09904312714934349","0.09904312714934349","0.09904312714934349"
"50","0.2951831065118313","0.2951831065118313","0.2951831065118313"
"52","0.06481863465160131","0.06481863465160131","0.06481863465160131"
"53","0.06969674117863178","0.06969674117863178","0.06969674117863178"
"54","0.08773479834198952","0.08773479834198952","0.08773479834198952"
"56","0.26856284141540526","0.26856284141540526","0.26856284141540526"
"57","0.06586293876171112","0.06586293876171112","0.06586293876171112"
"58","0.07901496812701225","0.07901496812701225","0.07901496812701225"
"61","0.11669613681733608","0.11669613681733608","0.11669613681733608"
"62","0.10885948985815048","0.10885948985815048","0.10885948985815048"
"63","0.10915260128676892","0.10915260128676892","0.10915260128676892"
"64","0.1311850842088461","0.1311850842088461","0.1311850842088461"
"65","0.12086065374314785","0.12086065374314785","0.12086065374314785"
"67","0.11713404394686222","0.11713404394686222","0.11713404394686222"
"68","0.16422691345214843","0.16422691345214843","0.16422691345214843"
"70","0.20067515596747398","0.20067515596747398","0.20067515596747398"
"71","0.18938966020941733","0.18938966020941733","0.18938966020941733"
"72","0.19466327503323555","0.19466327503323555","0.19466327503323555"
"73","0.17693232670426368","0.17693232670426368","0.17693232670426368"
"75","0.18988339751958846","0.18988339751958846","0.18988339751958846"
"77","0.2125694952905178","0.2125694952905178","0.2125694952905178"
"78","0.24346388950943948","0.24346388950943948","0.24346388950943948"
"79","0.219158323854208","0.219158323854208","0.219158323854208"
"81","0.24820138216018678","0.24820138216018678","0.24820138216018678"
"84","0.14645168110728263","0.14645168110728263","0.14645168110728263"
"88","0.14748585522174834","0.14748585522174834","0.14748585522174834"
"90","0.1497684046626091","0.1497684046626091","0.1497684046626091"
"92","0.12869646437466145","0.12869646437466145","0.12869646437466145"
"93","0.13358052223920822","0.13358052223920822","0.13358052223920822"
"94","0.13019393384456635","0.13019393384456635","0.13019393384456635"
"96","0.1456616673618555","0.1456616673618555","0.1456616673618555"
"97","0.12435445599257947","0.12435445599257947","0.12435445599257947"
"101","0.10232878588140011","0.10232878588140011","0.10232878588140011"
"102","0.10571990087628365","0.10571990087628365","0.10571990087628365"
"104","0.11226658411324024","0.11226658411324024","0.11226658411324024"
"105","0.11105172820389271","0.11105172820389271","0.11105172820389271"
