"Step","4Ball4BlockIDP2 - Loss/value_function","4Ball4BlockIDP2 - Loss/value_function__MIN","4Ball4BlockIDP2 - Loss/value_function__MAX"
"15200","2.4709836184978484","2.4709836184978484","2.4709836184978484"
"15201","0.48861915320158006","0.48861915320158006","0.48861915320158006"
"15202","0.20083909183740617","0.20083909183740617","0.20083909183740617"
"15203","0.17128358259797097","0.17128358259797097","0.17128358259797097"
"15204","0.22282952591776847","0.22282952591776847","0.22282952591776847"
"15205","0.3499456375837326","0.3499456375837326","0.3499456375837326"
"15206","0.5770128399133683","0.5770128399133683","0.5770128399133683"
"15207","0.7014833927154541","0.7014833927154541","0.7014833927154541"
"15208","0.41756821274757383","0.41756821274757383","0.41756821274757383"
"15209","0.5664402112364769","0.5664402112364769","0.5664402112364769"
"15210","1.3634615957736969","1.3634615957736969","1.3634615957736969"
"15211","0.2569692388176918","0.2569692388176918","0.2569692388176918"
"15212","0.373708413541317","0.373708413541317","0.373708413541317"
"15213","0.2102342963218689","0.2102342963218689","0.2102342963218689"
"15214","0.24910607933998108","0.24910607933998108","0.24910607933998108"
"15215","0.2500990882515907","0.2500990882515907","0.2500990882515907"
"15216","0.20087996125221252","0.20087996125221252","0.20087996125221252"
"15217","0.19819615483283998","0.19819615483283998","0.19819615483283998"
"15218","0.40813126266002653","0.40813126266002653","0.40813126266002653"
"15219","0.1586229644715786","0.1586229644715786","0.1586229644715786"
"15220","0.28441432416439055","0.28441432416439055","0.28441432416439055"
"15221","0.22518797516822814","0.22518797516822814","0.22518797516822814"
"15222","0.19274167567491532","0.19274167567491532","0.19274167567491532"
"15223","0.34296235293149946","0.34296235293149946","0.34296235293149946"
"15224","0.27652061730623245","0.27652061730623245","0.27652061730623245"
"15225","0.23988569304347038","0.23988569304347038","0.23988569304347038"
"15226","0.31491519808769225","0.31491519808769225","0.31491519808769225"
"15227","0.2382383316755295","0.2382383316755295","0.2382383316755295"
"15228","0.2890683591365814","0.2890683591365814","0.2890683591365814"
"15229","0.19051843807101249","0.19051843807101249","0.19051843807101249"
"15230","0.2309064246714115","0.2309064246714115","0.2309064246714115"
"15231","0.1685800299048424","0.1685800299048424","0.1685800299048424"
"15232","0.18852541595697403","0.18852541595697403","0.18852541595697403"
"15233","0.8150902390480042","0.8150902390480042","0.8150902390480042"
"15234","0.3242815896868706","0.3242815896868706","0.3242815896868706"
"15235","0.32998729795217513","0.32998729795217513","0.32998729795217513"
"15236","0.2520106226205826","0.2520106226205826","0.2520106226205826"
"15237","0.20798527151346208","0.20798527151346208","0.20798527151346208"
"15238","0.22337215542793273","0.22337215542793273","0.22337215542793273"
"15239","0.21582149639725684","0.21582149639725684","0.21582149639725684"
"15240","0.2064046837389469","0.2064046837389469","0.2064046837389469"
"15241","0.24536624699831008","0.24536624699831008","0.24536624699831008"
"15242","0.28388880342245104","0.28388880342245104","0.28388880342245104"
"15243","0.22996096462011337","0.22996096462011337","0.22996096462011337"
"15244","0.2378260537981987","0.2378260537981987","0.2378260537981987"
"15245","0.29349494725465775","0.29349494725465775","0.29349494725465775"
"15246","0.31205228716135025","0.31205228716135025","0.31205228716135025"
"15247","0.21297382339835166","0.21297382339835166","0.21297382339835166"
"15248","0.26812927797436714","0.26812927797436714","0.26812927797436714"
"15249","0.2901563704013824","0.2901563704013824","0.2901563704013824"
"15250","0.28928508460521696","0.28928508460521696","0.28928508460521696"
"15251","0.25467642918229105","0.25467642918229105","0.25467642918229105"
"15252","0.2267748609185219","0.2267748609185219","0.2267748609185219"
"15253","0.30124497711658477","0.30124497711658477","0.30124497711658477"
"15254","0.2573820546269417","0.2573820546269417","0.2573820546269417"
"15255","0.32695257365703584","0.32695257365703584","0.32695257365703584"
"15256","0.2727369397878647","0.2727369397878647","0.2727369397878647"
"15257","0.26131570264697074","0.26131570264697074","0.26131570264697074"
