"Step","Historylen4 - Episode_Termination/base_contact","Historylen4 - Episode_Termination/base_contact__MIN","Historylen4 - Episode_Termination/base_contact__MAX"
"2","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"5","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"6","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"9","0","0","0"
"10","0.125","0.125","0.125"
"11","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"13","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"15","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"17","0.4583333432674408","0.4583333432674408","0.4583333432674408"
"19","1.625","1.625","1.625"
"20","1.8333333730697632","1.8333333730697632","1.8333333730697632"
"22","2.9583334922790527","2.9583334922790527","2.9583334922790527"
"23","2.7916667461395264","2.7916667461395264","2.7916667461395264"
"24","3.7916667461395264","3.7916667461395264","3.7916667461395264"
"26","4.333333492279053","4.333333492279053","4.333333492279053"
"27","4.5416669845581055","4.5416669845581055","4.5416669845581055"
"28","5.583333492279053","5.583333492279053","5.583333492279053"
"29","5.625","5.625","5.625"
"30","6.708333492279053","6.708333492279053","6.708333492279053"
"33","6.7916669845581055","6.7916669845581055","6.7916669845581055"
"39","4.7916669845581055","4.7916669845581055","4.7916669845581055"
"43","2.5416667461395264","2.5416667461395264","2.5416667461395264"
"44","2.375","2.375","2.375"
"45","2.0833334922790527","2.0833334922790527","2.0833334922790527"
"46","1.4583333730697632","1.4583333730697632","1.4583333730697632"
"47","1.125","1.125","1.125"
"49","1.2916667461395264","1.2916667461395264","1.2916667461395264"
"52","1.4166667461395264","1.4166667461395264","1.4166667461395264"
"54","2","2","2"
"57","1.375","1.375","1.375"
"58","0.9583333730697632","0.9583333730697632","0.9583333730697632"
"63","0.75","0.75","0.75"
"68","0.5833333730697632","0.5833333730697632","0.5833333730697632"
"69","0.8333333730697632","0.8333333730697632","0.8333333730697632"
"73","0.4166666865348816","0.4166666865348816","0.4166666865348816"
"74","0.5833333730697632","0.5833333730697632","0.5833333730697632"
"77","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"81","0.25","0.25","0.25"
"82","0.4583333432674408","0.4583333432674408","0.4583333432674408"
"83","0.4583333432674408","0.4583333432674408","0.4583333432674408"
"85","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"87","0.4166666865348816","0.4166666865348816","0.4166666865348816"
"90","0.125","0.125","0.125"
"92","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"96","0.5416666865348816","0.5416666865348816","0.5416666865348816"
"97","0.5416666865348816","0.5416666865348816","0.5416666865348816"
"98","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"101","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"103","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"106","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"108","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"111","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"112","0.25","0.25","0.25"
"113","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"117","0.5","0.5","0.5"
"119","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"120","0.4583333432674408","0.4583333432674408","0.4583333432674408"
"121","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"122","0.4166666865348816","0.4166666865348816","0.4166666865348816"
"125","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"126","0.25","0.25","0.25"
"127","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"132","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"135","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"137","0.125","0.125","0.125"
"142","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"143","0","0","0"
"151","0","0","0"
"153","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"154","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"155","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"158","0.125","0.125","0.125"
"163","0.25","0.25","0.25"
"168","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"169","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"172","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"173","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"174","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"176","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"178","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"182","0.375","0.375","0.375"
"183","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"185","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"186","0.25","0.25","0.25"
"187","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"188","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"191","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"193","0","0","0"
"194","0","0","0"
"195","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"198","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"205","0.125","0.125","0.125"
"206","0.125","0.125","0.125"
"207","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"208","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"209","0.25","0.25","0.25"
"210","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"213","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"214","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"215","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"224","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"225","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"226","0.25","0.25","0.25"
"227","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"229","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"231","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"232","0.125","0.125","0.125"
"233","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"235","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"237","0.125","0.125","0.125"
"238","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"240","0.125","0.125","0.125"
"242","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"243","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"244","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"245","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"246","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"250","0.375","0.375","0.375"
"251","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"252","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"256","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"258","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"261","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"263","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"270","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"271","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"272","0.125","0.125","0.125"
"273","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"275","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"276","0.25","0.25","0.25"
"279","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"281","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"282","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"284","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"287","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"290","0.125","0.125","0.125"
"295","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"297","0.25","0.25","0.25"
"299","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"300","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"303","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"304","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"305","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"306","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"307","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"308","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"310","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"311","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"314","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"317","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"318","0.125","0.125","0.125"
"319","0.125","0.125","0.125"
"320","0.25","0.25","0.25"
"321","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"325","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"326","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"327","0.125","0.125","0.125"
"329","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"331","0.4166666865348816","0.4166666865348816","0.4166666865348816"
"333","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"334","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"335","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"336","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"338","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"339","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"341","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"344","0.25","0.25","0.25"
"348","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"349","0.25","0.25","0.25"
"350","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"353","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"354","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"356","0.25","0.25","0.25"
"360","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"362","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"363","0.25","0.25","0.25"
"365","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"366","0.4166666865348816","0.4166666865348816","0.4166666865348816"
"368","0.25","0.25","0.25"
"371","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"375","0.5","0.5","0.5"
"376","0.5416666865348816","0.5416666865348816","0.5416666865348816"
"381","0.125","0.125","0.125"
"382","0.125","0.125","0.125"
"383","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"384","0.125","0.125","0.125"
"385","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"390","0.25","0.25","0.25"
"392","0.125","0.125","0.125"
"393","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"394","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"396","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"398","0.125","0.125","0.125"
"400","0.125","0.125","0.125"
"401","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"402","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"403","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"404","0.125","0.125","0.125"
"406","0.25","0.25","0.25"
"407","0.375","0.375","0.375"
"408","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"409","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"411","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"412","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"414","0.25","0.25","0.25"
"415","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"418","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"419","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"420","0.375","0.375","0.375"
"421","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"425","0.25","0.25","0.25"
"427","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"428","0.125","0.125","0.125"
