"Step","Historylen4 - Metrics/targetPosition/error_pos_2d","Historylen4 - Metrics/targetPosition/error_pos_2d__MIN","Historylen4 - Metrics/targetPosition/error_pos_2d__MAX"
"1","4.313814163208008","4.313814163208008","4.313814163208008"
"2","4.312871932983398","4.312871932983398","4.312871932983398"
"3","4.207660675048828","4.207660675048828","4.207660675048828"
"5","4.413876056671143","4.413876056671143","4.413876056671143"
"7","4.490938186645508","4.490938186645508","4.490938186645508"
"10","4.537347793579102","4.537347793579102","4.537347793579102"
"14","4.374296188354492","4.374296188354492","4.374296188354492"
"15","4.381585121154785","4.381585121154785","4.381585121154785"
"16","4.401419639587402","4.401419639587402","4.401419639587402"
"17","4.556509971618652","4.556509971618652","4.556509971618652"
"21","4.4805402755737305","4.4805402755737305","4.4805402755737305"
"22","4.595820903778076","4.595820903778076","4.595820903778076"
"23","4.648630142211914","4.648630142211914","4.648630142211914"
"24","4.6758928298950195","4.6758928298950195","4.6758928298950195"
"26","4.617049217224121","4.617049217224121","4.617049217224121"
"28","4.6241254806518555","4.6241254806518555","4.6241254806518555"
"33","4.5890350341796875","4.5890350341796875","4.5890350341796875"
"35","4.574692726135254","4.574692726135254","4.574692726135254"
"36","4.4656596183776855","4.4656596183776855","4.4656596183776855"
"39","4.443426132202148","4.443426132202148","4.443426132202148"
"43","4.297698497772217","4.297698497772217","4.297698497772217"
"52","4.5723676681518555","4.5723676681518555","4.5723676681518555"
"54","4.550832271575928","4.550832271575928","4.550832271575928"
"57","4.621496200561523","4.621496200561523","4.621496200561523"
"58","4.475592613220215","4.475592613220215","4.475592613220215"
"61","4.502459526062012","4.502459526062012","4.502459526062012"
"62","4.550921440124512","4.550921440124512","4.550921440124512"
"65","4.5388288497924805","4.5388288497924805","4.5388288497924805"
"68","4.666049957275391","4.666049957275391","4.666049957275391"
"70","4.5379838943481445","4.5379838943481445","4.5379838943481445"
"72","4.662209510803223","4.662209510803223","4.662209510803223"
"76","4.671272277832031","4.671272277832031","4.671272277832031"
"79","4.606721878051758","4.606721878051758","4.606721878051758"
"81","4.485008716583252","4.485008716583252","4.485008716583252"
"82","4.615651607513428","4.615651607513428","4.615651607513428"
"85","4.674909591674805","4.674909591674805","4.674909591674805"
"88","4.720940113067627","4.720940113067627","4.720940113067627"
"90","4.58447265625","4.58447265625","4.58447265625"
"92","4.524060249328613","4.524060249328613","4.524060249328613"
"95","4.55099630355835","4.55099630355835","4.55099630355835"
"100","4.716892242431641","4.716892242431641","4.716892242431641"
"103","4.697362422943115","4.697362422943115","4.697362422943115"
"104","4.624930381774902","4.624930381774902","4.624930381774902"
"106","4.516592979431152","4.516592979431152","4.516592979431152"
"107","4.582087516784668","4.582087516784668","4.582087516784668"
"108","4.575351715087891","4.575351715087891","4.575351715087891"
"110","4.47089958190918","4.47089958190918","4.47089958190918"
"111","4.4983649253845215","4.4983649253845215","4.4983649253845215"
"113","4.456822872161865","4.456822872161865","4.456822872161865"
"117","4.579078674316406","4.579078674316406","4.579078674316406"
"121","4.523863792419434","4.523863792419434","4.523863792419434"
"122","4.424081802368164","4.424081802368164","4.424081802368164"
"127","4.266542434692383","4.266542434692383","4.266542434692383"
"129","4.568418025970459","4.568418025970459","4.568418025970459"
"130","4.546649932861328","4.546649932861328","4.546649932861328"
"131","4.626267433166504","4.626267433166504","4.626267433166504"
"132","4.485595703125","4.485595703125","4.485595703125"
"133","4.480833053588867","4.480833053588867","4.480833053588867"
"143","4.304512977600098","4.304512977600098","4.304512977600098"
"144","4.545291423797607","4.545291423797607","4.545291423797607"
"148","4.563241004943848","4.563241004943848","4.563241004943848"
"151","4.338955879211426","4.338955879211426","4.338955879211426"
"155","4.375736713409424","4.375736713409424","4.375736713409424"
"156","4.389387130737305","4.389387130737305","4.389387130737305"
"158","4.446656227111816","4.446656227111816","4.446656227111816"
"160","4.463794231414795","4.463794231414795","4.463794231414795"
"161","4.607940673828125","4.607940673828125","4.607940673828125"
"168","4.418665409088135","4.418665409088135","4.418665409088135"
"169","4.507676124572754","4.507676124572754","4.507676124572754"
"170","4.561442852020264","4.561442852020264","4.561442852020264"
"171","4.703123092651367","4.703123092651367","4.703123092651367"
"172","4.52242374420166","4.52242374420166","4.52242374420166"
"177","4.6366777420043945","4.6366777420043945","4.6366777420043945"
"179","4.561387538909912","4.561387538909912","4.561387538909912"
"183","4.753626823425293","4.753626823425293","4.753626823425293"
"185","4.711048126220703","4.711048126220703","4.711048126220703"
"187","4.683382034301758","4.683382034301758","4.683382034301758"
"188","4.513126850128174","4.513126850128174","4.513126850128174"
"190","4.5520734786987305","4.5520734786987305","4.5520734786987305"
"191","4.630260467529297","4.630260467529297","4.630260467529297"
"194","4.659852027893066","4.659852027893066","4.659852027893066"
"197","4.610696792602539","4.610696792602539","4.610696792602539"
"198","4.608010768890381","4.608010768890381","4.608010768890381"
"201","4.489807605743408","4.489807605743408","4.489807605743408"
"202","4.423952102661133","4.423952102661133","4.423952102661133"
"204","4.341461181640625","4.341461181640625","4.341461181640625"
"207","4.552023887634277","4.552023887634277","4.552023887634277"
"208","4.511096000671387","4.511096000671387","4.511096000671387"
"209","4.523336410522461","4.523336410522461","4.523336410522461"
"210","4.372427940368652","4.372427940368652","4.372427940368652"
"212","4.222622871398926","4.222622871398926","4.222622871398926"
"214","4.48491096496582","4.48491096496582","4.48491096496582"
"215","4.395493984222412","4.395493984222412","4.395493984222412"
"216","4.542449951171875","4.542449951171875","4.542449951171875"
"218","4.42025089263916","4.42025089263916","4.42025089263916"
"220","4.44973087310791","4.44973087310791","4.44973087310791"
"221","4.355198860168457","4.355198860168457","4.355198860168457"
"222","4.176408290863037","4.176408290863037","4.176408290863037"
"223","4.510144233703613","4.510144233703613","4.510144233703613"
"224","4.304429531097412","4.304429531097412","4.304429531097412"
