"Step","Historylen4 - Episode_Reward/bot_2_payload","Historylen4 - Episode_Reward/bot_2_payload__MIN","Historylen4 - Episode_Reward/bot_2_payload__MAX"
"1","0.023014483973383904","0.023014483973383904","0.023014483973383904"
"4","0.08350116014480591","0.08350116014480591","0.08350116014480591"
"5","0.10743163526058197","0.10743163526058197","0.10743163526058197"
"10","0.21412184834480286","0.21412184834480286","0.21412184834480286"
"14","0.35570022463798523","0.35570022463798523","0.35570022463798523"
"15","0.3683773875236511","0.3683773875236511","0.3683773875236511"
"19","0.4013475775718689","0.4013475775718689","0.4013475775718689"
"21","0.44083529710769653","0.44083529710769653","0.44083529710769653"
"23","0.46299201250076294","0.46299201250076294","0.46299201250076294"
"24","0.4749569892883301","0.4749569892883301","0.4749569892883301"
"26","0.509297251701355","0.509297251701355","0.509297251701355"
"31","0.5112331509590149","0.5112331509590149","0.5112331509590149"
"32","0.6048600673675537","0.6048600673675537","0.6048600673675537"
"34","0.7107836604118347","0.7107836604118347","0.7107836604118347"
"36","0.6849042773246765","0.6849042773246765","0.6849042773246765"
"38","0.7856148481369019","0.7856148481369019","0.7856148481369019"
"40","0.8527411222457886","0.8527411222457886","0.8527411222457886"
"41","0.8057689666748047","0.8057689666748047","0.8057689666748047"
"43","1.0024464130401611","1.0024464130401611","1.0024464130401611"
"44","1.1548006534576416","1.1548006534576416","1.1548006534576416"
"50","1.364406943321228","1.364406943321228","1.364406943321228"
"52","1.3749876022338867","1.3749876022338867","1.3749876022338867"
"53","1.573543906211853","1.573543906211853","1.573543906211853"
"55","1.5734694004058838","1.5734694004058838","1.5734694004058838"
"56","1.3914549350738525","1.3914549350738525","1.3914549350738525"
"60","1.8272974491119385","1.8272974491119385","1.8272974491119385"
"62","2.195770740509033","2.195770740509033","2.195770740509033"
"65","2.2513599395751953","2.2513599395751953","2.2513599395751953"
"68","2.367877721786499","2.367877721786499","2.367877721786499"
"69","2.37372088432312","2.37372088432312","2.37372088432312"
"71","2.420696258544922","2.420696258544922","2.420696258544922"
"72","2.522099018096924","2.522099018096924","2.522099018096924"
