"Step","1Ball1BlockID - Loss/value_function","1Ball1BlockID - Loss/value_function__MIN","1Ball1BlockID - Loss/value_function__MAX"
"2","0.030788267590105535","0.030788267590105535","0.030788267590105535"
"5","0.036985403299331664","0.036985403299331664","0.036985403299331664"
"6","0.0466489827260375","0.0466489827260375","0.0466489827260375"
"7","0.061914478242397306","0.061914478242397306","0.061914478242397306"
"8","0.08089946955442429","0.08089946955442429","0.08089946955442429"
"10","0.13428738974034787","0.13428738974034787","0.13428738974034787"
"11","0.16557290256023408","0.16557290256023408","0.16557290256023408"
"12","0.20346825793385506","0.20346825793385506","0.20346825793385506"
"14","0.2759870320558548","0.2759870320558548","0.2759870320558548"
"16","0.25073587745428083","0.25073587745428083","0.25073587745428083"
"17","0.262632017582655","0.262632017582655","0.262632017582655"
"20","0.33390879034996035","0.33390879034996035","0.33390879034996035"
"24","0.45777698904275893","0.45777698904275893","0.45777698904275893"
"25","0.2678975313901901","0.2678975313901901","0.2678975313901901"
"27","0.18516947738826275","0.18516947738826275","0.18516947738826275"
"28","0.2001178078353405","0.2001178078353405","0.2001178078353405"
"30","0.2269609034061432","0.2269609034061432","0.2269609034061432"
"33","0.409333186596632","0.409333186596632","0.409333186596632"
"34","0.0493548097088933","0.0493548097088933","0.0493548097088933"
"36","0.05852707475423813","0.05852707475423813","0.05852707475423813"
"38","0.0645502757281065","0.0645502757281065","0.0645502757281065"
"41","0.06431367434561253","0.06431367434561253","0.06431367434561253"
"43","0.04951351620256901","0.04951351620256901","0.04951351620256901"
"47","0.0373738382011652","0.0373738382011652","0.0373738382011652"
"48","0.03891098983585835","0.03891098983585835","0.03891098983585835"
"49","0.057096379809081554","0.057096379809081554","0.057096379809081554"
"50","0.06502487603574991","0.06502487603574991","0.06502487603574991"
"53","0.02753965985029936","0.02753965985029936","0.02753965985029936"
"54","0.03629078427329659","0.03629078427329659","0.03629078427329659"
"57","0.03345770034939051","0.03345770034939051","0.03345770034939051"
"63","0.03995415773242712","0.03995415773242712","0.03995415773242712"
"68","0.061982281133532525","0.061982281133532525","0.061982281133532525"
"73","0.07162264790385961","0.07162264790385961","0.07162264790385961"
"74","0.06767071262001992","0.06767071262001992","0.06767071262001992"
"79","0.06995848640799522","0.06995848640799522","0.06995848640799522"
"84","0.10737708993256093","0.10737708993256093","0.10737708993256093"
