"Step","1Ball1BlockID - Metrics/targetPosition/error_pos_2d","1Ball1BlockID - Metrics/targetPosition/error_pos_2d__MIN","1Ball1BlockID - Metrics/targetPosition/error_pos_2d__MAX"
"1","4.302754878997803","4.302754878997803","4.302754878997803"
"2","4.312315464019775","4.312315464019775","4.312315464019775"
"3","4.228392601013184","4.228392601013184","4.228392601013184"
"5","4.450203895568848","4.450203895568848","4.450203895568848"
"6","4.291773796081543","4.291773796081543","4.291773796081543"
"11","4.409152030944824","4.409152030944824","4.409152030944824"
"12","4.354262351989746","4.354262351989746","4.354262351989746"
"14","4.335677623748779","4.335677623748779","4.335677623748779"
"15","4.557485580444336","4.557485580444336","4.557485580444336"
"16","4.544775009155273","4.544775009155273","4.544775009155273"
"17","4.582078456878662","4.582078456878662","4.582078456878662"
"20","4.502685546875","4.502685546875","4.502685546875"
"21","4.512022018432617","4.512022018432617","4.512022018432617"
"22","4.472846984863281","4.472846984863281","4.472846984863281"
"23","4.4756646156311035","4.4756646156311035","4.4756646156311035"
"30","4.48124885559082","4.48124885559082","4.48124885559082"
"31","4.499560832977295","4.499560832977295","4.499560832977295"
"33","4.445830345153809","4.445830345153809","4.445830345153809"
"34","4.412335395812988","4.412335395812988","4.412335395812988"
"35","4.457607269287109","4.457607269287109","4.457607269287109"
"39","4.5828399658203125","4.5828399658203125","4.5828399658203125"
"40","4.512347221374512","4.512347221374512","4.512347221374512"
"42","4.597619533538818","4.597619533538818","4.597619533538818"
"43","4.583916664123535","4.583916664123535","4.583916664123535"
"46","4.559880256652832","4.559880256652832","4.559880256652832"
"48","4.600857734680176","4.600857734680176","4.600857734680176"
"49","4.629571914672852","4.629571914672852","4.629571914672852"
"50","4.618548393249512","4.618548393249512","4.618548393249512"
"51","4.728529930114746","4.728529930114746","4.728529930114746"
"53","4.717493057250977","4.717493057250977","4.717493057250977"
"61","4.648799419403076","4.648799419403076","4.648799419403076"
"62","4.658908367156982","4.658908367156982","4.658908367156982"
"63","4.636897087097168","4.636897087097168","4.636897087097168"
"66","4.48129415512085","4.48129415512085","4.48129415512085"
"67","4.535985946655273","4.535985946655273","4.535985946655273"
"68","4.581823348999023","4.581823348999023","4.581823348999023"
"71","4.49418306350708","4.49418306350708","4.49418306350708"
"73","4.514821529388428","4.514821529388428","4.514821529388428"
"74","4.454423904418945","4.454423904418945","4.454423904418945"
"76","4.49151611328125","4.49151611328125","4.49151611328125"
"77","4.428158760070801","4.428158760070801","4.428158760070801"
"78","4.539616107940674","4.539616107940674","4.539616107940674"
"79","4.49554967880249","4.49554967880249","4.49554967880249"
"80","4.531443119049072","4.531443119049072","4.531443119049072"
"83","4.581454277038574","4.581454277038574","4.581454277038574"
"84","4.603362083435059","4.603362083435059","4.603362083435059"
"85","4.5169196128845215","4.5169196128845215","4.5169196128845215"
"86","4.597891807556152","4.597891807556152","4.597891807556152"
"87","4.55019998550415","4.55019998550415","4.55019998550415"
"88","4.709743499755859","4.709743499755859","4.709743499755859"
"89","4.8204827308654785","4.8204827308654785","4.8204827308654785"
"91","4.709198951721191","4.709198951721191","4.709198951721191"
"93","4.737130165100098","4.737130165100098","4.737130165100098"
"96","4.828490734100342","4.828490734100342","4.828490734100342"
"97","4.737087249755859","4.737087249755859","4.737087249755859"
"99","4.855108261108398","4.855108261108398","4.855108261108398"
"100","4.83968448638916","4.83968448638916","4.83968448638916"
