"Step","1Ball1BlockID - Episode_Termination/base_contact","1Ball1BlockID - Episode_Termination/base_contact__MIN","1Ball1BlockID - Episode_Termination/base_contact__MAX"
"1","0.4583333432674408","0.4583333432674408","0.4583333432674408"
"3","0.375","0.375","0.375"
"4","0.4166666865348816","0.4166666865348816","0.4166666865348816"
"6","0.125","0.125","0.125"
"7","0","0","0"
"8","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"10","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"12","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"14","0.5","0.5","0.5"
"15","1","1","1"
"16","1.9166667461395264","1.9166667461395264","1.9166667461395264"
"19","5.7916669845581055","5.7916669845581055","5.7916669845581055"
"20","9.25","9.25","9.25"
"21","9.083333969116211","9.083333969116211","9.083333969116211"
"23","9.583333969116211","9.583333969116211","9.583333969116211"
"25","12.166666984558105","12.166666984558105","12.166666984558105"
"27","13.25","13.25","13.25"
"28","13","13","13"
"30","17.291667938232422","17.291667938232422","17.291667938232422"
"31","18.291667938232422","18.291667938232422","18.291667938232422"
"32","19.416667938232422","19.416667938232422","19.416667938232422"
"33","20","20","20"
"36","20.125","20.125","20.125"
"37","19.916667938232422","19.916667938232422","19.916667938232422"
"38","16.541667938232422","16.541667938232422","16.541667938232422"
"39","17.166667938232422","17.166667938232422","17.166667938232422"
"41","14.75","14.75","14.75"
"46","9.791666984558105","9.791666984558105","9.791666984558105"
"49","7.1666669845581055","7.1666669845581055","7.1666669845581055"
"54","5.875","5.875","5.875"
"55","7","7","7"
"57","6.208333492279053","6.208333492279053","6.208333492279053"
"60","6.6666669845581055","6.6666669845581055","6.6666669845581055"
"64","6.5416669845581055","6.5416669845581055","6.5416669845581055"
"66","6.458333492279053","6.458333492279053","6.458333492279053"
"67","7.625","7.625","7.625"
"68","7.125","7.125","7.125"
"69","7.375","7.375","7.375"
"70","7.2916669845581055","7.2916669845581055","7.2916669845581055"
"72","8","8","8"
"73","7.708333492279053","7.708333492279053","7.708333492279053"
"74","7.083333492279053","7.083333492279053","7.083333492279053"
"75","8.041666984558105","8.041666984558105","8.041666984558105"
"76","8.25","8.25","8.25"
"79","8.333333969116211","8.333333969116211","8.333333969116211"
"80","8.833333969116211","8.833333969116211","8.833333969116211"
"81","8.625","8.625","8.625"
