"Step","03Blind - Metrics/targetPosition/error_pos_2d","03Blind - Metrics/targetPosition/error_pos_2d__MIN","03Blind - Metrics/targetPosition/error_pos_2d__MAX"
"1","4.31520414352417","4.31520414352417","4.31520414352417"
"2","4.290886878967285","4.290886878967285","4.290886878967285"
"3","4.228338241577148","4.228338241577148","4.228338241577148"
"4","4.507256507873535","4.507256507873535","4.507256507873535"
"5","4.405052185058594","4.405052185058594","4.405052185058594"
"6","4.297234535217285","4.297234535217285","4.297234535217285"
"7","4.482940673828125","4.482940673828125","4.482940673828125"
"8","4.3383283615112305","4.3383283615112305","4.3383283615112305"
"9","4.441927909851074","4.441927909851074","4.441927909851074"
"10","4.539367198944092","4.539367198944092","4.539367198944092"
"11","4.425885200500488","4.425885200500488","4.425885200500488"
"12","4.3175249099731445","4.3175249099731445","4.3175249099731445"
"13","4.416043758392334","4.416043758392334","4.416043758392334"
"14","4.364703178405762","4.364703178405762","4.364703178405762"
"15","4.365917205810547","4.365917205810547","4.365917205810547"
"16","4.417172431945801","4.417172431945801","4.417172431945801"
"17","4.50153923034668","4.50153923034668","4.50153923034668"
"18","4.451520919799805","4.451520919799805","4.451520919799805"
"19","4.424201965332031","4.424201965332031","4.424201965332031"
"20","4.569808006286621","4.569808006286621","4.569808006286621"
"21","4.410848617553711","4.410848617553711","4.410848617553711"
"22","4.440768718719482","4.440768718719482","4.440768718719482"
"23","4.577000617980957","4.577000617980957","4.577000617980957"
"24","4.541707992553711","4.541707992553711","4.541707992553711"
"25","4.490492343902588","4.490492343902588","4.490492343902588"
"26","4.49182653427124","4.49182653427124","4.49182653427124"
"27","4.604391098022461","4.604391098022461","4.604391098022461"
"28","4.539942264556885","4.539942264556885","4.539942264556885"
"29","4.582393646240234","4.582393646240234","4.582393646240234"
"30","4.600461959838867","4.600461959838867","4.600461959838867"
"31","4.681560516357422","4.681560516357422","4.681560516357422"
"32","4.493162155151367","4.493162155151367","4.493162155151367"
"33","4.451949596405029","4.451949596405029","4.451949596405029"
"34","4.484377861022949","4.484377861022949","4.484377861022949"
"35","4.463441848754883","4.463441848754883","4.463441848754883"
"36","4.385189056396484","4.385189056396484","4.385189056396484"
"37","4.427513122558594","4.427513122558594","4.427513122558594"
"38","4.442135810852051","4.442135810852051","4.442135810852051"
"39","4.489326000213623","4.489326000213623","4.489326000213623"
"40","4.4767866134643555","4.4767866134643555","4.4767866134643555"
"41","4.505600452423096","4.505600452423096","4.505600452423096"
"42","4.440907001495361","4.440907001495361","4.440907001495361"
"43","4.4395246505737305","4.4395246505737305","4.4395246505737305"
"44","4.471734523773193","4.471734523773193","4.471734523773193"
"45","4.414456367492676","4.414456367492676","4.414456367492676"
"46","4.433759689331055","4.433759689331055","4.433759689331055"
"47","4.418745994567871","4.418745994567871","4.418745994567871"
"48","4.4813995361328125","4.4813995361328125","4.4813995361328125"
"49","4.446589946746826","4.446589946746826","4.446589946746826"
"50","4.461968421936035","4.461968421936035","4.461968421936035"
"51","4.4791259765625","4.4791259765625","4.4791259765625"
"52","4.482104301452637","4.482104301452637","4.482104301452637"
"53","4.467696666717529","4.467696666717529","4.467696666717529"
"54","4.447729110717773","4.447729110717773","4.447729110717773"
"55","4.472756385803223","4.472756385803223","4.472756385803223"
"56","4.516733169555664","4.516733169555664","4.516733169555664"
"57","4.429322719573975","4.429322719573975","4.429322719573975"
"58","4.456981658935547","4.456981658935547","4.456981658935547"
"59","4.535004138946533","4.535004138946533","4.535004138946533"
"60","4.51114559173584","4.51114559173584","4.51114559173584"
"61","4.445666790008545","4.445666790008545","4.445666790008545"
"62","4.509545803070068","4.509545803070068","4.509545803070068"
"63","4.504233360290527","4.504233360290527","4.504233360290527"
"64","4.356836795806885","4.356836795806885","4.356836795806885"
"65","4.393816947937012","4.393816947937012","4.393816947937012"
"66","4.480312347412109","4.480312347412109","4.480312347412109"
"67","4.478518009185791","4.478518009185791","4.478518009185791"
"68","4.388911247253418","4.388911247253418","4.388911247253418"
"69","4.508881568908691","4.508881568908691","4.508881568908691"
"70","4.453970432281494","4.453970432281494","4.453970432281494"
"71","4.491170406341553","4.491170406341553","4.491170406341553"
"72","4.573411464691162","4.573411464691162","4.573411464691162"
"73","4.499171257019043","4.499171257019043","4.499171257019043"
"74","4.513242244720459","4.513242244720459","4.513242244720459"
"75","4.500180244445801","4.500180244445801","4.500180244445801"
"76","4.460766792297363","4.460766792297363","4.460766792297363"
"77","4.460714340209961","4.460714340209961","4.460714340209961"
