"Step","03Blind - Episode_Reward/payload_2_target","03Blind - Episode_Reward/payload_2_target__MIN","03Blind - Episode_Reward/payload_2_target__MAX"
"1","0.000019311002688482404","0.000019311002688482404","0.000019311002688482404"
"2","0.00014737911988049746","0.00014737911988049746","0.00014737911988049746"
"3","0.00007592534529976547","0.00007592534529976547","0.00007592534529976547"
"4","0.00008855914347805083","0.00008855914347805083","0.00008855914347805083"
"5","0.00036854096106253564","0.00036854096106253564","0.00036854096106253564"
"6","-0.0009843865409493446","-0.0009843865409493446","-0.0009843865409493446"
"7","0.00044303745380602777","0.00044303745380602777","0.00044303745380602777"
"8","-0.0004352570977061987","-0.0004352570977061987","-0.0004352570977061987"
"9","0.00045123405288904905","0.00045123405288904905","0.00045123405288904905"
"10","0.00025949455448426306","0.00025949455448426306","0.00025949455448426306"
"11","-0.017280852422118187","-0.017280852422118187","-0.017280852422118187"
"12","-0.0002776089240796864","-0.0002776089240796864","-0.0002776089240796864"
"13","-0.002756507135927677","-0.002756507135927677","-0.002756507135927677"
"14","-0.0007103806710802019","-0.0007103806710802019","-0.0007103806710802019"
"15","-0.0010208932217210531","-0.0010208932217210531","-0.0010208932217210531"
"16","-0.0031083112116903067","-0.0031083112116903067","-0.0031083112116903067"
"17","-0.006479273550212383","-0.006479273550212383","-0.006479273550212383"
"18","-0.0003535999858286232","-0.0003535999858286232","-0.0003535999858286232"
"19","0.000023268552467925474","0.000023268552467925474","0.000023268552467925474"
"20","0.00039762372034601867","0.00039762372034601867","0.00039762372034601867"
"21","-0.006844379007816315","-0.006844379007816315","-0.006844379007816315"
"22","-0.003141900058835745","-0.003141900058835745","-0.003141900058835745"
"23","-0.0004831283586099744","-0.0004831283586099744","-0.0004831283586099744"
"24","-0.0018314446788281202","-0.0018314446788281202","-0.0018314446788281202"
"25","-0.0007481939974240959","-0.0007481939974240959","-0.0007481939974240959"
"26","-0.001910905702970922","-0.001910905702970922","-0.001910905702970922"
"27","-0.00151994195766747","-0.00151994195766747","-0.00151994195766747"
"28","0.0003107705560978502","0.0003107705560978502","0.0003107705560978502"
"29","-0.00013358809519559145","-0.00013358809519559145","-0.00013358809519559145"
"30","-0.0038064620457589626","-0.0038064620457589626","-0.0038064620457589626"
"31","-0.0009574097348377109","-0.0009574097348377109","-0.0009574097348377109"
"32","-0.0022669900208711624","-0.0022669900208711624","-0.0022669900208711624"
"33","-0.0026575676165521145","-0.0026575676165521145","-0.0026575676165521145"
"34","-0.002852757228538394","-0.002852757228538394","-0.002852757228538394"
"35","-0.004788370802998543","-0.004788370802998543","-0.004788370802998543"
"36","-0.003572758985683322","-0.003572758985683322","-0.003572758985683322"
"37","-0.003912771586328745","-0.003912771586328745","-0.003912771586328745"
"38","-0.0024741948582232","-0.0024741948582232","-0.0024741948582232"
"39","-0.005101707763969898","-0.005101707763969898","-0.005101707763969898"
"40","-0.0031471154652535915","-0.0031471154652535915","-0.0031471154652535915"
"41","-0.005652750842273235","-0.005652750842273235","-0.005652750842273235"
"42","-0.002221498405560851","-0.002221498405560851","-0.002221498405560851"
"43","-0.0036748512648046017","-0.0036748512648046017","-0.0036748512648046017"
"44","-0.0021543644834309816","-0.0021543644834309816","-0.0021543644834309816"
"45","-0.007794346194714308","-0.007794346194714308","-0.007794346194714308"
"46","-0.0029289517551660538","-0.0029289517551660538","-0.0029289517551660538"
"47","-0.0013980723451822996","-0.0013980723451822996","-0.0013980723451822996"
"48","-0.0017829227726906538","-0.0017829227726906538","-0.0017829227726906538"
"49","-0.005289833061397076","-0.005289833061397076","-0.005289833061397076"
"50","-0.003054752480238676","-0.003054752480238676","-0.003054752480238676"
"51","-0.0053659407421946526","-0.0053659407421946526","-0.0053659407421946526"
"52","-0.0019258870743215084","-0.0019258870743215084","-0.0019258870743215084"
"53","-0.004424699582159519","-0.004424699582159519","-0.004424699582159519"
"54","-0.008380381390452385","-0.008380381390452385","-0.008380381390452385"
"55","-0.009062441065907478","-0.009062441065907478","-0.009062441065907478"
"56","-0.007281474769115448","-0.007281474769115448","-0.007281474769115448"
"57","-0.0014649915974587202","-0.0014649915974587202","-0.0014649915974587202"
"58","-0.005090183578431606","-0.005090183578431606","-0.005090183578431606"
"59","-0.006691553629934788","-0.006691553629934788","-0.006691553629934788"
"60","-0.007654562126845121","-0.007654562126845121","-0.007654562126845121"
"61","-0.016943005844950676","-0.016943005844950676","-0.016943005844950676"
"62","-0.020636307075619698","-0.020636307075619698","-0.020636307075619698"
"63","-0.015526548027992249","-0.015526548027992249","-0.015526548027992249"
"64","-0.02891276776790619","-0.02891276776790619","-0.02891276776790619"
"65","-0.06248995661735535","-0.06248995661735535","-0.06248995661735535"
"66","-0.031396474689245224","-0.031396474689245224","-0.031396474689245224"
"67","-0.05748453736305237","-0.05748453736305237","-0.05748453736305237"
"68","-0.02449331432580948","-0.02449331432580948","-0.02449331432580948"
"69","-0.03070668689906597","-0.03070668689906597","-0.03070668689906597"
"70","-0.03126230090856552","-0.03126230090856552","-0.03126230090856552"
"71","-0.04547513648867607","-0.04547513648867607","-0.04547513648867607"
"72","-0.0387774221599102","-0.0387774221599102","-0.0387774221599102"
"73","-0.04044879972934723","-0.04044879972934723","-0.04044879972934723"
"74","-0.06931813806295395","-0.06931813806295395","-0.06931813806295395"
"75","-0.044548150151968","-0.044548150151968","-0.044548150151968"
"76","-0.09307849407196045","-0.09307849407196045","-0.09307849407196045"
"77","-0.07863377779722214","-0.07863377779722214","-0.07863377779722214"
"78","-0.07923945784568787","-0.07923945784568787","-0.07923945784568787"
"79","-0.06877625733613968","-0.06877625733613968","-0.06877625733613968"
"80","-0.050165824592113495","-0.050165824592113495","-0.050165824592113495"
"81","-0.060754500329494476","-0.060754500329494476","-0.060754500329494476"
"82","-0.07098068296909332","-0.07098068296909332","-0.07098068296909332"
"83","-0.08365485072135925","-0.08365485072135925","-0.08365485072135925"
"84","-0.0808887779712677","-0.0808887779712677","-0.0808887779712677"
"85","-0.06695376336574554","-0.06695376336574554","-0.06695376336574554"
"86","-0.05957956239581108","-0.05957956239581108","-0.05957956239581108"
"87","-0.10348492860794067","-0.10348492860794067","-0.10348492860794067"
"88","-0.08645711839199066","-0.08645711839199066","-0.08645711839199066"
"89","-0.06709107756614685","-0.06709107756614685","-0.06709107756614685"
"90","-0.06675853580236435","-0.06675853580236435","-0.06675853580236435"
"91","-0.08355435729026794","-0.08355435729026794","-0.08355435729026794"
"92","-0.07690396159887314","-0.07690396159887314","-0.07690396159887314"
"93","-0.07517584413290024","-0.07517584413290024","-0.07517584413290024"
"94","-0.0656432956457138","-0.0656432956457138","-0.0656432956457138"
"95","-0.05978667363524437","-0.05978667363524437","-0.05978667363524437"
"96","-0.09909775108098984","-0.09909775108098984","-0.09909775108098984"
"97","-0.04187629744410515","-0.04187629744410515","-0.04187629744410515"
"98","-0.06157330796122551","-0.06157330796122551","-0.06157330796122551"
"99","-0.10771255195140839","-0.10771255195140839","-0.10771255195140839"
"100","-0.07081952691078186","-0.07081952691078186","-0.07081952691078186"
"101","-0.046718575060367584","-0.046718575060367584","-0.046718575060367584"
"102","-0.11534582823514938","-0.11534582823514938","-0.11534582823514938"
"103","-0.07931840419769287","-0.07931840419769287","-0.07931840419769287"
"104","-0.07700550556182861","-0.07700550556182861","-0.07700550556182861"
"105","-0.0933598130941391","-0.0933598130941391","-0.0933598130941391"
"106","-0.07836845517158508","-0.07836845517158508","-0.07836845517158508"
"107","-0.07995626330375671","-0.07995626330375671","-0.07995626330375671"
"108","-0.10317721217870712","-0.10317721217870712","-0.10317721217870712"
"109","-0.09886075556278229","-0.09886075556278229","-0.09886075556278229"
"110","-0.0870056003332138","-0.0870056003332138","-0.0870056003332138"
"111","-0.12360142171382904","-0.12360142171382904","-0.12360142171382904"
"112","-0.10037580132484436","-0.10037580132484436","-0.10037580132484436"
"113","-0.13448674976825714","-0.13448674976825714","-0.13448674976825714"
"114","-0.1051638275384903","-0.1051638275384903","-0.1051638275384903"
"115","-0.15990477800369263","-0.15990477800369263","-0.15990477800369263"
"116","-0.15602272748947144","-0.15602272748947144","-0.15602272748947144"
"117","-0.10076462477445602","-0.10076462477445602","-0.10076462477445602"
"118","-0.1334669589996338","-0.1334669589996338","-0.1334669589996338"
"119","-0.20621025562286377","-0.20621025562286377","-0.20621025562286377"
"120","-0.12837544083595276","-0.12837544083595276","-0.12837544083595276"
"121","-0.18777665495872498","-0.18777665495872498","-0.18777665495872498"
"122","-0.15447068214416504","-0.15447068214416504","-0.15447068214416504"
"123","-0.11703979969024658","-0.11703979969024658","-0.11703979969024658"
"124","-0.17688190937042236","-0.17688190937042236","-0.17688190937042236"
