"Step","03Blind - Loss/value_function","03Blind - Loss/value_function__MIN","03Blind - Loss/value_function__MAX"
"1","0.04936554282903671","0.04936554282903671","0.04936554282903671"
"2","0.04510067906230688","0.04510067906230688","0.04510067906230688"
"3","0.031995716597884895","0.031995716597884895","0.031995716597884895"
"4","0.025682830065488816","0.025682830065488816","0.025682830065488816"
"5","0.020189217291772366","0.020189217291772366","0.020189217291772366"
"6","0.017472010385245085","0.017472010385245085","0.017472010385245085"
"7","0.01418049898929894","0.01418049898929894","0.01418049898929894"
"8","0.011635428294539452","0.011635428294539452","0.011635428294539452"
"9","0.011855497024953365","0.011855497024953365","0.011855497024953365"
"10","0.010450976714491845","0.010450976714491845","0.010450976714491845"
"11","0.010233422368764877","0.010233422368764877","0.010233422368764877"
"12","0.009647736232727766","0.009647736232727766","0.009647736232727766"
"13","0.010020948527380825","0.010020948527380825","0.010020948527380825"
"14","0.010084237810224295","0.010084237810224295","0.010084237810224295"
"15","0.011704269796609879","0.011704269796609879","0.011704269796609879"
"16","0.011709079099819063","0.011709079099819063","0.011709079099819063"
"17","0.01228838604874909","0.01228838604874909","0.01228838604874909"
"18","0.013766089966520668","0.013766089966520668","0.013766089966520668"
"19","0.013525241008028387","0.013525241008028387","0.013525241008028387"
"20","0.018124608602374793","0.018124608602374793","0.018124608602374793"
"21","0.028480975702404977","0.028480975702404977","0.028480975702404977"
"22","0.022442675568163394","0.022442675568163394","0.022442675568163394"
"23","0.02336981603875756","0.02336981603875756","0.02336981603875756"
"24","0.02508707195520401","0.02508707195520401","0.02508707195520401"
"25","0.025928966328501703","0.025928966328501703","0.025928966328501703"
"26","0.02174373371526599","0.02174373371526599","0.02174373371526599"
"27","0.021674476005136965","0.021674476005136965","0.021674476005136965"
"28","0.030088742077350617","0.030088742077350617","0.030088742077350617"
"29","0.021732261776924132","0.021732261776924132","0.021732261776924132"
"30","0.020571961905807255","0.020571961905807255","0.020571961905807255"
"31","0.0228917864151299","0.0228917864151299","0.0228917864151299"
"32","0.02267586989328265","0.02267586989328265","0.02267586989328265"
"33","0.026809579599648713","0.026809579599648713","0.026809579599648713"
"34","0.0256108726374805","0.0256108726374805","0.0256108726374805"
"35","0.02998785683885217","0.02998785683885217","0.02998785683885217"
"36","0.025840072054415943","0.025840072054415943","0.025840072054415943"
"37","0.025574681162834168","0.025574681162834168","0.025574681162834168"
"38","0.02599193314090371","0.02599193314090371","0.02599193314090371"
"39","0.022534720320254564","0.022534720320254564","0.022534720320254564"
"40","0.022270793002098797","0.022270793002098797","0.022270793002098797"
"41","0.035651815310120585","0.035651815310120585","0.035651815310120585"
"42","0.02419512365013361","0.02419512365013361","0.02419512365013361"
"43","0.025582976080477236","0.025582976080477236","0.025582976080477236"
