"Step","03Blind - Episode_Reward/bot_2_payload","03Blind - Episode_Reward/bot_2_payload__MIN","03Blind - Episode_Reward/bot_2_payload__MAX"
"1","0.003790124086663127","0.003790124086663127","0.003790124086663127"
"2","0.00705690449103713","0.00705690449103713","0.00705690449103713"
"3","0.01197836548089981","0.01197836548089981","0.01197836548089981"
"4","0.012453725561499596","0.012453725561499596","0.012453725561499596"
"5","0.010651486925780773","0.010651486925780773","0.010651486925780773"
"6","0.017342636361718178","0.017342636361718178","0.017342636361718178"
"7","0.018924497067928314","0.018924497067928314","0.018924497067928314"
"8","0.015452519059181213","0.015452519059181213","0.015452519059181213"
"9","0.022204112261533737","0.022204112261533737","0.022204112261533737"
"10","0.03403406962752342","0.03403406962752342","0.03403406962752342"
"11","0.024356137961149216","0.024356137961149216","0.024356137961149216"
"12","0.03368435427546501","0.03368435427546501","0.03368435427546501"
"13","0.03546798229217529","0.03546798229217529","0.03546798229217529"
"14","0.06129322573542595","0.06129322573542595","0.06129322573542595"
"15","0.050139736384153366","0.050139736384153366","0.050139736384153366"
"16","0.032923631370067596","0.032923631370067596","0.032923631370067596"
"17","0.050153136253356934","0.050153136253356934","0.050153136253356934"
"18","0.059014879167079926","0.059014879167079926","0.059014879167079926"
"19","0.0592326745390892","0.0592326745390892","0.0592326745390892"
"20","0.05739578232169151","0.05739578232169151","0.05739578232169151"
"21","0.05430220067501068","0.05430220067501068","0.05430220067501068"
"22","0.08343105763196945","0.08343105763196945","0.08343105763196945"
"23","0.10355101525783539","0.10355101525783539","0.10355101525783539"
"24","0.11359288543462753","0.11359288543462753","0.11359288543462753"
"25","0.11100056022405624","0.11100056022405624","0.11100056022405624"
"26","0.11967995017766953","0.11967995017766953","0.11967995017766953"
"27","0.12081271409988403","0.12081271409988403","0.12081271409988403"
"28","0.12198920547962189","0.12198920547962189","0.12198920547962189"
"29","0.11139191687107086","0.11139191687107086","0.11139191687107086"
