"Step","exponentialNoMovement - Loss/value_function","exponentialNoMovement - Loss/value_function__MIN","exponentialNoMovement - Loss/value_function__MAX"
"1","0.21960032731294632","0.21960032731294632","0.21960032731294632"
"2","0.2280117951333523","0.2280117951333523","0.2280117951333523"
"3","0.2179242618381977","0.2179242618381977","0.2179242618381977"
"4","0.20456236451864243","0.20456236451864243","0.20456236451864243"
"5","0.23243533298373223","0.23243533298373223","0.23243533298373223"
"6","0.20330748036503793","0.20330748036503793","0.20330748036503793"
"7","0.186344064027071","0.186344064027071","0.186344064027071"
"8","0.22651953473687172","0.22651953473687172","0.22651953473687172"
"9","0.19307892322540282","0.19307892322540282","0.19307892322540282"
"10","0.2256172440946102","0.2256172440946102","0.2256172440946102"
"11","0.1368741560727358","0.1368741560727358","0.1368741560727358"
"12","0.15505215525627136","0.15505215525627136","0.15505215525627136"
"13","0.4098907865583897","0.4098907865583897","0.4098907865583897"
"14","0.2682093374431133","0.2682093374431133","0.2682093374431133"
"15","0.21308114230632783","0.21308114230632783","0.21308114230632783"
"16","0.1380301307886839","0.1380301307886839","0.1380301307886839"
"17","0.12093508280813695","0.12093508280813695","0.12093508280813695"
"18","0.09650727659463883","0.09650727659463883","0.09650727659463883"
"19","0.10503336973488331","0.10503336973488331","0.10503336973488331"
"20","0.08670321479439735","0.08670321479439735","0.08670321479439735"
"21","0.09121997319161892","0.09121997319161892","0.09121997319161892"
"22","0.10788527764379978","0.10788527764379978","0.10788527764379978"
"23","0.123337771743536","0.123337771743536","0.123337771743536"
"24","0.08832823503762484","0.08832823503762484","0.08832823503762484"
"25","0.13027138076722622","0.13027138076722622","0.13027138076722622"
"26","0.1520214807242155","0.1520214807242155","0.1520214807242155"
"27","0.14480505213141442","0.14480505213141442","0.14480505213141442"
"28","0.09341903440654278","0.09341903440654278","0.09341903440654278"
"29","0.08034225441515445","0.08034225441515445","0.08034225441515445"
"30","0.07650201972573996","0.07650201972573996","0.07650201972573996"
"31","0.06031572017818689","0.06031572017818689","0.06031572017818689"
"32","0.05473612155765295","0.05473612155765295","0.05473612155765295"
"33","1.008748146891594","1.008748146891594","1.008748146891594"
"34","0.20891840234398842","0.20891840234398842","0.20891840234398842"
"35","0.17344513460993766","0.17344513460993766","0.17344513460993766"
"36","0.19662847146391868","0.19662847146391868","0.19662847146391868"
"37","0.19793441146612167","0.19793441146612167","0.19793441146612167"
"38","0.18393616527318954","0.18393616527318954","0.18393616527318954"
"39","0.19800641015172005","0.19800641015172005","0.19800641015172005"
"40","0.18899341598153113","0.18899341598153113","0.18899341598153113"
"41","0.21056982055306434","0.21056982055306434","0.21056982055306434"
"42","0.1952194280922413","0.1952194280922413","0.1952194280922413"
"43","0.21083275750279426","0.21083275750279426","0.21083275750279426"
"44","0.2144032396376133","0.2144032396376133","0.2144032396376133"
"45","0.2675306648015976","0.2675306648015976","0.2675306648015976"
"46","0.26486903354525565","0.26486903354525565","0.26486903354525565"
"47","0.29502253234386444","0.29502253234386444","0.29502253234386444"
"48","0.2552287600934505","0.2552287600934505","0.2552287600934505"
"49","0.3056173026561737","0.3056173026561737","0.3056173026561737"
"50","0.29507008790969846","0.29507008790969846","0.29507008790969846"
"51","0.2748847737908363","0.2748847737908363","0.2748847737908363"
"52","0.20770725533366202","0.20770725533366202","0.20770725533366202"
"53","0.2791409566998482","0.2791409566998482","0.2791409566998482"
"54","0.32808042615652083","0.32808042615652083","0.32808042615652083"
"55","0.3424927681684494","0.3424927681684494","0.3424927681684494"
"56","0.35670380145311353","0.35670380145311353","0.35670380145311353"
"57","0.3140705555677414","0.3140705555677414","0.3140705555677414"
"58","0.31590860784053804","0.31590860784053804","0.31590860784053804"
"59","0.35144465416669846","0.35144465416669846","0.35144465416669846"
