"Step","exponentialNoMovement - Episode_Reward/oriRew","exponentialNoMovement - Episode_Reward/oriRew__MIN","exponentialNoMovement - Episode_Reward/oriRew__MAX"
"150","2.7920398712158203","2.7920398712158203","2.7920398712158203"
"151","3.091151714324951","3.091151714324951","3.091151714324951"
"152","2.7676920890808105","2.7676920890808105","2.7676920890808105"
"153","2.726773262023926","2.726773262023926","2.726773262023926"
"154","2.8280367851257324","2.8280367851257324","2.8280367851257324"
"155","2.9314064979553223","2.9314064979553223","2.9314064979553223"
"156","2.6894450187683105","2.6894450187683105","2.6894450187683105"
"157","2.8007142543792725","2.8007142543792725","2.8007142543792725"
"158","2.920985221862793","2.920985221862793","2.920985221862793"
"159","2.8279778957366943","2.8279778957366943","2.8279778957366943"
"160","2.8657634258270264","2.8657634258270264","2.8657634258270264"
"161","2.9119670391082764","2.9119670391082764","2.9119670391082764"
"162","2.492781162261963","2.492781162261963","2.492781162261963"
"163","3.047877788543701","3.047877788543701","3.047877788543701"
"164","3.0672004222869873","3.0672004222869873","3.0672004222869873"
"165","2.963099479675293","2.963099479675293","2.963099479675293"
"166","2.4976654052734375","2.4976654052734375","2.4976654052734375"
"167","2.916520595550537","2.916520595550537","2.916520595550537"
"168","2.8662259578704834","2.8662259578704834","2.8662259578704834"
"169","2.838249921798706","2.838249921798706","2.838249921798706"
"170","3.2007155418395996","3.2007155418395996","3.2007155418395996"
"171","2.516127109527588","2.516127109527588","2.516127109527588"
"172","2.7681827545166016","2.7681827545166016","2.7681827545166016"
"173","2.778761386871338","2.778761386871338","2.778761386871338"
"174","2.7973012924194336","2.7973012924194336","2.7973012924194336"
"175","2.723409652709961","2.723409652709961","2.723409652709961"
"176","2.816237449645996","2.816237449645996","2.816237449645996"
"177","2.978745222091675","2.978745222091675","2.978745222091675"
"178","2.6451613903045654","2.6451613903045654","2.6451613903045654"
"179","2.825622081756592","2.825622081756592","2.825622081756592"
"180","2.974926471710205","2.974926471710205","2.974926471710205"
"181","3.197197675704956","3.197197675704956","3.197197675704956"
"182","2.7832751274108887","2.7832751274108887","2.7832751274108887"
"183","2.970345973968506","2.970345973968506","2.970345973968506"
"184","2.697439193725586","2.697439193725586","2.697439193725586"
"185","3.0762717723846436","3.0762717723846436","3.0762717723846436"
"186","3.1985669136047363","3.1985669136047363","3.1985669136047363"
"187","2.8580236434936523","2.8580236434936523","2.8580236434936523"
"188","2.673578977584839","2.673578977584839","2.673578977584839"
"189","2.6787047386169434","2.6787047386169434","2.6787047386169434"
"190","3.106106758117676","3.106106758117676","3.106106758117676"
"191","2.88675594329834","2.88675594329834","2.88675594329834"
"192","2.484067440032959","2.484067440032959","2.484067440032959"
"193","3.075113296508789","3.075113296508789","3.075113296508789"
"194","3.277635335922241","3.277635335922241","3.277635335922241"
"195","2.75581431388855","2.75581431388855","2.75581431388855"
"196","3.369431972503662","3.369431972503662","3.369431972503662"
"197","2.571833372116089","2.571833372116089","2.571833372116089"
"198","2.97133731842041","2.97133731842041","2.97133731842041"
"199","3.072455883026123","3.072455883026123","3.072455883026123"
"200","2.854933500289917","2.854933500289917","2.854933500289917"
"201","2.9146499633789062","2.9146499633789062","2.9146499633789062"
"202","3.3267409801483154","3.3267409801483154","3.3267409801483154"
"203","2.607339382171631","2.607339382171631","2.607339382171631"
"204","2.933601140975952","2.933601140975952","2.933601140975952"
"205","2.9575233459472656","2.9575233459472656","2.9575233459472656"
"206","2.99617338180542","2.99617338180542","2.99617338180542"
"207","2.848773717880249","2.848773717880249","2.848773717880249"
"208","3.192211151123047","3.192211151123047","3.192211151123047"
"209","3.169004201889038","3.169004201889038","3.169004201889038"
"210","2.676896572113037","2.676896572113037","2.676896572113037"
"211","3.087111473083496","3.087111473083496","3.087111473083496"
"212","2.5698189735412598","2.5698189735412598","2.5698189735412598"
"213","2.8540210723876953","2.8540210723876953","2.8540210723876953"
"214","2.72094988822937","2.72094988822937","2.72094988822937"
"215","2.7809901237487793","2.7809901237487793","2.7809901237487793"
"216","3.252696990966797","3.252696990966797","3.252696990966797"
"217","2.9284987449645996","2.9284987449645996","2.9284987449645996"
"218","2.9743564128875732","2.9743564128875732","2.9743564128875732"
"219","2.686511993408203","2.686511993408203","2.686511993408203"
"220","3.1788077354431152","3.1788077354431152","3.1788077354431152"
"221","3.058234930038452","3.058234930038452","3.058234930038452"
"222","3.0585484504699707","3.0585484504699707","3.0585484504699707"
"223","3.0438761711120605","3.0438761711120605","3.0438761711120605"
"224","3.0239856243133545","3.0239856243133545","3.0239856243133545"
"225","3.1846225261688232","3.1846225261688232","3.1846225261688232"
"226","2.935941219329834","2.935941219329834","2.935941219329834"
"227","2.7367396354675293","2.7367396354675293","2.7367396354675293"
"228","2.8966405391693115","2.8966405391693115","2.8966405391693115"
"229","3.267801284790039","3.267801284790039","3.267801284790039"
"230","3.1618640422821045","3.1618640422821045","3.1618640422821045"
"231","3.192671298980713","3.192671298980713","3.192671298980713"
"232","3.25879168510437","3.25879168510437","3.25879168510437"
"233","3.029407262802124","3.029407262802124","3.029407262802124"
"234","3.1215648651123047","3.1215648651123047","3.1215648651123047"
"235","3.3175151348114014","3.3175151348114014","3.3175151348114014"
"236","3.1203601360321045","3.1203601360321045","3.1203601360321045"
"237","3.3481967449188232","3.3481967449188232","3.3481967449188232"
"238","3.2072267532348633","3.2072267532348633","3.2072267532348633"
"239","3.0489683151245117","3.0489683151245117","3.0489683151245117"
"240","3.546203136444092","3.546203136444092","3.546203136444092"
"241","3.040587902069092","3.040587902069092","3.040587902069092"
"242","3.1858880519866943","3.1858880519866943","3.1858880519866943"
"243","3.2331995964050293","3.2331995964050293","3.2331995964050293"
"244","3.025669813156128","3.025669813156128","3.025669813156128"
"245","3.337468147277832","3.337468147277832","3.337468147277832"
"246","3.477457046508789","3.477457046508789","3.477457046508789"
"247","3.5093486309051514","3.5093486309051514","3.5093486309051514"
"248","3.024880886077881","3.024880886077881","3.024880886077881"
"249","2.8138644695281982","2.8138644695281982","2.8138644695281982"
"250","3.331801176071167","3.331801176071167","3.331801176071167"
"251","3.1594655513763428","3.1594655513763428","3.1594655513763428"
"252","3.2708072662353516","3.2708072662353516","3.2708072662353516"
"253","3.25199031829834","3.25199031829834","3.25199031829834"
"254","3.1916699409484863","3.1916699409484863","3.1916699409484863"
"255","3.0620956420898438","3.0620956420898438","3.0620956420898438"
"256","3.1554298400878906","3.1554298400878906","3.1554298400878906"
"257","3.0369842052459717","3.0369842052459717","3.0369842052459717"
"258","3.305278778076172","3.305278778076172","3.305278778076172"
"259","3.558846950531006","3.558846950531006","3.558846950531006"
"260","3.3300225734710693","3.3300225734710693","3.3300225734710693"
"261","3.561690092086792","3.561690092086792","3.561690092086792"
"262","3.1144003868103027","3.1144003868103027","3.1144003868103027"
"263","3.532907485961914","3.532907485961914","3.532907485961914"
"264","3.1630258560180664","3.1630258560180664","3.1630258560180664"
"265","3.6451525688171387","3.6451525688171387","3.6451525688171387"
"266","3.567014455795288","3.567014455795288","3.567014455795288"
"267","3.6285369396209717","3.6285369396209717","3.6285369396209717"
"268","3.241351842880249","3.241351842880249","3.241351842880249"
"269","3.9187984466552734","3.9187984466552734","3.9187984466552734"
"270","3.1389918327331543","3.1389918327331543","3.1389918327331543"
"271","3.55502986907959","3.55502986907959","3.55502986907959"
"272","4.054803848266602","4.054803848266602","4.054803848266602"
"273","3.446483612060547","3.446483612060547","3.446483612060547"
"274","3.498086452484131","3.498086452484131","3.498086452484131"
"275","3.536011219024658","3.536011219024658","3.536011219024658"
"276","3.1503312587738037","3.1503312587738037","3.1503312587738037"
"277","3.675314426422119","3.675314426422119","3.675314426422119"
"278","4.098418235778809","4.098418235778809","4.098418235778809"
"279","3.5016393661499023","3.5016393661499023","3.5016393661499023"
"280","3.353642225265503","3.353642225265503","3.353642225265503"
"281","3.6149415969848633","3.6149415969848633","3.6149415969848633"
"282","3.643083333969116","3.643083333969116","3.643083333969116"
"283","3.774163246154785","3.774163246154785","3.774163246154785"
"284","3.4645886421203613","3.4645886421203613","3.4645886421203613"
"285","3.8930678367614746","3.8930678367614746","3.8930678367614746"
"286","4.186779022216797","4.186779022216797","4.186779022216797"
"287","3.679595708847046","3.679595708847046","3.679595708847046"
"288","3.8698699474334717","3.8698699474334717","3.8698699474334717"
"289","3.277620792388916","3.277620792388916","3.277620792388916"
"290","3.7095537185668945","3.7095537185668945","3.7095537185668945"
"291","3.3783442974090576","3.3783442974090576","3.3783442974090576"
"292","3.6241157054901123","3.6241157054901123","3.6241157054901123"
"293","3.5885043144226074","3.5885043144226074","3.5885043144226074"
"294","3.9279537200927734","3.9279537200927734","3.9279537200927734"
"295","3.7374093532562256","3.7374093532562256","3.7374093532562256"
"296","3.8864963054656982","3.8864963054656982","3.8864963054656982"
"297","3.9123740196228027","3.9123740196228027","3.9123740196228027"
"298","3.994741201400757","3.994741201400757","3.994741201400757"
"299","3.815296173095703","3.815296173095703","3.815296173095703"
"300","3.9961085319519043","3.9961085319519043","3.9961085319519043"
"301","3.7058544158935547","3.7058544158935547","3.7058544158935547"
"302","3.7780017852783203","3.7780017852783203","3.7780017852783203"
"303","4.03024959564209","4.03024959564209","4.03024959564209"
"304","3.9839072227478027","3.9839072227478027","3.9839072227478027"
"305","3.7900445461273193","3.7900445461273193","3.7900445461273193"
"306","4.167840480804443","4.167840480804443","4.167840480804443"
"307","3.479008197784424","3.479008197784424","3.479008197784424"
"308","3.582371711730957","3.582371711730957","3.582371711730957"
"309","3.9475979804992676","3.9475979804992676","3.9475979804992676"
"310","3.686281204223633","3.686281204223633","3.686281204223633"
"311","4.207827568054199","4.207827568054199","4.207827568054199"
"312","3.868896961212158","3.868896961212158","3.868896961212158"
"313","3.8243861198425293","3.8243861198425293","3.8243861198425293"
"314","3.6676058769226074","3.6676058769226074","3.6676058769226074"
"315","4.224277973175049","4.224277973175049","4.224277973175049"
"316","4.021725654602051","4.021725654602051","4.021725654602051"
"317","4.1475629806518555","4.1475629806518555","4.1475629806518555"
"318","4.346047401428223","4.346047401428223","4.346047401428223"
"319","3.9380698204040527","3.9380698204040527","3.9380698204040527"
