"Step","exponentialNoMovement - Metrics/targetPosition/error_heading","exponentialNoMovement - Metrics/targetPosition/error_heading__MIN","exponentialNoMovement - Metrics/targetPosition/error_heading__MAX"
"87","1.5130856037139893","1.5130856037139893","1.5130856037139893"
"88","1.481832504272461","1.481832504272461","1.481832504272461"
"89","1.6429367065429688","1.6429367065429688","1.6429367065429688"
"90","1.5493834018707275","1.5493834018707275","1.5493834018707275"
"91","1.5707576274871826","1.5707576274871826","1.5707576274871826"
"92","1.594761610031128","1.594761610031128","1.594761610031128"
"93","1.5177243947982788","1.5177243947982788","1.5177243947982788"
"94","1.561903715133667","1.561903715133667","1.561903715133667"
"95","1.5311346054077148","1.5311346054077148","1.5311346054077148"
"96","1.7430613040924072","1.7430613040924072","1.7430613040924072"
"97","1.519950270652771","1.519950270652771","1.519950270652771"
"98","1.5340442657470703","1.5340442657470703","1.5340442657470703"
"99","1.6578795909881592","1.6578795909881592","1.6578795909881592"
"100","1.4463727474212646","1.4463727474212646","1.4463727474212646"
"101","1.4258283376693726","1.4258283376693726","1.4258283376693726"
"102","1.5812947750091553","1.5812947750091553","1.5812947750091553"
"103","1.6360883712768555","1.6360883712768555","1.6360883712768555"
"104","1.5585081577301025","1.5585081577301025","1.5585081577301025"
"105","1.6343501806259155","1.6343501806259155","1.6343501806259155"
"106","1.5465569496154785","1.5465569496154785","1.5465569496154785"
"107","1.5380247831344604","1.5380247831344604","1.5380247831344604"
"108","1.4082711935043335","1.4082711935043335","1.4082711935043335"
"109","1.6523493528366089","1.6523493528366089","1.6523493528366089"
"110","1.7548072338104248","1.7548072338104248","1.7548072338104248"
"111","1.4848418235778809","1.4848418235778809","1.4848418235778809"
"112","1.5714423656463623","1.5714423656463623","1.5714423656463623"
"113","1.6045364141464233","1.6045364141464233","1.6045364141464233"
"114","1.6497597694396973","1.6497597694396973","1.6497597694396973"
"115","1.4243558645248413","1.4243558645248413","1.4243558645248413"
"116","1.559661626815796","1.559661626815796","1.559661626815796"
"117","1.5471047163009644","1.5471047163009644","1.5471047163009644"
"118","1.6629111766815186","1.6629111766815186","1.6629111766815186"
"119","1.667961835861206","1.667961835861206","1.667961835861206"
"120","1.766432523727417","1.766432523727417","1.766432523727417"
"121","1.6069998741149902","1.6069998741149902","1.6069998741149902"
"122","1.6975996494293213","1.6975996494293213","1.6975996494293213"
"123","1.738232970237732","1.738232970237732","1.738232970237732"
"124","1.5888233184814453","1.5888233184814453","1.5888233184814453"
"125","1.4565223455429077","1.4565223455429077","1.4565223455429077"
"126","1.573047161102295","1.573047161102295","1.573047161102295"
"127","1.4531588554382324","1.4531588554382324","1.4531588554382324"
"128","1.5575153827667236","1.5575153827667236","1.5575153827667236"
"129","1.667896032333374","1.667896032333374","1.667896032333374"
"130","1.5871219635009766","1.5871219635009766","1.5871219635009766"
"131","1.5309194326400757","1.5309194326400757","1.5309194326400757"
"132","1.5607671737670898","1.5607671737670898","1.5607671737670898"
"133","1.573388934135437","1.573388934135437","1.573388934135437"
"134","1.5211981534957886","1.5211981534957886","1.5211981534957886"
