"Step","0.7CircleBlind - Metrics/targetPosition/error_pos_2d","0.7CircleBlind - Metrics/targetPosition/error_pos_2d__MIN","0.7CircleBlind - Metrics/targetPosition/error_pos_2d__MAX"
"1","4.314777374267578","4.314777374267578","4.314777374267578"
"2","4.247438430786133","4.247438430786133","4.247438430786133"
"3","4.19374942779541","4.19374942779541","4.19374942779541"
"4","4.521222114562988","4.521222114562988","4.521222114562988"
"5","4.374553680419922","4.374553680419922","4.374553680419922"
"6","4.333131790161133","4.333131790161133","4.333131790161133"
"7","4.503704071044922","4.503704071044922","4.503704071044922"
"8","4.325560569763184","4.325560569763184","4.325560569763184"
"9","4.442685604095459","4.442685604095459","4.442685604095459"
"10","4.517726898193359","4.517726898193359","4.517726898193359"
"11","4.464385032653809","4.464385032653809","4.464385032653809"
"12","4.3315606117248535","4.3315606117248535","4.3315606117248535"
"13","4.448462963104248","4.448462963104248","4.448462963104248"
"14","4.392494201660156","4.392494201660156","4.392494201660156"
"15","4.4139604568481445","4.4139604568481445","4.4139604568481445"
"16","4.422211647033691","4.422211647033691","4.422211647033691"
"17","4.516338348388672","4.516338348388672","4.516338348388672"
"18","4.297580242156982","4.297580242156982","4.297580242156982"
"19","4.533573627471924","4.533573627471924","4.533573627471924"
"20","4.454005718231201","4.454005718231201","4.454005718231201"
"21","4.40708065032959","4.40708065032959","4.40708065032959"
"22","4.526835918426514","4.526835918426514","4.526835918426514"
"23","4.641608238220215","4.641608238220215","4.641608238220215"
"24","4.706162929534912","4.706162929534912","4.706162929534912"
"25","4.562687397003174","4.562687397003174","4.562687397003174"
"26","4.663479804992676","4.663479804992676","4.663479804992676"
"27","4.666492462158203","4.666492462158203","4.666492462158203"
"28","4.598360061645508","4.598360061645508","4.598360061645508"
"29","4.5778303146362305","4.5778303146362305","4.5778303146362305"
"30","4.5523295402526855","4.5523295402526855","4.5523295402526855"
"31","4.555643081665039","4.555643081665039","4.555643081665039"
"32","4.481449604034424","4.481449604034424","4.481449604034424"
"33","4.458705902099609","4.458705902099609","4.458705902099609"
"34","4.440707206726074","4.440707206726074","4.440707206726074"
"35","4.477313995361328","4.477313995361328","4.477313995361328"
"36","4.488740921020508","4.488740921020508","4.488740921020508"
"37","4.45214319229126","4.45214319229126","4.45214319229126"
"38","4.506141185760498","4.506141185760498","4.506141185760498"
"39","4.467410564422607","4.467410564422607","4.467410564422607"
"40","4.438909530639648","4.438909530639648","4.438909530639648"
"41","4.502602577209473","4.502602577209473","4.502602577209473"
"42","4.464062690734863","4.464062690734863","4.464062690734863"
"43","4.492249488830566","4.492249488830566","4.492249488830566"
"44","4.445857524871826","4.445857524871826","4.445857524871826"
"45","4.471630573272705","4.471630573272705","4.471630573272705"
"46","4.531375408172607","4.531375408172607","4.531375408172607"
"47","4.528665542602539","4.528665542602539","4.528665542602539"
"48","4.527187347412109","4.527187347412109","4.527187347412109"
"49","4.516203880310059","4.516203880310059","4.516203880310059"
"50","4.548342227935791","4.548342227935791","4.548342227935791"
"51","4.510270595550537","4.510270595550537","4.510270595550537"
"52","4.517789363861084","4.517789363861084","4.517789363861084"
"53","4.601378440856934","4.601378440856934","4.601378440856934"
"54","4.544594764709473","4.544594764709473","4.544594764709473"
"55","4.512595176696777","4.512595176696777","4.512595176696777"
"56","4.605109214782715","4.605109214782715","4.605109214782715"
"57","4.641600608825684","4.641600608825684","4.641600608825684"
"58","4.565134048461914","4.565134048461914","4.565134048461914"
"59","4.570667266845703","4.570667266845703","4.570667266845703"
"60","4.521427631378174","4.521427631378174","4.521427631378174"
"61","4.561613082885742","4.561613082885742","4.561613082885742"
"62","4.483946800231934","4.483946800231934","4.483946800231934"
"63","4.54439115524292","4.54439115524292","4.54439115524292"
"64","4.48689603805542","4.48689603805542","4.48689603805542"
"65","4.506863594055176","4.506863594055176","4.506863594055176"
"66","4.573392391204834","4.573392391204834","4.573392391204834"
"67","4.274347305297852","4.274347305297852","4.274347305297852"
"68","4.491882801055908","4.491882801055908","4.491882801055908"
"69","4.599600791931152","4.599600791931152","4.599600791931152"
"70","4.402205467224121","4.402205467224121","4.402205467224121"
"71","4.511357307434082","4.511357307434082","4.511357307434082"
"72","4.387141704559326","4.387141704559326","4.387141704559326"
