"Step","0.7CircleBlind - Loss/value_function","0.7CircleBlind - Loss/value_function__MIN","0.7CircleBlind - Loss/value_function__MAX"
"1","0.047147234342992304","0.047147234342992304","0.047147234342992304"
"2","0.045228438824415206","0.045228438824415206","0.045228438824415206"
"3","0.03411761038005352","0.03411761038005352","0.03411761038005352"
"4","0.026730237621814014","0.026730237621814014","0.026730237621814014"
"5","0.01974266949109733","0.01974266949109733","0.01974266949109733"
"6","0.015778624499216676","0.015778624499216676","0.015778624499216676"
"7","0.015026848576962949","0.015026848576962949","0.015026848576962949"
"8","0.013566400716081261","0.013566400716081261","0.013566400716081261"
"9","0.010579629428684711","0.010579629428684711","0.010579629428684711"
"10","0.009277880657464266","0.009277880657464266","0.009277880657464266"
"11","0.009279906796291471","0.009279906796291471","0.009279906796291471"
"12","0.009574093157425523","0.009574093157425523","0.009574093157425523"
"13","0.00924588949419558","0.00924588949419558","0.00924588949419558"
"14","0.008928162511438131","0.008928162511438131","0.008928162511438131"
"15","0.009295654902234673","0.009295654902234673","0.009295654902234673"
"16","0.009119865577667951","0.009119865577667951","0.009119865577667951"
"17","0.00953298551030457","0.00953298551030457","0.00953298551030457"
"18","0.010460565704852343","0.010460565704852343","0.010460565704852343"
"19","0.012422873172909021","0.012422873172909021","0.012422873172909021"
"20","0.012671895697712899","0.012671895697712899","0.012671895697712899"
"21","0.016503283102065325","0.016503283102065325","0.016503283102065325"
"22","0.01763686342164874","0.01763686342164874","0.01763686342164874"
"23","0.024409971479326487","0.024409971479326487","0.024409971479326487"
"24","0.025844675488770008","0.025844675488770008","0.025844675488770008"
"25","0.025508114695549013","0.025508114695549013","0.025508114695549013"
"26","0.027855267375707628","0.027855267375707628","0.027855267375707628"
"27","0.02887967210263014","0.02887967210263014","0.02887967210263014"
"28","0.02874916484579444","0.02874916484579444","0.02874916484579444"
"29","0.03139557372778654","0.03139557372778654","0.03139557372778654"
"30","0.02725349785760045","0.02725349785760045","0.02725349785760045"
"31","0.025832381378859282","0.025832381378859282","0.025832381378859282"
"32","0.025755274295806884","0.025755274295806884","0.025755274295806884"
"33","0.026111811678856612","0.026111811678856612","0.026111811678856612"
"34","0.02560634622350335","0.02560634622350335","0.02560634622350335"
"35","0.022700967080891133","0.022700967080891133","0.022700967080891133"
"36","0.020655831322073936","0.020655831322073936","0.020655831322073936"
"37","0.02146284831687808","0.02146284831687808","0.02146284831687808"
"38","0.023860568180680275","0.023860568180680275","0.023860568180680275"
"39","0.019771465100347996","0.019771465100347996","0.019771465100347996"
"40","0.021875591576099397","0.021875591576099397","0.021875591576099397"
"41","0.019722547847777605","0.019722547847777605","0.019722547847777605"
"42","0.021304178796708585","0.021304178796708585","0.021304178796708585"
"43","0.021770176384598015","0.021770176384598015","0.021770176384598015"
"44","0.024925526697188616","0.024925526697188616","0.024925526697188616"
"45","0.028141709603369237","0.028141709603369237","0.028141709603369237"
"46","0.030765479430556297","0.030765479430556297","0.030765479430556297"
"47","0.03036073800176382","0.03036073800176382","0.03036073800176382"
"48","0.03140475070104003","0.03140475070104003","0.03140475070104003"
"49","0.03059082357212901","0.03059082357212901","0.03059082357212901"
"50","0.02831490896642208","0.02831490896642208","0.02831490896642208"
"51","0.028147448040544986","0.028147448040544986","0.028147448040544986"
"52","0.03076491067185998","0.03076491067185998","0.03076491067185998"
