"Step","HistoryLen6-5,10 - Episode_Reward/payload_2_target","HistoryLen6-5,10 - Episode_Reward/payload_2_target__MIN","HistoryLen6-5,10 - Episode_Reward/payload_2_target__MAX"
"1","-0.000009499046427663416","-0.000009499046427663416","-0.000009499046427663416"
"2","-2.9895898023823975e-7","-2.9895898023823975e-7","-2.9895898023823975e-7"
"3","1.8322721118124718e-10","1.8322721118124718e-10","1.8322721118124718e-10"
"4","-0.000055479649745393544","-0.000055479649745393544","-0.000055479649745393544"
"5","-0.0008052579360082746","-0.0008052579360082746","-0.0008052579360082746"
"6","-0.0013083609519526362","-0.0013083609519526362","-0.0013083609519526362"
"7","-0.00002501279959687963","-0.00002501279959687963","-0.00002501279959687963"
"8","-0.0014605007600039244","-0.0014605007600039244","-0.0014605007600039244"
"9","-2.970218515585543e-9","-2.970218515585543e-9","-2.970218515585543e-9"
"10","-0.0025191756431013346","-0.0025191756431013346","-0.0025191756431013346"
"11","-0.011351893655955791","-0.011351893655955791","-0.011351893655955791"
"12","-0.0027098958380520344","-0.0027098958380520344","-0.0027098958380520344"
"13","-0.0011122988071292639","-0.0011122988071292639","-0.0011122988071292639"
"14","-0.0034722143318504095","-0.0034722143318504095","-0.0034722143318504095"
"15","-0.007551377639174461","-0.007551377639174461","-0.007551377639174461"
"16","-0.002271232195198536","-0.002271232195198536","-0.002271232195198536"
"17","-0.003330732462927699","-0.003330732462927699","-0.003330732462927699"
"18","-0.00031437911093235016","-0.00031437911093235016","-0.00031437911093235016"
"19","-0.00004356521458248608","-0.00004356521458248608","-0.00004356521458248608"
"20","-0.00022345426259562373","-0.00022345426259562373","-0.00022345426259562373"
"21","-0.002980912569910288","-0.002980912569910288","-0.002980912569910288"
"22","-0.0022916325833648443","-0.0022916325833648443","-0.0022916325833648443"
"23","-0.0006958567537367344","-0.0006958567537367344","-0.0006958567537367344"
"24","-0.0013745701871812344","-0.0013745701871812344","-0.0013745701871812344"
"25","-0.0015338071389123797","-0.0015338071389123797","-0.0015338071389123797"
"26","-0.0005415509222075343","-0.0005415509222075343","-0.0005415509222075343"
"27","-0.0044065918773412704","-0.0044065918773412704","-0.0044065918773412704"
"28","-0.0018862213473767042","-0.0018862213473767042","-0.0018862213473767042"
"29","-0.0007684354204684496","-0.0007684354204684496","-0.0007684354204684496"
"30","-0.003939070738852024","-0.003939070738852024","-0.003939070738852024"
"31","-0.002305485773831606","-0.002305485773831606","-0.002305485773831606"
"32","-0.0032689205836504698","-0.0032689205836504698","-0.0032689205836504698"
"33","-0.0014484392013400793","-0.0014484392013400793","-0.0014484392013400793"
"34","-0.003922834061086178","-0.003922834061086178","-0.003922834061086178"
"35","-0.003598172217607498","-0.003598172217607498","-0.003598172217607498"
"36","-0.0060767196118831635","-0.0060767196118831635","-0.0060767196118831635"
"37","-0.005627154838293791","-0.005627154838293791","-0.005627154838293791"
"38","-0.006195477209985256","-0.006195477209985256","-0.006195477209985256"
"39","-0.003933613188564777","-0.003933613188564777","-0.003933613188564777"
"40","-0.01252477802336216","-0.01252477802336216","-0.01252477802336216"
"41","-0.017609853297472","-0.017609853297472","-0.017609853297472"
"42","-0.01272621564567089","-0.01272621564567089","-0.01272621564567089"
"43","-0.03730909153819084","-0.03730909153819084","-0.03730909153819084"
"44","-0.02193291485309601","-0.02193291485309601","-0.02193291485309601"
"45","-0.03946679085493088","-0.03946679085493088","-0.03946679085493088"
"46","-0.02763359807431698","-0.02763359807431698","-0.02763359807431698"
"47","-0.07396205514669418","-0.07396205514669418","-0.07396205514669418"
"48","-0.06005517393350601","-0.06005517393350601","-0.06005517393350601"
"49","-0.06969854235649109","-0.06969854235649109","-0.06969854235649109"
"50","-0.08722081035375595","-0.08722081035375595","-0.08722081035375595"
"51","-0.08613984286785126","-0.08613984286785126","-0.08613984286785126"
"52","-0.0802043080329895","-0.0802043080329895","-0.0802043080329895"
"53","-0.1446659415960312","-0.1446659415960312","-0.1446659415960312"
"54","-0.17682793736457825","-0.17682793736457825","-0.17682793736457825"
"55","-0.1303347945213318","-0.1303347945213318","-0.1303347945213318"
"56","-0.14501136541366577","-0.14501136541366577","-0.14501136541366577"
"57","-0.21577036380767822","-0.21577036380767822","-0.21577036380767822"
"58","-0.22553172707557678","-0.22553172707557678","-0.22553172707557678"
"59","-0.23325607180595398","-0.23325607180595398","-0.23325607180595398"
"60","-0.3115583062171936","-0.3115583062171936","-0.3115583062171936"
"61","-0.25174516439437866","-0.25174516439437866","-0.25174516439437866"
"62","-0.27086007595062256","-0.27086007595062256","-0.27086007595062256"
"63","-0.24803274869918823","-0.24803274869918823","-0.24803274869918823"
"64","-0.21943196654319763","-0.21943196654319763","-0.21943196654319763"
"65","-0.23892620205879211","-0.23892620205879211","-0.23892620205879211"
"66","-0.296683132648468","-0.296683132648468","-0.296683132648468"
"67","-0.37129637598991394","-0.37129637598991394","-0.37129637598991394"
"68","-0.3657394051551819","-0.3657394051551819","-0.3657394051551819"
"69","-0.30085524916648865","-0.30085524916648865","-0.30085524916648865"
"70","-0.39188945293426514","-0.39188945293426514","-0.39188945293426514"
"71","-0.4466094970703125","-0.4466094970703125","-0.4466094970703125"
"72","-0.4890308380126953","-0.4890308380126953","-0.4890308380126953"
"73","-0.5022227764129639","-0.5022227764129639","-0.5022227764129639"
"74","-0.35718458890914917","-0.35718458890914917","-0.35718458890914917"
"75","-0.3711291551589966","-0.3711291551589966","-0.3711291551589966"
"76","-0.43951964378356934","-0.43951964378356934","-0.43951964378356934"
"77","-0.41505929827690125","-0.41505929827690125","-0.41505929827690125"
"78","-0.3831497132778168","-0.3831497132778168","-0.3831497132778168"
"79","-0.32810962200164795","-0.32810962200164795","-0.32810962200164795"
"80","-0.3556114435195923","-0.3556114435195923","-0.3556114435195923"
"81","-0.419979065656662","-0.419979065656662","-0.419979065656662"
"82","-0.38914963603019714","-0.38914963603019714","-0.38914963603019714"
"83","-0.430768221616745","-0.430768221616745","-0.430768221616745"
"84","-0.2875482141971588","-0.2875482141971588","-0.2875482141971588"
"85","-0.2818968892097473","-0.2818968892097473","-0.2818968892097473"
"86","-0.20386824011802673","-0.20386824011802673","-0.20386824011802673"
"87","-0.3533358573913574","-0.3533358573913574","-0.3533358573913574"
