"Step","0.4Blind - Episode_Reward/bot_2_payload","0.4Blind - Episode_Reward/bot_2_payload__MIN","0.4Blind - Episode_Reward/bot_2_payload__MAX"
"1","0.003840950783342123","0.003840950783342123","0.003840950783342123"
"2","0.006996940355747938","0.006996940355747938","0.006996940355747938"
"3","0.011915689334273338","0.011915689334273338","0.011915689334273338"
"4","0.010368007235229015","0.010368007235229015","0.010368007235229015"
"5","0.01015989389270544","0.01015989389270544","0.01015989389270544"
"6","0.018282921984791756","0.018282921984791756","0.018282921984791756"
"7","0.020335189998149872","0.020335189998149872","0.020335189998149872"
"8","0.017152514308691025","0.017152514308691025","0.017152514308691025"
"9","0.02397189289331436","0.02397189289331436","0.02397189289331436"
"10","0.03489035367965698","0.03489035367965698","0.03489035367965698"
"11","0.028232282027602196","0.028232282027602196","0.028232282027602196"
"12","0.03431949019432068","0.03431949019432068","0.03431949019432068"
"13","0.010139725171029568","0.010139725171029568","0.010139725171029568"
"14","0.05838380381464958","0.05838380381464958","0.05838380381464958"
"15","0.05617649480700493","0.05617649480700493","0.05617649480700493"
"16","0.03028823249042034","0.03028823249042034","0.03028823249042034"
"17","0.05856957659125328","0.05856957659125328","0.05856957659125328"
"18","0.05888691544532776","0.05888691544532776","0.05888691544532776"
"19","0.06632798910140991","0.06632798910140991","0.06632798910140991"
"20","0.054967015981674194","0.054967015981674194","0.054967015981674194"
"21","0.08125121891498566","0.08125121891498566","0.08125121891498566"
"22","0.08449642360210419","0.08449642360210419","0.08449642360210419"
"23","0.09508192539215088","0.09508192539215088","0.09508192539215088"
"24","0.10399993509054184","0.10399993509054184","0.10399993509054184"
"25","0.10344326496124268","0.10344326496124268","0.10344326496124268"
"26","0.10755693167448044","0.10755693167448044","0.10755693167448044"
"27","0.13960354030132294","0.13960354030132294","0.13960354030132294"
"28","0.1324249505996704","0.1324249505996704","0.1324249505996704"
"29","0.12995758652687073","0.12995758652687073","0.12995758652687073"
"30","0.1534942388534546","0.1534942388534546","0.1534942388534546"
"31","0.12882086634635925","0.12882086634635925","0.12882086634635925"
"32","0.1424119621515274","0.1424119621515274","0.1424119621515274"
"33","0.1255148947238922","0.1255148947238922","0.1255148947238922"
"34","0.13477590680122375","0.13477590680122375","0.13477590680122375"
"35","0.10386854410171509","0.10386854410171509","0.10386854410171509"
"36","0.13093224167823792","0.13093224167823792","0.13093224167823792"
"37","0.12110316753387451","0.12110316753387451","0.12110316753387451"
"38","0.14684925973415375","0.14684925973415375","0.14684925973415375"
"39","0.13071852922439575","0.13071852922439575","0.13071852922439575"
"40","0.1403263807296753","0.1403263807296753","0.1403263807296753"
"41","0.12053018808364868","0.12053018808364868","0.12053018808364868"
"42","0.12392371892929077","0.12392371892929077","0.12392371892929077"
"43","0.10614918172359467","0.10614918172359467","0.10614918172359467"
"44","0.09388496726751328","0.09388496726751328","0.09388496726751328"
"45","0.0903494656085968","0.0903494656085968","0.0903494656085968"
"46","0.07576979696750641","0.07576979696750641","0.07576979696750641"
"47","0.07394532114267349","0.07394532114267349","0.07394532114267349"
"48","0.08244038373231888","0.08244038373231888","0.08244038373231888"
"49","0.07330045849084854","0.07330045849084854","0.07330045849084854"
"50","0.07987217605113983","0.07987217605113983","0.07987217605113983"
"51","0.06616151332855225","0.06616151332855225","0.06616151332855225"
"52","0.07407419383525848","0.07407419383525848","0.07407419383525848"
"53","0.07122351229190826","0.07122351229190826","0.07122351229190826"
"54","0.07628343999385834","0.07628343999385834","0.07628343999385834"
"55","0.07200947403907776","0.07200947403907776","0.07200947403907776"
"56","0.07467377185821533","0.07467377185821533","0.07467377185821533"
"57","0.09036105126142502","0.09036105126142502","0.09036105126142502"
"58","0.13510696589946747","0.13510696589946747","0.13510696589946747"
"59","0.13088487088680267","0.13088487088680267","0.13088487088680267"
"60","0.12712371349334717","0.12712371349334717","0.12712371349334717"
"61","0.18657219409942627","0.18657219409942627","0.18657219409942627"
"62","0.23750635981559753","0.23750635981559753","0.23750635981559753"
"63","0.30479007959365845","0.30479007959365845","0.30479007959365845"
"64","0.3012159764766693","0.3012159764766693","0.3012159764766693"
"65","0.22598735988140106","0.22598735988140106","0.22598735988140106"
"66","0.36465078592300415","0.36465078592300415","0.36465078592300415"
"67","0.49564751982688904","0.49564751982688904","0.49564751982688904"
"68","0.34570392966270447","0.34570392966270447","0.34570392966270447"
"69","0.5248749256134033","0.5248749256134033","0.5248749256134033"
