"Step","0.4Blind - Episode_Reward/payload_2_target","0.4Blind - Episode_Reward/payload_2_target__MIN","0.4Blind - Episode_Reward/payload_2_target__MAX"
"136","-0.24587616324424744","-0.24587616324424744","-0.24587616324424744"
"137","-0.1535617709159851","-0.1535617709159851","-0.1535617709159851"
"138","-0.1980370283126831","-0.1980370283126831","-0.1980370283126831"
"139","-0.2226157784461975","-0.2226157784461975","-0.2226157784461975"
"140","-0.2746948003768921","-0.2746948003768921","-0.2746948003768921"
"141","-0.18001198768615723","-0.18001198768615723","-0.18001198768615723"
"142","-0.2104332447052002","-0.2104332447052002","-0.2104332447052002"
"143","-0.20234394073486328","-0.20234394073486328","-0.20234394073486328"
"144","-0.26344913244247437","-0.26344913244247437","-0.26344913244247437"
"145","-0.24477040767669678","-0.24477040767669678","-0.24477040767669678"
"146","-0.19209788739681244","-0.19209788739681244","-0.19209788739681244"
"147","-0.1899641752243042","-0.1899641752243042","-0.1899641752243042"
"148","-0.27462124824523926","-0.27462124824523926","-0.27462124824523926"
"149","-0.19805054366588593","-0.19805054366588593","-0.19805054366588593"
"150","-0.1983509659767151","-0.1983509659767151","-0.1983509659767151"
"151","-0.1824760138988495","-0.1824760138988495","-0.1824760138988495"
"152","-0.18005751073360443","-0.18005751073360443","-0.18005751073360443"
"153","-0.16655591130256653","-0.16655591130256653","-0.16655591130256653"
"154","-0.23836998641490936","-0.23836998641490936","-0.23836998641490936"
"155","-0.09647863358259201","-0.09647863358259201","-0.09647863358259201"
"156","-0.29565662145614624","-0.29565662145614624","-0.29565662145614624"
"157","-0.126881942152977","-0.126881942152977","-0.126881942152977"
"158","-0.17586299777030945","-0.17586299777030945","-0.17586299777030945"
"159","-0.34451135993003845","-0.34451135993003845","-0.34451135993003845"
"160","-0.22694484889507294","-0.22694484889507294","-0.22694484889507294"
"161","-0.21601168811321259","-0.21601168811321259","-0.21601168811321259"
"162","-0.13348263502120972","-0.13348263502120972","-0.13348263502120972"
"163","-0.23079895973205566","-0.23079895973205566","-0.23079895973205566"
"164","-0.1972413957118988","-0.1972413957118988","-0.1972413957118988"
"165","-0.30060824751853943","-0.30060824751853943","-0.30060824751853943"
"166","-0.3389497697353363","-0.3389497697353363","-0.3389497697353363"
"167","-0.2797277569770813","-0.2797277569770813","-0.2797277569770813"
"168","-0.32050979137420654","-0.32050979137420654","-0.32050979137420654"
"169","-0.2985200583934784","-0.2985200583934784","-0.2985200583934784"
"170","-0.2122572660446167","-0.2122572660446167","-0.2122572660446167"
"171","-0.2964395582675934","-0.2964395582675934","-0.2964395582675934"
"172","-0.3043155372142792","-0.3043155372142792","-0.3043155372142792"
"173","-0.2352738082408905","-0.2352738082408905","-0.2352738082408905"
"174","-0.2807093858718872","-0.2807093858718872","-0.2807093858718872"
"175","-0.25912702083587646","-0.25912702083587646","-0.25912702083587646"
"176","-0.23621416091918945","-0.23621416091918945","-0.23621416091918945"
"177","-0.266100138425827","-0.266100138425827","-0.266100138425827"
"178","-0.26628145575523376","-0.26628145575523376","-0.26628145575523376"
"179","-0.25286635756492615","-0.25286635756492615","-0.25286635756492615"
"180","-0.23536060750484467","-0.23536060750484467","-0.23536060750484467"
"181","-0.2660244405269623","-0.2660244405269623","-0.2660244405269623"
"182","-0.23385855555534363","-0.23385855555534363","-0.23385855555534363"
"183","-0.20910757780075073","-0.20910757780075073","-0.20910757780075073"
"184","-0.24111220240592957","-0.24111220240592957","-0.24111220240592957"
"185","-0.23867496848106384","-0.23867496848106384","-0.23867496848106384"
"186","-0.31632158160209656","-0.31632158160209656","-0.31632158160209656"
"187","-0.237351655960083","-0.237351655960083","-0.237351655960083"
"188","-0.2994089722633362","-0.2994089722633362","-0.2994089722633362"
"189","-0.22476720809936523","-0.22476720809936523","-0.22476720809936523"
"190","-0.22419516742229462","-0.22419516742229462","-0.22419516742229462"
"191","-0.16748136281967163","-0.16748136281967163","-0.16748136281967163"
"192","-0.25072798132896423","-0.25072798132896423","-0.25072798132896423"
"193","-0.25281593203544617","-0.25281593203544617","-0.25281593203544617"
"194","-0.2699781060218811","-0.2699781060218811","-0.2699781060218811"
"195","-0.17788910865783691","-0.17788910865783691","-0.17788910865783691"
"196","-0.25124865770339966","-0.25124865770339966","-0.25124865770339966"
"197","-0.27327126264572144","-0.27327126264572144","-0.27327126264572144"
"198","-0.22711679339408875","-0.22711679339408875","-0.22711679339408875"
"199","-0.21309404075145721","-0.21309404075145721","-0.21309404075145721"
"200","-0.2064996212720871","-0.2064996212720871","-0.2064996212720871"
"201","-0.2036384791135788","-0.2036384791135788","-0.2036384791135788"
"202","-0.15009108185768127","-0.15009108185768127","-0.15009108185768127"
"203","-0.12209554761648178","-0.12209554761648178","-0.12209554761648178"
"204","-0.2346634715795517","-0.2346634715795517","-0.2346634715795517"
"205","-0.20961254835128784","-0.20961254835128784","-0.20961254835128784"
"206","-0.23111116886138916","-0.23111116886138916","-0.23111116886138916"
"207","-0.17066572606563568","-0.17066572606563568","-0.17066572606563568"
"208","-0.18452271819114685","-0.18452271819114685","-0.18452271819114685"
"209","-0.21130415797233582","-0.21130415797233582","-0.21130415797233582"
"210","-0.21692535281181335","-0.21692535281181335","-0.21692535281181335"
"211","-0.23748748004436493","-0.23748748004436493","-0.23748748004436493"
"212","-0.26662909984588623","-0.26662909984588623","-0.26662909984588623"
"213","-0.18023499846458435","-0.18023499846458435","-0.18023499846458435"
"214","-0.18027286231517792","-0.18027286231517792","-0.18027286231517792"
"215","-0.2171097844839096","-0.2171097844839096","-0.2171097844839096"
"216","-0.2299235314130783","-0.2299235314130783","-0.2299235314130783"
