"Step","0.4Blind - Metrics/targetPosition/error_pos_2d","0.4Blind - Metrics/targetPosition/error_pos_2d__MIN","0.4Blind - Metrics/targetPosition/error_pos_2d__MAX"
"1","4.313324928283691","4.313324928283691","4.313324928283691"
"2","4.27370023727417","4.27370023727417","4.27370023727417"
"3","4.257498741149902","4.257498741149902","4.257498741149902"
"4","4.504418849945068","4.504418849945068","4.504418849945068"
"5","4.356997489929199","4.356997489929199","4.356997489929199"
"6","4.297206878662109","4.297206878662109","4.297206878662109"
"7","4.488094329833984","4.488094329833984","4.488094329833984"
"8","4.312781810760498","4.312781810760498","4.312781810760498"
"9","4.417224407196045","4.417224407196045","4.417224407196045"
"10","4.514584064483643","4.514584064483643","4.514584064483643"
"11","4.4498066902160645","4.4498066902160645","4.4498066902160645"
"12","4.341498851776123","4.341498851776123","4.341498851776123"
"13","4.479745388031006","4.479745388031006","4.479745388031006"
"14","4.398018836975098","4.398018836975098","4.398018836975098"
"15","4.351891040802002","4.351891040802002","4.351891040802002"
"16","4.3839569091796875","4.3839569091796875","4.3839569091796875"
"17","4.473089218139648","4.473089218139648","4.473089218139648"
"18","4.338754177093506","4.338754177093506","4.338754177093506"
"19","4.473025321960449","4.473025321960449","4.473025321960449"
"20","4.513742446899414","4.513742446899414","4.513742446899414"
"21","4.463765621185303","4.463765621185303","4.463765621185303"
"22","4.446292400360107","4.446292400360107","4.446292400360107"
"23","4.573394775390625","4.573394775390625","4.573394775390625"
"24","4.687870979309082","4.687870979309082","4.687870979309082"
"25","4.507350921630859","4.507350921630859","4.507350921630859"
"26","4.619394302368164","4.619394302368164","4.619394302368164"
"27","4.551379680633545","4.551379680633545","4.551379680633545"
"28","4.590568542480469","4.590568542480469","4.590568542480469"
"29","4.509160995483398","4.509160995483398","4.509160995483398"
"30","4.418596267700195","4.418596267700195","4.418596267700195"
"31","4.4352335929870605","4.4352335929870605","4.4352335929870605"
"32","4.369336128234863","4.369336128234863","4.369336128234863"
"33","4.3905744552612305","4.3905744552612305","4.3905744552612305"
"34","4.447297096252441","4.447297096252441","4.447297096252441"
"35","4.498712539672852","4.498712539672852","4.498712539672852"
"36","4.457004547119141","4.457004547119141","4.457004547119141"
"37","4.481540203094482","4.481540203094482","4.481540203094482"
"38","4.460794448852539","4.460794448852539","4.460794448852539"
"39","4.41801118850708","4.41801118850708","4.41801118850708"
"40","4.476378440856934","4.476378440856934","4.476378440856934"
"41","4.4205732345581055","4.4205732345581055","4.4205732345581055"
"42","4.434682369232178","4.434682369232178","4.434682369232178"
"43","4.485403060913086","4.485403060913086","4.485403060913086"
"44","4.408906936645508","4.408906936645508","4.408906936645508"
"45","4.441679000854492","4.441679000854492","4.441679000854492"
"46","4.432162284851074","4.432162284851074","4.432162284851074"
"47","4.37181282043457","4.37181282043457","4.37181282043457"
"48","4.418239593505859","4.418239593505859","4.418239593505859"
"49","4.459450721740723","4.459450721740723","4.459450721740723"
"50","4.431825637817383","4.431825637817383","4.431825637817383"
"51","4.497738838195801","4.497738838195801","4.497738838195801"
"52","4.473136901855469","4.473136901855469","4.473136901855469"
"53","4.482863426208496","4.482863426208496","4.482863426208496"
"54","4.510274887084961","4.510274887084961","4.510274887084961"
"55","4.431853294372559","4.431853294372559","4.431853294372559"
"56","4.488268852233887","4.488268852233887","4.488268852233887"
"57","4.518989562988281","4.518989562988281","4.518989562988281"
"58","4.502126216888428","4.502126216888428","4.502126216888428"
"59","4.46839714050293","4.46839714050293","4.46839714050293"
"60","4.462512016296387","4.462512016296387","4.462512016296387"
"61","4.393178939819336","4.393178939819336","4.393178939819336"
"62","4.520030498504639","4.520030498504639","4.520030498504639"
"63","4.411118507385254","4.411118507385254","4.411118507385254"
"64","4.389901638031006","4.389901638031006","4.389901638031006"
"65","4.448181629180908","4.448181629180908","4.448181629180908"
"66","4.345954895019531","4.345954895019531","4.345954895019531"
"67","4.239701271057129","4.239701271057129","4.239701271057129"
"68","4.451476573944092","4.451476573944092","4.451476573944092"
"69","4.411324977874756","4.411324977874756","4.411324977874756"
"70","4.3966779708862305","4.3966779708862305","4.3966779708862305"
"71","4.295848369598389","4.295848369598389","4.295848369598389"
"72","4.469832897186279","4.469832897186279","4.469832897186279"
"73","4.377909183502197","4.377909183502197","4.377909183502197"
"74","4.440618991851807","4.440618991851807","4.440618991851807"
"75","4.571793556213379","4.571793556213379","4.571793556213379"
"76","4.455822944641113","4.455822944641113","4.455822944641113"
"77","4.269946098327637","4.269946098327637","4.269946098327637"
"78","4.443058967590332","4.443058967590332","4.443058967590332"
"79","4.239001750946045","4.239001750946045","4.239001750946045"
"80","4.375422477722168","4.375422477722168","4.375422477722168"
"81","4.348553657531738","4.348553657531738","4.348553657531738"
"82","4.4547295570373535","4.4547295570373535","4.4547295570373535"
"83","4.470113754272461","4.470113754272461","4.470113754272461"
"84","4.307530879974365","4.307530879974365","4.307530879974365"
"85","4.455565929412842","4.455565929412842","4.455565929412842"
"86","4.345839500427246","4.345839500427246","4.345839500427246"
"87","4.447506904602051","4.447506904602051","4.447506904602051"
"88","4.418100357055664","4.418100357055664","4.418100357055664"
"89","4.431680202484131","4.431680202484131","4.431680202484131"
"90","4.451189994812012","4.451189994812012","4.451189994812012"
"91","4.368191719055176","4.368191719055176","4.368191719055176"
"92","4.401920318603516","4.401920318603516","4.401920318603516"
"93","4.45403528213501","4.45403528213501","4.45403528213501"
"94","4.4687676429748535","4.4687676429748535","4.4687676429748535"
"95","4.404881000518799","4.404881000518799","4.404881000518799"
"96","4.542304515838623","4.542304515838623","4.542304515838623"
"97","4.391246795654297","4.391246795654297","4.391246795654297"
"98","4.392004013061523","4.392004013061523","4.392004013061523"
"99","4.619989395141602","4.619989395141602","4.619989395141602"
"100","4.505403995513916","4.505403995513916","4.505403995513916"
"101","4.4472761154174805","4.4472761154174805","4.4472761154174805"
"102","4.574797630310059","4.574797630310059","4.574797630310059"
